group_column,group_value,n,median_target,mean_target,removed,review
district,28 Haziran Mah.,63,258.82,252.6890476190476,1,20
district,Akarca Mah.,6,221.325,216.23166666666665,0,1
district,Akpınar Mh.,36,218.825,225.31555555555553,2,12
district,Akçakoca Mh.,12,260.57,244.765,0,11
district,Alikahya Atatürk Mh.,37,271.43,269.4281081081081,0,11
district,Alikahya Cumhuriyet Mah.,21,256.0,277.60238095238094,1,6
district,Alikahya Fatih Mah.,31,315.79,334.5490322580645,3,18
district,Alikahya Merkez Mah.,2,154.425,154.425,0,1
district,Ayazma Mah.,25,200.0,214.8944,0,7
district,Bekirdere Mah.,10,182.5,190.37,0,5
district,Cedit Mah.,31,236.36,269.258064516129,1,24
district,Cumhuriyet Mah.,11,204.55,233.86636363636362,0,6
district,Doğan Mh.,7,212.5,220.73714285714286,0,4
district,Durhasan Mh.,1,218.18,218.18,0,0
district,Erenler Mah.,46,184.52,203.16630434782607,0,15
district,Fatih Mah.,3,221.37,207.12333333333333,0,1
district,Fevzi Çakmak Mh.,14,211.69,227.57142857142858,1,4
district,Gültepe Mh.,7,185.0,209.20857142857145,0,7
district,Gündoğdu Mh.,45,279.28,292.1773333333333,4,18
district,Hacıhasan Mh.,7,188.89,197.99,0,6
district,Hacıhızır Mh.,26,212.18,222.62692307692308,1,19
district,Hatipköy Mh.,9,261.11,249.23000000000002,0,5
district,Kabaoğlu Mh.,26,321.66499999999996,351.4469230769231,4,19
district,Kadıköy Mh.,49,212.5,216.8783673469388,1,36
district,Karabaş Mh.,36,225.0,232.3505555555556,0,29
district,Karadenizliler Mah.,13,259.09,277.1446153846154,1,5
district,Kemalpaşa Mh.,3,224.0,228.58666666666667,0,2
district,Kocatepe Mah.,6,220.78,236.71833333333333,0,2
district,Kozluk Mah.,52,234.84500000000003,251.5505769230769,0,35
district,Kuruçeşme Fatih Mh.,13,204.55,198.28384615384616,0,11
district,Körfez Mh.,18,198.81,221.38166666666666,0,12
district,M. Alipaşa Mh.,28,236.22,255.68785714285715,0,20
district,Malta Mah.,23,211.76,218.21652173913043,0,10
district,Orhan Mah.,43,307.69,310.79744186046514,2,24
district,Sanayi Mah.,14,278.57,341.34142857142854,3,9
district,Sekbanlı Mh.,2,214.945,214.945,0,1
district,Sepetçi Mh.,3,178.57,186.79666666666665,0,0
district,Serdar Mah.,10,209.54500000000002,220.43400000000003,0,3
district,Tavşantepe Mh.,14,165.15499999999997,178.83214285714286,2,9
district,Tepecik Mah.,17,227.27,243.87823529411767,0,14
district,Tepeköy Mh.,29,220.0,234.75068965517244,0,10
district,Terzibayırı Mh.,4,216.11,223.845,0,3
district,Topçular Mh.,43,299.02,299.81,7,18
district,Turgut Mah.,34,237.8,238.8579411764706,0,16
district,Tüysüzler Mh.,5,277.78,295.032,0,4
district,Veliahmet Mah.,9,250.0,242.9944444444444,0,5
district,Yahyakaptan Mah.,38,298.81,312.885,3,24
district,Yeni Mah.,13,220.69,225.97384615384615,0,8
district,Yenidoğan Mh.,14,243.75,239.95142857142858,0,8
district,Yenişehir Mh.,50,245.74,258.2362,3,31
district,Yeşilova Mh.,48,291.14,307.018125,3,37
district,Zabıtan Mh.,5,210.53,210.2,0,3
district,Çayırköy Mh.,39,250.0,256.2453846153846,0,17
district,Çukurbağ Mh.,13,208.33,248.45538461538462,0,7
district,Ömerağa Mh.,20,213.32,225.90900000000002,2,16
district,Şirintepe Mh.,38,228.57,221.38921052631582,0,18
room_count,1+1,234,314.29,322.15700854700856,12,156
room_count,1.5+1,1,194.44,194.44,0,1
room_count,2+0,1,366.67,366.67,0,0
room_count,2+1,558,235.29,243.77078853046595,16,281
room_count,2+2,1,200.0,200.0,0,1
room_count,2.5+1,7,244.44,238.17285714285714,0,4
room_count,3+0,2,220.46499999999997,220.46499999999997,0,2
room_count,3+1,352,200.0,211.0465909090909,4,176
room_count,3+2,1,120.97,120.97,0,1
room_count,3.5+1,3,317.37,274.31666666666666,0,2
room_count,4+1,23,226.32,228.3717391304348,0,8
room_count,5+1,2,170.505,170.505,0,2
room_count,5+2,2,114.25,114.25,1,2
room_count,Stüdyo (1+0),35,442.86,446.25314285714285,12,31
m2_group,0-75,260,331.66499999999996,340.3383846153846,23,170
m2_group,101-125,321,213.64,220.9348909657321,8,185
m2_group,126-150,151,200.0,212.11059602649007,1,80
m2_group,151-200,72,206.285,222.94958333333332,3,24
m2_group,200+,13,189.09,188.58615384615385,1,9
m2_group,76-100,405,243.9,249.40879012345678,9,199
floor_segment,Ara Kat,781,244.44,260.2062227912932,32,411
floor_segment,Bahçe,32,253.815,262.1721875,2,27
floor_segment,Bodrum,3,277.78,243.26,0,3
floor_segment,En Üst Kat,225,224.0,235.00293333333335,4,128
floor_segment,Zemin/Giriş,170,234.53,253.0679411764706,7,92
floor_segment,Çatı,11,225.0,246.70636363636365,0,6
building_age_group,0 (Oturuma Hazır),89,291.67,315.16584269662917,8,44
building_age_group,1,23,297.03,333.4608695652174,4,13
building_age_group,11-15 arası,214,250.0,258.8491121495327,6,80
building_age_group,16-20 arası,113,220.0,239.60221238938053,5,39
building_age_group,2,21,323.53,339.307619047619,2,15
building_age_group,21-25 arası,108,206.35,222.33814814814815,3,43
building_age_group,26-30 arası,157,210.0,218.37267515923568,3,83
building_age_group,3,36,320.555,321.81583333333333,3,24
building_age_group,31 ve üzeri,207,195.0,203.18169082125604,0,207
building_age_group,4,24,273.33500000000004,300.1020833333333,1,8
building_age_group,5,32,265.58500000000004,278.9146875,1,9
building_age_group,6-10 arası,196,291.46500000000003,290.6867857142857,9,101
building_age_group,Belirtilmemiş,2,297.205,297.205,0,1
