group_column,group_value,n,median_target,mean_target,removed,review
district,28 Haziran Mah.,42,39827.54,38032.63690476191,1,12
district,Akarca Mah.,9,38863.64,36783.68888888889,0,3
district,Akpınar Mh.,43,35333.33,38615.41279069767,2,15
district,Akçakoca Mh.,18,27461.54,29152.645555555555,0,11
district,Alikahya Atatürk Mh.,58,47914.395000000004,48113.136379310345,1,17
district,Alikahya Cumhuriyet Mah.,28,47427.945,48400.365,0,6
district,Alikahya Fatih Mah.,45,45555.56,51141.22511111111,5,22
district,Alikahya Merkez Mah.,2,44613.634999999995,44613.634999999995,0,1
district,Arızlı Mh.,1,30000.0,30000.0,0,1
district,Ayazma Mah.,16,35894.545,37840.84,1,5
district,Bekirdere Mah.,12,28469.625,30659.529166666664,1,6
district,Cedit Mah.,31,27500.0,30149.335483870967,0,20
district,Cumhuriyet Mah.,37,51200.0,46640.354864864865,0,16
district,Doğan Mh.,8,36803.975,35054.0825,0,5
district,Durhasan Mh.,1,31818.18,31818.18,0,0
district,Erenler Mah.,40,30434.785,32384.639000000003,0,13
district,Fatih Mah.,7,38056.68,38178.712857142855,0,3
district,Fevzi Çakmak Mh.,18,37343.75,36565.94388888889,0,4
district,Gültepe Mh.,8,28750.0,29044.7875,0,5
district,Gündoğdu Mh.,55,45500.0,46304.20436363637,1,20
district,Hacıhasan Mh.,15,25789.47,24384.646,0,13
district,Hacıhızır Mh.,16,35416.665,38426.1,0,10
district,Hatipköy Mh.,18,35948.2,36488.002222222225,0,12
district,Kabaoğlu Mh.,25,48947.37,53409.6336,1,14
district,Kadıköy Mh.,32,27432.13,30687.013750000002,2,21
district,Karabaş Mh.,36,28138.89,29891.358611111107,2,30
district,Karadenizliler Mah.,12,38178.57,39997.38166666667,0,1
district,Kemalpaşa Mh.,5,27307.69,29023.794,0,5
district,Kocatepe Mah.,21,34833.33,38997.83666666666,0,9
district,Kozluk Mah.,54,26582.895,28829.734074074073,0,32
district,Kuruçeşme Fatih Mh.,14,34308.825,36315.25642857143,1,9
district,Körfez Mh.,16,27892.855,33261.04125,1,9
district,M. Alipaşa Mh.,20,33823.53,37672.967,2,13
district,Malta Mah.,26,36470.59,36390.03923076923,0,7
district,Orhan Mah.,54,48985.509999999995,48552.79425925926,1,22
district,Sanayi Mah.,4,37513.44,38680.715,0,1
district,Sekbanlı Mh.,16,37500.0,36532.47375,2,8
district,Sepetçi Mh.,15,40340.91,40595.13666666667,2,4
district,Serdar Mah.,29,37272.73,37113.69551724138,0,10
district,Tavşantepe Mh.,12,26458.335,26012.855,0,7
district,Tepecik Mah.,11,29615.38,27762.914545454547,0,10
district,Tepeköy Mh.,13,37647.06,41559.476153846146,1,3
district,Topçular Mh.,43,51400.0,52976.38488372092,0,12
district,Turgut Mah.,31,33684.21,35841.60741935484,0,12
district,Tüysüzler Mh.,6,43976.865000000005,44414.15666666667,0,2
district,Veliahmet Mah.,15,29000.0,30857.34933333333,0,9
district,Yahyakaptan Mah.,41,56250.0,61654.75804878049,4,23
district,Yeni Mah.,36,33602.15,34423.16888888889,0,15
district,Yenidoğan Mh.,16,31263.855,31170.489999999998,0,9
district,Yenişehir Mh.,49,39666.67,38725.831020408164,1,24
district,Yeşilova Mh.,68,50000.0,52064.47691176471,2,31
district,Zabıtan Mh.,10,25996.73,26019.381,0,8
district,Çayırköy Mh.,60,43068.245,44382.77783333333,5,30
district,Çukurbağ Mh.,14,24576.27,25034.06428571429,0,9
district,Ömerağa Mh.,15,29500.0,29268.638,1,12
district,Şirintepe Mh.,38,30349.205,35314.125789473685,2,26
room_count,1+1,159,47615.38,48656.92031446541,5,74
room_count,2+0,1,28421.05,28421.05,0,1
room_count,2+1,591,37378.64,37862.60490693739,17,288
room_count,2.5+1,4,41590.91,45172.2875,0,3
room_count,3+0,1,40384.62,40384.62,0,0
room_count,3+1,525,37142.86,38929.47276190476,12,234
room_count,3+2,3,23000.0,22858.97333333333,1,2
room_count,3.5+1,2,56552.630000000005,56552.630000000005,0,1
room_count,4+1,72,39063.39,41900.21597222222,2,36
room_count,4+2,1,19615.38,19615.38,0,0
room_count,4.5+1,2,40895.0,40895.0,0,1
room_count,5+1,7,35898.2,41194.44571428571,1,4
room_count,5+2,1,25000.0,25000.0,0,1
room_count,6+1,1,56666.67,56666.67,0,1
room_count,7+1,1,31041.67,31041.67,0,1
room_count,Stüdyo (1+0),14,64781.744999999995,69771.00428571428,4,10
m2_group,0-75,181,50000.0,50566.92187845304,10,89
m2_group,101-125,372,35626.085,36950.748629032256,11,183
m2_group,126-150,253,37857.14,38620.61600790513,4,110
m2_group,151-200,133,39144.74,42158.97533834586,6,48
m2_group,200+,54,38066.8,40568.86981481482,2,38
m2_group,76-100,392,38333.33,38294.169872448976,9,189
floor_segment,Ara Kat,857,40178.57,41441.83816802801,30,389
floor_segment,Bahçe,43,44333.33,46135.910697674415,2,21
floor_segment,Bodrum,2,25013.989999999998,25013.989999999998,0,2
floor_segment,En Üst Kat,251,34831.46,36581.65103585657,4,138
floor_segment,Zemin/Giriş,215,36388.89,37843.46260465116,4,97
floor_segment,Çatı,16,34518.18,35204.753125,1,9
floor_segment,,1,47342.11,47342.11,1,1
building_age_group,0 (Oturuma Hazır),143,46733.67,48897.28636363636,7,54
building_age_group,0 (Yapım Aşamasında),89,48611.11,50532.41876404495,7,41
building_age_group,1,35,39900.0,43824.18028571429,3,17
building_age_group,11-15 arası,238,42111.11,43744.22100840336,3,71
building_age_group,16-20 arası,64,34952.384999999995,38681.20984375,2,20
building_age_group,2,26,46625.0,47163.342307692306,1,9
building_age_group,21-25 arası,73,35529.41,36031.4201369863,2,21
building_age_group,26-30 arası,153,27083.33,30343.272810457518,2,55
building_age_group,3,37,46428.57,48534.62459459459,2,20
building_age_group,31 ve üzeri,219,25789.47,27034.66826484018,1,219
building_age_group,4,26,45442.31,48351.603461538456,3,18
building_age_group,5,42,38952.244999999995,42586.63285714286,1,20
building_age_group,6-10 arası,240,41950.0,42945.849500000004,8,92
