model_scope,feature,importance,rank
gradient_boosting,num__attr_effect_building_age_bucket,0.08973964703832417,1
gradient_boosting,num__attr_total_quality_score,0.07749987575605961,2
gradient_boosting,num__attr_m2_per_room,0.025856542171101497,3
extra_trees,num__attr_effect_building_age_bucket,0.017875485571583496,4
extra_trees,num__attr_is_old_building,0.01774276049610134,5
gradient_boosting,num__attr_building_age_inverse,0.01590271709793005,6
gradient_boosting,num__detail_effect_total_x_attr_quality,0.014537338777318371,7
extra_trees,num__attr_building_age_score,0.014424837975242867,8
extra_trees,num__attr_total_quality_score,0.01406504653072662,9
extra_trees,num__attr_m2_per_room,0.009354008678330007,10
gradient_boosting,num__attr_effect_elevator,0.008085900815288741,11
gradient_boosting,num__attr_quality_x_location_baseline,0.00765541726391474,12
extra_trees,num__detail_effect_total_x_attr_quality,0.007103898942282629,13
extra_trees,num__attr_effect_elevator,0.00709958309399046,14
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.007024827610864864,15
extra_trees,num__attr_building_age_inverse,0.006746371072607836,16
gradient_boosting,num__attr_quality_x_county_income,0.006549901130898272,17
extra_trees,num__attr_compactness_score,0.006058964049934336,18
gradient_boosting,num__attr_quality_x_demo_income,0.005987519717848031,19
extra_trees,num__detail_effect_inside_x_attr_quality,0.0054648191474210355,20
extra_trees,num__attr_net_gross_ratio,0.004638814283005352,21
gradient_boosting,num__attr_is_old_building,0.004551199751975841,22
extra_trees,num__detail_effect_outside_x_attr_quality,0.004392065747168879,23
extra_trees,num__attr_quality_x_county_income,0.004221794492445367,24
extra_trees,num__attr_quality_x_location_baseline,0.0039769253254812315,25
extra_trees,num__attr_compact_home_x_quality,0.003976438999258231,26
extra_trees,num__attr_quality_x_demo_income,0.003688727866754712,27
extra_trees,num__attr_effect_total_quality_bucket,0.0034921050140586957,28
extra_trees,num__attr_is_mid_age_building,0.003406296521917029,29
extra_trees,num__attr_floor_ratio,0.003324143999820942,30
extra_trees,num__attr_amenity_score,0.003296174625356288,31
gradient_boosting,num__attr_effect_total_quality_bucket,0.0032048751923167834,32
