feature,group,basiskele_positive_count,basiskele_negative_count,basiskele_effect,global_effect,smoothed_effect,abs_effect,direction,reliability_level
out_closed_pool,outside,35,,0.15311309302162504,0.13122698054423765,0.15311309302162504,0.15311309302162504,premium,county
view_pool,view,47,,0.13121402110423858,0.14035374921193977,0.13121402110423858,0.13121402110423858,premium,county
out_sauna_hamam,outside,60,,0.12502955468606847,0.11747229992438868,0.12502955468606847,0.12502955468606847,premium,county
out_generator,outside,21,,0.1176027788354525,0.11917859155356414,0.1176027788354525,0.1176027788354525,premium,county
out_open_pool,outside,157,,0.11559321176476174,0.1187822372766405,0.11559321176476174,0.11559321176476174,premium,county
out_pool,outside,165,,0.11359296772424907,0.10950010224324558,0.11359296772424907,0.11359296772424907,premium,county
in_air_conditioner,inside,38,,0.09819433170440782,0.09970213674063544,0.09819433170440782,0.09819433170440782,premium,county
out_security,outside,190,,0.0888881780994151,0.09358119252640673,0.0888881780994151,0.0888881780994151,premium,county
in_dressing_room,inside,47,,0.08681870414603045,0.12348458305791432,0.08681870414603045,0.08681870414603045,premium,county
in_smart_home,inside,25,,0.08238292004488379,0.09113457997714747,0.08238292004488379,0.08238292004488379,premium,county
subtype_triplex,subtype,0,,-0.08063737611049326,-0.08063737611049326,-0.08063737611049326,0.08063737611049326,discount,unreliable
subtype_roof_duplex,subtype,95,,-0.07679919857578772,-0.06964753207241259,-0.07679919857578772,0.07679919857578772,discount,county
subtype_duplex,subtype,167,,-0.07464640186779642,-0.05982650315562488,-0.07464640186779642,0.07464640186779642,discount,county
out_sports_area,outside,133,,0.07099542588120394,0.07227840837042443,0.07099542588120394,0.07099542588120394,premium,county
in_parent_bathroom,inside,169,,0.06824254391585707,0.08094364339281412,0.06824254391585707,0.06824254391585707,premium,county
subtype_middle_floor,subtype,337,,0.058201762700033084,0.05136165435897322,0.058201762700033084,0.058201762700033084,premium,county
in_builtin_kitchen,inside,164,,0.0558824642303315,0.07700890220867507,0.0558824642303315,0.0558824642303315,premium,county
out_camera,outside,239,,0.05323700058848415,0.07304997348893316,0.05323700058848415,0.05323700058848415,premium,county
subtype_garden_duplex,subtype,42,,-0.053060480176584546,-0.021016676135520385,-0.053060480176584546,0.053060480176584546,discount,county
in_terrace,inside,113,,-0.0507824160639388,-0.03376693379158624,-0.0507824160639388,0.0507824160639388,discount,county
near_sea_zero,nearby,20,,0.05041297766772881,0.06961368628381415,0.05041297766772881,0.05041297766772881,premium,county
transport_metro,transport,19,,-0.046256374786558835,-0.02954019564109256,-0.046256374786558835,0.046256374786558835,discount,county
in_intercom,inside,282,,0.040444308190190494,0.06722572350146017,0.040444308190190494,0.040444308190190494,premium,county
in_glass_balcony,inside,51,,0.03393993139668808,0.03503795149851818,0.03393993139668808,0.03393993139668808,premium,county
out_children_playground,outside,223,,0.0303180340967983,0.03919880568012424,0.0303180340967983,0.0303180340967983,premium,county
transport_train,transport,18,,-0.028095409330050388,-0.02622334261978132,-0.028095409330050388,0.028095409330050388,discount,county
in_fiber,inside,263,,0.022305323901296158,0.04425346113687656,0.022305323901296158,0.022305323901296158,premium,county
front_north,front,269,,0.022249690892515904,0.0021441078959671955,0.022249690892515904,0.022249690892515904,premium,county
out_heat_insulation,outside,437,,0.020935969087109724,0.018021537253293474,0.020935969087109724,0.020935969087109724,premium,county
subtype_top_floor,subtype,56,,0.02006900999198805,-0.031228669142477905,0.02006900999198805,0.02006900999198805,premium,county
in_steel_door,inside,480,,0.019228051998027542,0.012571232676160449,0.019228051998027542,0.019228051998027542,premium,county
in_heat_glass,inside,372,,0.01840732389252362,0.01507469394668881,0.01840732389252362,0.01840732389252362,premium,county
out_hydrofor,outside,28,,0.018214455030833947,0.03652592695611734,0.018214455030833947,0.018214455030833947,premium,county
out_sound_insulation,outside,343,,0.018170128847202777,0.020486265816619387,0.018170128847202777,0.018170128847202777,premium,county
transport_airport,transport,17,,0.0180285218735216,0.025672711021900163,0.0180285218735216,0.0180285218735216,premium,county
front_west,front,373,,0.01577594575341566,0.010155929815207188,0.01577594575341566,0.01577594575341566,premium,county
near_lake_zero,nearby,7,,0.015675684937540235,0.011509551228801485,0.015675684937540235,0.015675684937540235,premium,unreliable
front_east,front,383,,-0.01528386079501625,0.0,-0.01528386079501625,0.01528386079501625,discount,county
in_laminate_floor,inside,393,,0.015024721021482293,0.005878876963439694,0.015024721021482293,0.015024721021482293,premium,county
near_city_center,nearby,360,,-0.013914608662190023,-0.017571798295737295,-0.013914608662190023,0.013914608662190023,discount,county
view_bosphorus,view,6,,-0.012846688117308791,-0.0015928910882330172,-0.012846688117308791,0.012846688117308791,discount,unreliable
transport_tram,transport,17,,-0.012823508346254394,0.013422847599293242,-0.012823508346254394,0.012823508346254394,discount,county
transport_bus_stop,transport,488,,-0.012639075710780705,-0.008376618073335784,-0.012639075710780705,0.012639075710780705,discount,county
near_mall,nearby,349,,0.011802984275233606,0.00468455326084527,0.011802984275233606,0.011802984275233606,premium,county
transport_e5,transport,203,,-0.010931626848221123,0.00964735401455119,-0.010931626848221123,0.010931626848221123,discount,county
subtype_reverse_duplex,subtype,9,,0.010694308961546392,0.010340027820268105,0.010694308961546392,0.010694308961546392,premium,unreliable
front_south,front,405,,-0.010472435474345343,-0.0031749623609584887,-0.010472435474345343,0.010472435474345343,discount,county
view_nature,view,354,,0.01044975670787706,0.009685100724990292,0.01044975670787706,0.01044975670787706,premium,county
view_city,view,336,,0.010399202921904669,-0.008411866256675893,0.010399202921904669,0.010399202921904669,premium,county
view_park_green,view,399,,0.00986459444817571,0.008131124849020566,0.00986459444817571,0.00986459444817571,premium,county
near_pharmacy,nearby,477,,0.009603757179610184,-0.00023416514468088678,0.009603757179610184,0.009603757179610184,premium,county
view_score,view,560,,0.008095208985055016,0.006186789426612549,0.008095208985055016,0.008095208985055016,premium,county
near_park,nearby,468,,0.007995200778875711,-0.007796371907664579,0.007995200778875711,0.007995200778875711,premium,county
in_pvc,inside,286,,0.007374787572315556,0.009990235425567207,0.007374787572315556,0.007374787572315556,premium,county
view_lake,view,2,,-0.007331456624006805,-0.007331456624006805,-0.007331456624006805,0.007331456624006805,discount,unreliable
front_score,front,589,,0.006568608317351631,0.003609728833927406,0.006568608317351631,0.006568608317351631,premium,county
view_river,view,3,,-0.006395518177053689,-0.006511986024491989,-0.006395518177053689,0.006395518177053689,discount,unreliable
