building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,407,4.658476658476658,0.0,0,0,0.8802868469139141,26558.27616707617
26-30 arası,294,4.156462585034014,0.0,0,0,0.8834562994403976,28172.802108843538
4,50,2.68,0.0,0,0,1.0281546739128637,43392.7574
3,75,2.5733333333333333,0.0,0,0,1.0915666081909676,44032.05013333333
0 (Yapım Aşamasında),180,2.477777777777778,0.0,0,0,1.0417133748215046,45680.97627777778
16-20 arası,107,2.364485981308411,0.0,0,0,1.001005276395004,36942.19429906542
1,95,2.305263157894737,0.0,0,0,1.040351430097214,43440.79757894737
0 (Oturuma Hazır),624,2.171474358974359,0.0,1,0,1.061012885568057,43490.88496794872
2,67,2.014925373134328,0.0,0,0,1.0386941521430328,43759.26686567164
21-25 arası,153,2.0065359477124183,0.0,0,0,0.9854378989647962,33900.190261437914
5,106,1.9811320754716981,0.0,0,0,1.0962228330592396,42593.978113207544
11-15 arası,394,1.898477157360406,0.0,0,0,1.0240091653248413,41296.69428934011
6-10 arası,468,1.8333333333333333,0.0,0,0,1.0241435934091823,41172.32532051282
missing,3,0.0,0.0,0,0,1.0566486453914892,44908.426666666666
