room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
2+0,1,0.5723847122950393,0.5723847122950393,16267.774527372927,16267.774527372927,28421.05,44688.824527372926
4+2,4,0.3875662580029408,0.42277092135251126,7997.283333268687,7149.476290367913,22954.252500000002,28189.425639176105
6+1,2,0.19798446360705566,0.19798446360705566,10551.6047216529,10551.6047216529,54722.225,47155.55511941717
5+1,16,0.1935385924688191,0.17690641941520197,8037.113438697979,5369.209001492194,39635.079375,36378.072575999686
2.5+1,5,0.18472405204486905,0.0916805058952045,7404.3556777554795,4689.315340560053,41234.126000000004,39055.36389743564
3.5+1,9,0.16240661942783577,0.21494983494110048,7301.152896132904,5518.983178000515,41939.153333333335,38663.590597208415
4.5+1,7,0.15860723969827237,0.14447629629304679,6562.615735369147,5582.038195044821,39561.57571428572,38418.12575780012
5.5+1,1,0.1556802562072752,0.1556802562072752,5610.976419738065,5610.976419738065,36041.67,41652.64641973806
4+1,180,0.14827926031136124,0.12140707231265702,5662.081772192155,4867.333187701179,38690.006111111106,38067.97812655389
3+2,4,0.14571591970387957,0.12208569625490144,3205.021145801562,2828.46002723687,26211.1325,29160.040978624857
3+1,1328,0.13593556892288114,0.11386523417031244,4809.677366299238,3822.535954996052,36370.32365210843,36058.272272909075
1+1,214,0.1297582100860367,0.11243435166913053,6278.294957533723,5309.597958451646,48202.654205607476,47631.66016953245
3+0,1,0.11691221047718815,0.11691221047718815,4721.4551934812625,4721.4551934812625,40384.62,35663.16480651874
2+1,1236,0.11477569305890564,0.08987781937332998,4374.206395159248,3308.145144658978,38833.473600323625,38392.216354094104
Stüdyo (1+0),12,0.11000183737513895,0.09362372759926016,7250.876549349426,6402.3964148096675,60902.71,56282.796514155496
7+1,1,0.08731145470245533,0.08731145470245533,2710.293364093566,2710.293364093566,31041.67,28331.376635906432
5+2,1,0.08237429049254788,0.08237429049254788,2059.357262313697,2059.357262313697,25000.0,27059.357262313697
2+2,1,0.056942403936429985,0.056942403936429985,2414.3579269046313,2414.3579269046313,42400.0,39985.64207309537
