county,district,m2_group,rows,r2,mape,mean_bias,variance_ratio
Başiskele,Paşadağ Mh.,151-200,14,-0.16763963188801934,0.17660147237847085,-220.30485078316892,0.21437684078482838
Başiskele,Yeşilyurt Mh.,200+,11,-0.26775913220076,0.16083022275021108,-2597.595880022027,0.12627687323013825
Başiskele,Fatih Mah.,200+,11,0.05651858615740757,0.15530578429935996,-1321.1957177248541,0.26079955732567717
Başiskele,Serdar Mah.,76-100,10,0.16815653253440055,0.15187241609034766,-762.2580308751574,0.07266258289846288
Başiskele,Barbaros Mah.,151-200,16,-0.16232522196771915,0.1492789706142261,-576.6744316332081,0.04903764254156787
Başiskele,Fatih Mah.,126-150,53,0.33855025047185705,0.12805577017822004,54.406029835870115,0.23546255669044652
Başiskele,Fatih Mah.,151-200,45,0.388159147723827,0.11759889379070518,-442.4012649164185,0.2858144793391029
Başiskele,Barbaros Mah.,126-150,24,0.16095544195926736,0.1159887457128279,576.7425061290872,0.29754238757836793
Başiskele,Fatih Mah.,101-125,47,0.3074223659604466,0.11498320639346177,655.6832702190953,0.3881651367339231
Başiskele,Paşadağ Mh.,126-150,11,0.2041706421908357,0.11427441972670958,-207.86163181674917,0.1600878837273658
Başiskele,Yeşilyurt Mh.,126-150,38,0.26528810272345815,0.11235679074003227,-1075.6026864394323,0.47299737241238476
Başiskele,Yeşilyurt Mh.,151-200,34,0.5589942536141213,0.10973299226101599,-186.78833726670874,0.30737335163459983
Başiskele,Barbaros Mah.,76-100,23,-0.008288577060854063,0.1086318012261601,-3.250139800267947,0.0741941748858659
Başiskele,Paşadağ Mh.,101-125,20,0.1887292608305493,0.09801788153203812,-214.4049967532681,0.23360833093229377
Başiskele,Döngel Mh.,126-150,12,0.2541014135690457,0.09595558947738365,84.17829359460968,0.1612007145966866
Başiskele,Serdar Mah.,101-125,15,-0.29085467661378384,0.09580118336580176,-1486.8263502612692,0.3618984315212453
Başiskele,Paşadağ Mh.,76-100,46,0.4783216149120927,0.09352438056319473,-583.9557776317097,0.17146792886010137
Başiskele,Barbaros Mah.,101-125,27,0.14396816674112511,0.09298778711877333,-823.5572099896165,0.20733304348965184
Başiskele,Yeşilyurt Mh.,101-125,59,0.4353430008938475,0.08618882845070558,-612.6271342642791,0.26647215680383757
Başiskele,Mahmutpaşa Mh.,126-150,16,0.08270564982000639,0.0850077556364587,-452.7433768274409,0.18936449464035426
Başiskele,Yeşilyurt Mh.,76-100,48,0.3505114641680094,0.08401434555879088,-231.72216307044377,0.33610311563680606
Başiskele,Yaylacık Mh.,76-100,13,0.3490275470364709,0.08255794965107649,-1028.5344937297525,0.18976057973996435
Başiskele,Fatih Mah.,76-100,28,-0.016725712178871754,0.07334044988466136,-844.249403260069,0.49200123578178057
Gölcük,Topçular Mh.,101-125,10,0.19757317241915817,0.2530154697514616,-2565.2879368660847,0.16988059246183032
Gölcük,Değirmendere Merkez Mh.,101-125,13,-0.0731717214329961,0.1901276236239908,-3162.4185194034794,0.10686706910835252
Gölcük,Piyalepaşa Mh.,126-150,10,0.19845085558395859,0.1801573019698785,-1889.0992689287366,0.18757382061128444
Gölcük,Değirmendere Merkez Mh.,126-150,10,0.013570190728142473,0.17964095170102984,988.5082393606856,0.08768431736387955
Gölcük,Yüzbaşılar Mh.,126-150,18,0.28023871556759083,0.17963084700433793,-598.3494496693677,0.19581551256672805
Gölcük,Yüzbaşılar Mh.,101-125,14,-0.02954623423295355,0.1662542933908782,-711.3438997953199,0.07046301568225943
Gölcük,Cumhuriyet Mah.,126-150,14,0.5427224956690155,0.16609486963881143,-2543.7911416748134,0.4189100361916285
Gölcük,Yeni Mah.,76-100,13,0.5335992025093529,0.12962770770895718,-1269.898357456459,0.313030512503045
