decile,rows,actual_mean,pred_mean,mean_bias,median_bias,mape,mae,r2_if_possible,actual_min,actual_max,pred_min,pred_max,bias_pct_of_actual
1,21,20416.20857142857,24267.138794605577,3850.9302231770002,3902.418406145058,0.2022172091563002,3941.2335705754626,-4.97057058279759,15769.23,22727.27,20288.5047649809,33584.507883338694,0.1886212226772692
2,20,24434.434,29660.423751475308,5225.989751475306,4737.498242635587,0.23443590399475672,5702.4918243645125,-58.17694754568189,23000.0,25909.09,21170.556744224203,37727.80039528507,0.21387807679422022
3,20,27261.2815,29021.80773149585,1760.526231495849,1310.7408874786197,0.1743816359301451,4719.7550679614305,-36.18766433574504,25925.93,29000.0,19580.40469418897,40074.45303667215,0.06457973120213915
4,20,30769.018,33177.36744851338,2408.349448513384,2046.4688859614726,0.17203578201659495,5336.528296273351,-34.2608835651488,29166.67,32352.94,25334.490751541234,44736.46876574347,0.0782718983268619
5,20,35141.341499999995,35719.94679652211,578.605296522117,1003.147484130106,0.13014274568516498,4604.813900302152,-10.033142481832147,32592.59,37500.0,26290.36594697431,46464.47908212076,0.016465088463458833
6,20,40018.5945,40070.896275345876,52.30177534587256,979.171890249545,0.11309644951050361,4508.390162595597,-9.303682908339585,37500.0,42352.94,30457.210891852512,49674.56807516253,0.0013069368377210888
7,20,43718.332500000004,42250.10822568074,-1468.2242743192535,-1382.3049734019078,0.1370393600123691,5993.962718595816,-146.5222953442249,42500.0,45000.0,25963.33936811143,55647.73658433925,-0.03358372084111976
8,20,47245.9655,45401.169710906775,-1844.7957890932216,-2063.19667877935,0.17870641952417038,8434.896584731508,-39.202412411502344,45000.0,50000.0,21411.685127941342,59695.43811053236,-0.039046631168818464
9,20,52162.076,46103.76407523179,-6058.31192476821,-5403.255546934641,0.12141343030346732,6297.769849331114,-21.663786108761208,50000.0,55194.81,32900.93649412781,54549.76078406368,-0.11614399558729621
10,21,61954.8280952381,47952.582467833956,-14002.245627404141,-13720.243485446517,0.223877063100436,14351.87743088751,-4.6852694260116685,55263.16,75000.0,36885.882460783,59385.42393657539,-0.22600733563298137
