segment_col,segment_value,rows,actual_mean,pred_mean,mean_bias,abs_bias,mape,r2,pred_variance,actual_variance,variance_ratio
district,Dereköy Mh.,8,30876.40125,33543.8200832951,2667.4188332950985,5315.749484075919,0.17650799299372635,-2.2129581291526392,17117260.37173089,12636610.2990125,1.3545768973399879
building_age_group,0 (Yapım Aşamasında),17,50738.388235294115,51725.12174834838,986.7335130542604,5121.885272281042,0.10344236377998654,-0.9523368931134708,25645518.703870077,20445060.02941544,1.2543626023583423
heating,Yerden Isıtma,21,50758.9119047619,50779.86355106725,20.95164630534072,5333.969881242544,0.10665884485497676,-0.4936378456123949,39163625.24933399,28255664.860506188,1.3860450795505506
building_age_group,16-20 arası,7,41454.467142857146,40544.28171655602,-910.1854263011212,10770.219506505857,0.2622003521897908,-0.2960463509869675,4529148.893153083,127659629.23305713,0.03547831777644135
m2_group,0-75,15,53205.746666666666,51977.08113934182,-1228.665527324847,10959.4320473443,0.21261054498829468,-0.20733499062383198,79458218.53748052,154150932.48705238,0.5154572681171063
room_count,1+1,8,49686.1775,47921.62055539759,-1764.556944602412,12142.485921693671,0.25180390293386473,-0.18208010782580275,75094492.33364429,198248724.22393575,0.37878928415609786
building_age_group,1,8,50381.35625,48471.69039902634,-1909.6658509736653,8158.636026923435,0.15522725576383056,-0.09481900685681488,42290963.17639228,100654958.56934105,0.4201577724286489
building_age_group,0 (Oturuma Hazır),17,51241.218823529416,49577.02560530469,-1664.1932182247208,5583.624304961464,0.10566005333271629,-0.04610822490887001,18495303.42543512,51523961.23948604,0.35896509081411637
district,Ereğli Mh.,20,48524.06,48202.71319261501,-321.3468073849879,6941.290143524551,0.14494357135241157,-0.00869680328374689,53120779.11147823,92973357.29476842,0.5713548553814278
building_age_group,31 ve üzeri,63,28176.812222222223,27771.503883551235,-405.3083386709896,5818.305287026266,0.20014414204986183,0.022363745557548165,21214791.016473208,63150838.26438854,0.33593839131089515
building_age_group,11-15 arası,28,42771.58571428571,41614.12817450615,-1157.4575397795597,6592.952953161663,0.15656603049259,0.21642150909957847,25409193.966239545,81425383.82607725,0.312054948620359
building_age_group,6-10 arası,14,41856.977857142854,39342.712493975596,-2514.2653631672592,8153.027800550383,0.1798423263726128,0.2363580471025173,29522963.835627172,192390131.0523566,0.15345362921756553
detail_effect_total_bucket,q5_high,13,40993.189999999995,37065.82313219911,-3927.3668678008935,9008.83472090079,0.21418162869538093,0.24861845471052024,77420148.68735354,200753072.2867334,0.3856486369323165
site_inside,Evet,46,40168.461956521736,40245.52684954896,77.06489302722193,7458.489086824032,0.19340132327496545,0.27271421422701025,70539130.12265535,117533609.90667385,0.6001613511119593
is_large_flat,1,15,36835.57933333333,35516.220976435994,-1319.3583568973374,6775.191714719419,0.15972149047816575,0.3282921259493662,44889168.7400615,150391928.1988781,0.2984812368433771
m2_group,151-200,11,38220.053636363635,34936.71924270184,-3283.3343936617994,7754.688431270143,0.17294237418395267,0.33310826545703587,58000368.45606558,200810538.1914454,0.28883129828958554
district,Kayacık Mh.,68,42825.69044117647,41957.957587333054,-867.7328538434274,7292.162241045322,0.17321530031565543,0.3958284030199184,62078779.20697984,152078242.9323446,0.4082028961539027
building_age_group,21-25 arası,10,41864.869000000006,39681.433619169555,-2183.435380830448,8094.638679574787,0.19860682966831805,0.402124701200958,48152061.304911055,251903145.27560997,0.1911530769186203
m2_group,126-150,42,31611.89738095238,30953.646427751653,-658.2509532007274,5857.12157956374,0.18578180789178836,0.48573063670376915,85250925.19198509,135744620.95421493,0.6280243341704068
building_age_group,26-30 arası,30,31728.644333333337,30532.466007032246,-1196.1783263010918,4922.462161346866,0.1489066337793535,0.49614525491051154,30119204.16555974,83332611.6156599,0.36143358022274835
detail_effect_total_bucket,q2,49,39183.14551020408,37472.63869641978,-1710.5068137842954,7139.8682267432605,0.18524826895700608,0.50992179322371,105427801.19808577,184174432.89766276,0.5724345097164878
m2_group,76-100,66,41462.26136363637,41153.73724161472,-308.5241220216443,6246.819965356587,0.16035479640584654,0.5298733164611306,67739683.62121013,120349236.82887967,0.5628592702879105
room_count,2+1,87,41875.11379310345,41203.19897197425,-671.914821129199,6109.242085711865,0.14907765561975073,0.5448368679555885,88993292.44029802,133740891.52259822,0.6654157260889861
room_count,3+1,98,34534.163775510206,33187.875182816904,-1346.2885926933031,6316.820471278006,0.18322248432809227,0.5621746476942202,81839538.86460873,168187793.48669592,0.486596186132155
heating,Kombi (Doğalgaz),173,36641.464277456646,35830.697378292956,-810.7668991636892,6215.547091078509,0.1688131028492709,0.5798920015463169,87025445.47850154,163813675.22807345,0.5312465235722129
is_large_flat,0,187,38461.3847593583,37497.22199020389,-964.1627691544014,6387.6985208184005,0.1699315074853605,0.58364083394675,105877341.6590528,168793316.36821434,0.6272602727236343
detail_effect_total_bucket,q3,62,39584.92806451612,37865.08775530495,-1719.8403092111778,5706.258508333691,0.13759954446486636,0.586193138871635,105160308.82994625,145215607.93143553,0.7241667085785872
m2_group,101-125,67,36209.77970149253,34663.2077129167,-1546.5719885758365,5702.356988466043,0.1571095702804639,0.5960553222727498,65639831.65408211,148702069.37138173,0.4414184142262834
district,4 Temmuz Mah.,102,33689.024803921566,32354.59965588,-1334.4251480415671,5619.696797685357,0.1665701720988034,0.6206567549544707,84898321.09562704,146156371.01293808,0.5808732148125904
site_inside,Hayır,156,37801.6883974359,36496.343536765475,-1305.344860670419,6109.2115456405545,0.16202918837363137,0.6206925065592463,107758181.10466522,180966063.07010388,0.5954607138849073
detail_effect_total_bucket,q1_low,46,37321.706304347834,37183.317892193096,-138.38841215473914,7129.343582996775,0.20112825947221855,0.6335133556936049,126059730.10358043,217089226.4425571,0.580681649519519
detail_effect_total_bucket,q4,32,35026.9690625,36520.02394067875,1493.0548781787493,4606.914759286301,0.14151300663930902,0.6388765992168963,72823462.94473903,98058025.00653781,0.74265683955886
