district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Ulaşlı Yalı Mh.,2,0.5383366526150841,0.5383366526150841,12121.821675662919,12121.821675662919,26563.585,27738.223055390386
Avcıköy Mh.,1,0.3588368770571065,0.3588368770571065,18340.551095322247,18340.551095322247,51111.11,32770.55890467775
Durhasan Mh.,1,0.3495036065737101,0.3495036065737101,11120.568664611492,11120.568664611492,31818.18,42938.74866461149
Arızlı Mh.,1,0.29335784153055744,0.29335784153055744,8800.735245916723,8800.735245916723,30000.0,38800.73524591672
Yalakdere Mh.,1,0.26330115617135597,0.26330115617135597,14720.928037488397,14720.928037488397,55909.09,41188.1619625116
Sahil Mah.,4,0.2622969067445586,0.2775104667041833,11299.989627683204,9211.347955555253,42057.255000000005,39968.61332787205
Sepetlipınar Mh.,1,0.24215953160502132,0.24215953160502132,6053.988290125533,6053.988290125533,25000.0,31053.988290125533
Doğan Mh.,7,0.21619719735482576,0.22735084986764487,7556.700149161115,8182.419409998205,36728.47571428571,36206.260015757274
Akçakoca Mh.,18,0.2109541343056993,0.17985833010519725,6073.952563791522,5611.616739028133,29152.645555555555,27277.07873956662
Değirmendere Merkez Mh.,27,0.20443917095466665,0.19857103831548806,6387.599230137805,5401.329477681345,30174.04074074074,29502.148883466634
M. Alipaşa Mh.,17,0.19759847387374618,0.1849459470918306,6990.158599335078,6241.410952223465,37078.49294117647,36047.69459965942
Turgut Mah.,29,0.1904253065873049,0.1718565586662155,7154.734948454712,4846.001807100591,37093.956896551725,34920.422527811636
Yüzbaşılar Mh.,39,0.18701673406857516,0.17565860707178427,4770.0010036812255,4310.113679793503,25685.010769230772,24549.751743049354
Veliahmet Mah.,14,0.18572297993193088,0.1379845339799735,5426.031550891349,4198.286586723787,31820.374285714286,32525.220828855887
Alikahya Merkez Mah.,2,0.1856164670420608,0.1856164670420608,8442.620998798215,8442.620998798215,44613.634999999995,36171.01400120178
Atatürk Mh.,20,0.18436710957920327,0.13846420535524295,6115.363259752086,3950.5208006598314,34571.693,33580.849425542205
Çukurbağ Mh.,13,0.1843658380880351,0.13091745176923633,4632.260894408796,3603.347068180625,25844.376923076925,25968.01143831729
Tavşantepe Mh.,11,0.18247972602052087,0.20167046335593414,4797.355609250182,5690.282156424251,27459.386363636364,27652.776149863785
Dereköy Mh.,8,0.18224853525671766,0.1611589225377862,5515.627424943015,4839.844120607773,30876.401250000003,33651.33799935194
Değirmendere Yalı Mh.,23,0.17953829912687044,0.15115713628199268,4828.090171961983,3730.9780353335736,26245.750869565218,25316.521685407643
Bahçecik Şehitekrem Mh.,2,0.17706106375854314,0.17706106375854314,6470.804679466055,6470.804679466055,37430.555,38372.37189342428
Yenidoğan Mh.,15,0.17557529581965411,0.11394621508994886,5141.292542757512,4431.241824549361,32129.475333333332,32735.96336971255
Kayacık Mh.,68,0.17281675868463559,0.14824584617372016,7316.957136967156,5775.563194838744,42825.69044117647,41961.598362705765
4 Temmuz Mah.,102,0.1659355938308618,0.14830194525742502,5595.692692719892,5316.737278987221,33689.024803921566,32448.389799026234
Bahçecik Kılıçaslan Mh.,11,0.16329044868118273,0.11857812334741298,6740.114400536185,6046.3561737732525,42323.780909090914,40577.6525433332
Hacıhasan Mh.,14,0.16217387841752823,0.14028583274579198,3725.2496901764202,3826.789637539072,25027.505,25230.08624488657
Gültepe Mh.,7,0.16119031945532133,0.13624232085475385,5104.566919786041,4650.153224610091,31332.931428571428,31388.49532206706
Cedit Mah.,30,0.1594711427922317,0.12433655793590001,4395.032895675195,3325.7495917706638,29161.720666666668,28378.293605205592
