heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yok,19,0.2637010450039506,0.228473885497636,9538.338112761934,8462.44649707406,36918.54947368421,34784.11902427982
VRV,3,0.22209493068346195,0.2747903155152153,18871.214962271708,23280.845564949486,78913.62000000001,63234.380475709935
Soba,3,0.21515811073096067,0.2544693472242606,8142.889981216685,5274.454866641001,32377.5,27750.91326321065
Doğalgaz Sobası,27,0.1891481073701128,0.1513420460501177,5292.247497649112,4718.310758420113,27580.844074074077,27460.267012070402
Kombi (Elektrik),6,0.1379154525852843,0.15152671887307168,4745.8529170771935,4264.886729058275,32079.278333333335,36245.081062792226
Kombi (Doğalgaz),1883,0.13702829524092724,0.11204566764178336,4836.847410163036,3813.4313880910413,36164.29989909718,35869.920732922576
Kat Kaloriferi,15,0.1345853697780203,0.15769152952252954,4894.371654025047,4569.406409404881,36340.72,36105.714859795626
Klima,5,0.13245413798765696,0.11316918481358697,4459.499427390147,5344.100142487863,34030.812,33388.927027773425
Merkezi,115,0.12527049747981464,0.11170946071281451,4583.8813603934,3762.7118527943603,37108.953652173914,36619.15215485487
Yerden Isıtma,696,0.11072129344800925,0.08868176399063997,4856.846162900336,3701.438191093046,43350.06400862069,42569.59793132221
Merkezi (Pay Ölçer),183,0.09221519889406468,0.061198531960808246,4357.0661270397495,2508.237463159843,45245.85398907104,44622.35273715261
,3,0.06332072163145125,0.06810629898865131,2866.965705789131,2626.957343999835,44908.426666666666,42992.29016628293
