feature,importance
num__district_m2_group_target_median,0.15490659736107343
num__attr_effect_building_age_bucket,0.05592365323686357
num__is_old_building,0.04917229051978489
num__district_room_count_target_median,0.04649102443265821
num__attr_total_quality_score,0.045608281955589386
num__detail_effect_total_mean,0.019806315977234215
num__location_baseline_log,0.01934296137047813
num__attr_m2_per_room,0.01821154853681735
num__building_age,0.016418028255320342
num__location_baseline_m2,0.015242413791382081
num__trend_sale_m2,0.014407117723220795
cat__demo_dominant_age_group_65+,0.011774766185389614
num__total_floors,0.011554367281963573
num__detail_effect_total_x_attr_quality,0.011186723014250187
num__detail_effect_subtype_mean,0.010834373255515329
num__detail_effect_outside_mean,0.010802198570424932
num__dues,0.0089284681756966
num__attr_is_old_building,0.00882526776090802
num__attr_building_age_score,0.008627821673957908
num__attr_building_age_inverse,0.008380171897361961
num__detail_effect_inside_sum,0.008279730435400399
num__estimated_monthly_rent_gross,0.007836503248619998
num__attr_effect_elevator,0.007733692761973717
num__attr_quality_x_location_baseline,0.0067415129760788825
num__detail_effect_subtype_sum,0.006739239485266512
cat__usage_status_Mülk Sahibi,0.0066706984944728785
num__demo_age_65_plus_count,0.006632703922971514
num__detail_effect_total_sum,0.006365847070396511
num__location_baseline_vs_trend,0.006344296625114574
num__detail_effect_inside_x_attr_quality,0.0062740529884335785
num__demo_age_65_plus,0.006211195962059584
num__detail_effect_county_total_sum,0.005287441555216935
num__attr_quality_x_county_income,0.005278276516342889
num__detail_effect_inside_mean,0.0051516370923479155
num__trend_yield,0.005084886113067055
num__attr_net_gross_ratio,0.00466866537257218
num__gross_m2,0.0046137795535274116
num__attr_quality_x_demo_income,0.004488528930810994
num__net_gross_ratio,0.004067057236037075
num__demo_old_ratio,0.004004844283540998
num__bathroom_count,0.003999995545385867
num__detail_effect_total_abs_sum,0.0039676544576596005
num__demo_population_density,0.003885510274084217
num__detail_effect_district_total_sum,0.003833053886673453
num__demo_widow_ratio,0.0037391965217945843
num__net_m2,0.0037022785847113633
num__location_baseline_level_code,0.0036988088355040857
num__detail_inside_count,0.0036339155701394263
num__detail_selected_count,0.0036204019444224618
num__detail_effect_front_sum,0.003590474761282618
