room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
2+0,1,0.5719708609950452,0.5719708609950452,16256.01243888323,16256.01243888323,28421.05,44677.06243888323
4+2,4,0.3668532990121803,0.44655145795357776,7250.540493508249,7763.830780939006,22954.252500000002,28941.11130593731
5+1,16,0.2110092089461682,0.19402917440945025,8672.272868185226,5933.8328003600545,39635.079375,36364.07377322288
6+1,2,0.20218831273711818,0.20218831273711818,10791.693273840854,10791.693273840854,54722.225,47446.41222394223
5.5+1,1,0.16889626305494307,0.16889626305494307,6087.30337725945,6087.30337725945,36041.67,42128.97337725945
4.5+1,7,0.16792633035816948,0.12871469036509744,6759.656082390279,4973.067114234436,39561.57571428572,39289.76363620733
3.5+1,9,0.1576361535112961,0.15724155364849868,7120.709393384038,3932.0863443231647,41939.153333333335,39393.74910264039
4+1,170,0.15237591943283835,0.1294682001679201,5782.196345394524,4807.894742018139,38589.419411764706,38043.06160305253
2.5+1,5,0.15214968885959174,0.08671273986112774,6112.227880511791,3744.4139243900427,41234.126000000004,38783.18052303116
3+2,4,0.14198475482175246,0.11995666201031824,3098.729257113764,2821.6534556745737,26211.1325,29304.628899960586
3+1,1300,0.13732846126542542,0.11145615352202284,4841.39585300551,3865.0315188953464,36325.80273846154,35972.5096942967
1+1,213,0.1289392129620578,0.11087287916787178,6248.609935400926,4975.971346924962,48251.97671361502,47507.087846722156
2+1,1210,0.11414658106382115,0.08811419476632462,4351.102223387405,3213.0899546273286,38712.94039669422,38267.0162914171
Stüdyo (1+0),12,0.1078860976469108,0.0933004723891965,7189.081903994265,5770.7862470749205,60902.71,55891.596368309394
3+0,1,0.09710744511256589,0.09710744511256589,3921.647270041831,3921.647270041831,40384.62,36462.97272995817
7+1,1,0.08038466234084932,0.08038466234084932,2495.274161446072,2495.274161446072,31041.67,28546.395838553926
5+2,1,0.0659623980087266,0.0659623980087266,1649.0599502181649,1649.0599502181649,25000.0,26649.059950218165
2+2,1,0.04452250447779714,0.04452250447779714,1887.7541898585987,1887.7541898585987,42400.0,40512.2458101414
