room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
2+0,1,13.0,13.0,0,0,0.6446778820651969,28421.05
4+2,4,9.0,8.0,0,0,0.6928535466697421,22954.252500000002
Stüdyo (1+0),12,8.5,7.0,0,0,1.3487711493008092,60902.71
6+1,2,7.0,7.0,0,0,1.2495385549114288,54722.225
5+2,1,7.0,7.0,0,0,0.9091508264399925,25000.0
5.5+1,1,7.0,7.0,0,0,0.8431878611120869,36041.67
7+1,1,7.0,7.0,0,0,1.0323888500386724,31041.67
3+2,4,6.75,6.0,0,0,0.85535684930296,26211.1325
5+1,16,5.5625,7.0,0,0,0.9722387532135839,39635.079375
2+2,1,5.0,5.0,0,0,1.075688932664211,42400.0
3.5+1,9,3.7777777777777777,5.0,0,0,1.1650624412585187,41939.153333333335
4+1,180,2.9,0.0,0,0,0.9871410194669372,38690.006111111106
3+1,1328,2.6302710843373496,0.0,0,0,0.9872725172738621,36370.32365210843
2+1,1236,2.5,0.0,1,0,1.0141819068825786,38833.473600323625
4.5+1,7,2.4285714285714284,0.0,0,0,1.1658521079076383,39561.57571428572
1+1,214,2.3738317757009346,0.0,0,0,1.101443601354754,48202.654205607476
2.5+1,5,1.0,0.0,0,0,1.1848822459346553,41234.126000000004
3+0,1,0.0,0.0,0,0,1.3407635211840694,40384.62
