model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.08569366734836724,1
gradient_boosting,num__attr_effect_building_age_bucket,0.0791516922152777,2
gradient_boosting,num__attr_m2_per_room,0.027098199117239992,3
extra_trees,num__attr_effect_building_age_bucket,0.021893152563117566,4
gradient_boosting,num__attr_building_age_inverse,0.019081065049998496,5
extra_trees,num__attr_is_old_building,0.016569896842869702,6
extra_trees,num__attr_building_age_score,0.014875283890186568,7
extra_trees,num__attr_total_quality_score,0.014224723063888618,8
extra_trees,num__attr_m2_per_room,0.00996380670024852,9
gradient_boosting,num__detail_effect_total_x_attr_quality,0.00942424205532084,10
gradient_boosting,num__attr_building_age_score,0.0072512769538001145,11
gradient_boosting,num__attr_effect_elevator,0.007128273255758362,12
extra_trees,num__detail_effect_total_x_attr_quality,0.006984478715226401,13
extra_trees,num__attr_effect_elevator,0.006604684983926952,14
extra_trees,num__attr_compactness_score,0.006501001996236049,15
extra_trees,num__attr_building_age_inverse,0.006322455766864265,16
gradient_boosting,num__attr_quality_x_location_baseline,0.005536931669877207,17
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.005431800705853132,18
extra_trees,num__detail_effect_outside_x_attr_quality,0.005277849768238703,19
gradient_boosting,num__attr_is_old_building,0.004806576054049714,20
gradient_boosting,num__attr_quality_x_county_income,0.004797417259547514,21
extra_trees,num__detail_effect_inside_x_attr_quality,0.0047453851739270485,22
extra_trees,num__attr_net_gross_ratio,0.004657992193277384,23
extra_trees,num__attr_compact_home_x_quality,0.004033068281563422,24
extra_trees,num__attr_quality_x_location_baseline,0.003953483079794044,25
extra_trees,num__attr_quality_x_county_income,0.00385268306339738,26
extra_trees,num__attr_effect_total_quality_bucket,0.003840766065703036,27
extra_trees,num__attr_quality_x_demo_income,0.003502705481719995,28
extra_trees,num__attr_is_mid_age_building,0.0033565297197933443,29
gradient_boosting,num__attr_quality_x_demo_income,0.003348174028549517,30
extra_trees,num__attr_floor_ratio,0.003196350031377405,31
extra_trees,num__attr_amenity_score,0.003104684548593802,32
extra_trees,num__attr_has_elevator,0.0030940468357355546,33
extra_trees,num__attr_is_middle_floor,0.0030614649035559044,34
extra_trees,num__attr_old_building_x_no_elevator,0.0028214654601293448,35
gradient_boosting,num__attr_net_gross_ratio,0.002657805462218006,36
extra_trees,num__attr_floor_quality_score,0.002478146299065449,37
extra_trees,num__attr_net_gross_good,0.0024671025105142213,38
extra_trees,num__attr_quality_x_district_median,0.002134412985326748,39
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0020593011717639285,40
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.0018550887011247606,41
extra_trees,num__attr_heating_quality_score,0.001829415350363206,42
extra_trees,num__attr_new_building_x_site_inside,0.0017782544644962689,43
gradient_boosting,num__attr_quality_x_district_median,0.0016663555672892137,44
extra_trees,num__attr_effect_site_inside,0.0016117134142144497,45
extra_trees,num__attr_is_young_building,0.0015609691450962743,46
extra_trees,num__attr_is_furnished,0.001509614356697783,47
extra_trees,num__attr_is_ground_or_below,0.0014294308438044532,48
extra_trees,num__attr_net_gross_bad,0.0014122513402585837,49
extra_trees,num__attr_effect_parking,0.0013384772875975283,50
extra_trees,num__attr_is_site_inside,0.0013152727721576665,51
extra_trees,num__attr_is_new_building,0.001270374209685998,52
extra_trees,num__attr_large_home_x_quality,0.0012419467713921104,53
gradient_boosting,num__attr_effect_total_quality_bucket,0.0012312696910494853,54
gradient_boosting,num__attr_compact_home_x_quality,0.001165726161315237,55
gradient_boosting,num__attr_old_building_x_no_elevator,0.001109036873093703,56
extra_trees,num__attr_has_parking,0.0010413807374728917,57
extra_trees,num__attr_is_top_floor,0.0009392621184448708,58
gradient_boosting,num__attr_effect_site_inside,0.0008084887155320272,59
gradient_boosting,num__attr_heating_quality_score,0.0007717612384237933,60
gradient_boosting,num__attr_floor_ratio,0.000669335884893219,61
extra_trees,num__attr_has_premium_heating,0.0005889515586537895,62
extra_trees,num__attr_effect_heating_quality_bucket,0.00046365601026720376,63
gradient_boosting,num__attr_amenity_score,0.0004429137322261544,64
extra_trees,num__attr_has_balcony,0.00040834957931081976,65
extra_trees,num__attr_county_high_quality_premium,0.0003998719024920782,66
extra_trees,num__attr_has_natural_gas_heating,0.00037167408907190453,67
extra_trees,num__attr_county_elevator_premium,0.0002788574610983125,68
gradient_boosting,num__attr_large_home_x_quality,0.00027324493727931554,69
extra_trees,num__attr_county_new_building_premium,0.0002719415923407753,70
gradient_boosting,num__attr_floor_quality_score,0.00025240159524182786,71
extra_trees,num__attr_county_old_building_discount,0.00015695279193851463,72
extra_trees,num__attr_county_parking_premium,0.000134290923661036,73
gradient_boosting,num__attr_effect_parking,0.00011134635052625916,74
gradient_boosting,num__attr_is_furnished,0.00010211002764097315,75
extra_trees,num__attr_has_poor_heating,9.255321122129411e-05,76
extra_trees,num__attr_county_site_inside_premium,7.952481592833208e-05,77
extra_trees,num__attr_county_good_heating_premium,7.847531157329936e-05,78
gradient_boosting,num__attr_is_middle_floor,6.391563282514561e-05,79
gradient_boosting,num__attr_is_site_inside,4.4090366126532866e-05,80
extra_trees,num__attr_credit_eligible,0.0,81
gradient_boosting,num__attr_is_young_building,0.0,82
gradient_boosting,num__attr_is_mid_age_building,0.0,83
gradient_boosting,num__attr_is_new_building,0.0,84
gradient_boosting,num__attr_net_gross_good,0.0,85
gradient_boosting,num__attr_net_gross_bad,0.0,86
gradient_boosting,num__attr_is_ground_or_below,0.0,87
gradient_boosting,num__attr_is_top_floor,0.0,88
gradient_boosting,num__attr_has_balcony,0.0,89
gradient_boosting,num__attr_has_parking,0.0,90
gradient_boosting,num__attr_has_elevator,0.0,91
gradient_boosting,num__attr_compactness_score,0.0,92
gradient_boosting,num__attr_credit_eligible,0.0,93
gradient_boosting,num__attr_has_natural_gas_heating,0.0,94
gradient_boosting,num__attr_has_premium_heating,0.0,95
gradient_boosting,num__attr_has_poor_heating,0.0,96
gradient_boosting,num__attr_new_building_x_site_inside,0.0,97
gradient_boosting,num__attr_county_new_building_premium,0.0,98
gradient_boosting,num__attr_county_old_building_discount,0.0,99
gradient_boosting,num__attr_county_elevator_premium,0.0,100
gradient_boosting,num__attr_county_good_heating_premium,0.0,101
gradient_boosting,num__attr_county_parking_premium,0.0,102
gradient_boosting,num__attr_county_site_inside_premium,0.0,103
gradient_boosting,num__attr_county_high_quality_premium,0.0,104
