county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Başiskele,front_east,front,410,,-0.009362327196889935,0.0014642045082533528,-0.009362327196889935,county
Gölcük,front_east,front,221,,-0.015971960846585954,0.0014642045082533528,-0.015971960846585954,county
Karamürsel,front_east,front,73,,0.012440908569398102,0.0014642045082533528,0.012440908569398102,county
İzmit,front_east,front,503,,0.013791912089505894,0.0014642045082533528,0.013791912089505894,county
Başiskele,front_north,front,291,,0.018469168041421374,0.0024769213347344277,0.018469168041421374,county
Gölcük,front_north,front,164,,-0.017213099491331898,0.0024769213347344277,-0.017213099491331898,county
Karamürsel,front_north,front,86,,0.0044002075982801595,0.0024769213347344277,0.0044002075982801595,county
İzmit,front_north,front,337,,-0.003947386438760534,0.0024769213347344277,-0.003947386438760534,county
Başiskele,front_score,front,631,,-0.00010255619411346002,0.0021072700195698957,-0.00010255619411346002,county
Gölcük,front_score,front,342,,-0.01146897275136421,0.0021072700195698957,-0.01146897275136421,county
Karamürsel,front_score,front,140,,-0.0024577287933062082,0.0021072700195698957,-0.0024577287933062082,county
İzmit,front_score,front,972,,0.014107481976159873,0.0021072700195698957,0.014107481976159873,county
Başiskele,front_south,front,430,,-0.011264056039882694,-0.00423243269671314,-0.011264056039882694,county
Gölcük,front_south,front,232,,-0.016337849022714956,-0.00423243269671314,-0.016337849022714956,county
Karamürsel,front_south,front,88,,0.0020042587392292604,-0.00423243269671314,0.0020042587392292604,county
İzmit,front_south,front,653,,0.0057647074169024015,-0.00423243269671314,0.0057647074169024015,county
Başiskele,front_west,front,403,,0.010550228340401209,0.008738206127239856,0.010550228340401209,county
Gölcük,front_west,front,196,,0.006449884784544116,0.008738206127239856,0.006449884784544116,county
Karamürsel,front_west,front,80,,-0.017861088747282865,0.008738206127239856,-0.017861088747282865,county
İzmit,front_west,front,475,,0.011888963634709322,0.008738206127239856,0.011888963634709322,county
Başiskele,in_air_conditioner,inside,38,,0.08970178242430235,0.09716903350103667,0.08970178242430235,county
Gölcük,in_air_conditioner,inside,16,,0.07406663234977297,0.09716903350103667,0.07406663234977297,global_fallback
Karamürsel,in_air_conditioner,inside,4,,0.09878744567117803,0.09716903350103667,0.09878744567117803,global_fallback
İzmit,in_air_conditioner,inside,53,,0.10209492997749997,0.09716903350103667,0.10209492997749997,county
Başiskele,in_builtin_kitchen,inside,180,,0.048989527487046776,0.0736675811557097,0.048989527487046776,county
Gölcük,in_builtin_kitchen,inside,93,,0.059738791394710736,0.0736675811557097,0.059738791394710736,county
Karamürsel,in_builtin_kitchen,inside,28,,0.06800100050740365,0.0736675811557097,0.06800100050740365,global_fallback
İzmit,in_builtin_kitchen,inside,260,,0.09173075514342868,0.0736675811557097,0.09173075514342868,county
Başiskele,in_dressing_room,inside,49,,0.0815672882459871,0.12505885451046694,0.0815672882459871,county
Gölcük,in_dressing_room,inside,8,,0.14307812714253082,0.12505885451046694,0.14307812714253082,global_fallback
Karamürsel,in_dressing_room,inside,2,,0.12505885451046694,0.12505885451046694,0.12505885451046694,global_fallback
İzmit,in_dressing_room,inside,35,,0.1382715684512555,0.12505885451046694,0.1382715684512555,county
Başiskele,in_fiber,inside,286,,0.019990107302205764,0.04265311818747364,0.019990107302205764,county
Gölcük,in_fiber,inside,102,,0.07472534750504806,0.04265311818747364,0.07472534750504806,county
Karamürsel,in_fiber,inside,32,,0.04663017136039081,0.04265311818747364,0.04663017136039081,county
İzmit,in_fiber,inside,407,,0.05693547528352818,0.04265311818747364,0.05693547528352818,county
Başiskele,in_glass_balcony,inside,55,,0.03559642609477365,0.03646441229476416,0.03559642609477365,county
Gölcük,in_glass_balcony,inside,60,,0.04185881657258764,0.03646441229476416,0.04185881657258764,county
Karamürsel,in_glass_balcony,inside,21,,0.007987530902315042,0.03646441229476416,0.007987530902315042,global_fallback
İzmit,in_glass_balcony,inside,95,,0.03738625154570056,0.03646441229476416,0.03738625154570056,county
Başiskele,in_heat_glass,inside,405,,0.02113491139435334,0.01597055406346648,0.02113491139435334,county
Gölcük,in_heat_glass,inside,168,,0.007647124391111931,0.01597055406346648,0.007647124391111931,county
Karamürsel,in_heat_glass,inside,39,,0.017507392781337915,0.01597055406346648,0.017507392781337915,county
İzmit,in_heat_glass,inside,530,,0.017390621677245584,0.01597055406346648,0.017390621677245584,county
Başiskele,in_intercom,inside,306,,0.035866093148043135,0.06554992865577347,0.035866093148043135,county
Gölcük,in_intercom,inside,62,,0.08201457850882748,0.06554992865577347,0.08201457850882748,county
Karamürsel,in_intercom,inside,15,,0.09026416957510186,0.06554992865577347,0.09026416957510186,global_fallback
İzmit,in_intercom,inside,345,,0.08850458766800437,0.06554992865577347,0.08850458766800437,county
Başiskele,in_laminate_floor,inside,423,,0.016609740120534733,0.007013783627802361,0.016609740120534733,county
Gölcük,in_laminate_floor,inside,240,,-0.0005452603807741471,0.007013783627802361,-0.0005452603807741471,county
Karamürsel,in_laminate_floor,inside,89,,-0.03599110469310725,0.007013783627802361,-0.03599110469310725,county
İzmit,in_laminate_floor,inside,692,,0.00964581471266703,0.007013783627802361,0.00964581471266703,county
Başiskele,in_pantry,inside,56,,-0.004351942828144352,0.00438714990395539,-0.004351942828144352,county
Gölcük,in_pantry,inside,28,,0.022440585398496794,0.00438714990395539,0.022440585398496794,global_fallback
Karamürsel,in_pantry,inside,11,,-0.004559390422122727,0.00438714990395539,-0.004559390422122727,global_fallback
İzmit,in_pantry,inside,72,,0.01340340996033973,0.00438714990395539,0.01340340996033973,county
Başiskele,in_parent_bathroom,inside,183,,0.0700521763900064,0.08158679399582347,0.0700521763900064,county
Gölcük,in_parent_bathroom,inside,36,,0.13474961255707232,0.08158679399582347,0.13474961255707232,county
Karamürsel,in_parent_bathroom,inside,6,,0.08594116254129355,0.08158679399582347,0.08594116254129355,global_fallback
İzmit,in_parent_bathroom,inside,123,,0.1023568212664897,0.08158679399582347,0.1023568212664897,county
Başiskele,in_pvc,inside,310,,0.013609611256263515,0.011357584508055574,0.013609611256263515,county
Gölcük,in_pvc,inside,168,,0.0027615800973928672,0.011357584508055574,0.0027615800973928672,county
Karamürsel,in_pvc,inside,65,,-0.0063246693260597606,0.011357584508055574,-0.0063246693260597606,county
İzmit,in_pvc,inside,488,,0.016181994038631995,0.011357584508055574,0.016181994038631995,county
Başiskele,in_smart_home,inside,28,,0.08248663461102007,0.08965270788444091,0.08248663461102007,global_fallback
Gölcük,in_smart_home,inside,5,,0.08429754503621596,0.08965270788444091,0.08429754503621596,global_fallback
Karamürsel,in_smart_home,inside,2,,0.08965270788444091,0.08965270788444091,0.08965270788444091,global_fallback
İzmit,in_smart_home,inside,43,,0.10181561413482698,0.08965270788444091,0.10181561413482698,county
Başiskele,in_steel_door,inside,517,,0.016540208424343963,0.011850093594294009,0.016540208424343963,county
Gölcük,in_steel_door,inside,259,,0.006666140448963099,0.011850093594294009,0.006666140448963099,county
Karamürsel,in_steel_door,inside,94,,0.00612679414077281,0.011850093594294009,0.00612679414077281,county
İzmit,in_steel_door,inside,748,,0.017760758300172538,0.011850093594294009,0.017760758300172538,county
Başiskele,in_terrace,inside,119,,-0.026754321960590827,-0.020154240150892733,-0.026754321960590827,county
Gölcük,in_terrace,inside,33,,0.00040149293224609785,-0.020154240150892733,0.00040149293224609785,county
Karamürsel,in_terrace,inside,8,,-0.04773528849299271,-0.020154240150892733,-0.04773528849299271,global_fallback
İzmit,in_terrace,inside,90,,-0.014966503655501309,-0.020154240150892733,-0.014966503655501309,county
Başiskele,near_city_center,nearby,387,,-0.007000608769585494,-0.015597958027843362,-0.007000608769585494,county
Gölcük,near_city_center,nearby,224,,-0.02887160046037232,-0.015597958027843362,-0.02887160046037232,county
Karamürsel,near_city_center,nearby,95,,-0.0720689680010338,-0.015597958027843362,-0.0720689680010338,county
İzmit,near_city_center,nearby,748,,-0.0063735179822118175,-0.015597958027843362,-0.0063735179822118175,county
Başiskele,near_hospital,nearby,537,,-0.005231751662058408,-0.0016427332037647346,-0.005231751662058408,county
Gölcük,near_hospital,nearby,316,,-0.009277861820621302,-0.0016427332037647346,-0.009277861820621302,county
Karamürsel,near_hospital,nearby,95,,-0.04824793523717682,-0.0016427332037647346,-0.04824793523717682,county
İzmit,near_hospital,nearby,885,,0.009445229012973422,-0.0016427332037647346,0.009445229012973422,county
Başiskele,near_lake_zero,nearby,6,,0.01643536028639419,0.014093967213049119,0.01643536028639419,global_fallback
Gölcük,near_lake_zero,nearby,3,,0.01545314550977998,0.014093967213049119,0.01545314550977998,global_fallback
Karamürsel,near_lake_zero,nearby,0,,0.014093967213049119,0.014093967213049119,0.014093967213049119,global_fallback
İzmit,near_lake_zero,nearby,13,,0.00544022763885969,0.014093967213049119,0.00544022763885969,global_fallback
Başiskele,near_mall,nearby,374,,0.016924914468173964,0.006738174768979199,0.016924914468173964,county
Gölcük,near_mall,nearby,140,,-0.014430282984397963,0.006738174768979199,-0.014430282984397963,county
Karamürsel,near_mall,nearby,34,,0.021848463933085024,0.006738174768979199,0.021848463933085024,county
İzmit,near_mall,nearby,627,,0.010071973080199878,0.006738174768979199,0.010071973080199878,county
Başiskele,near_market,nearby,595,,-0.005983592207852045,-0.0031881360738550413,-0.005983592207852045,county
Gölcük,near_market,nearby,342,,-0.011619661851265749,-0.0031881360738550413,-0.011619661851265749,county
Karamürsel,near_market,nearby,126,,-0.03795950584061412,-0.0031881360738550413,-0.03795950584061412,county
İzmit,near_market,nearby,922,,0.006398949204538653,-0.0031881360738550413,0.006398949204538653,county
Başiskele,near_mosque,nearby,558,,-0.009214560282932502,-0.007735954634927822,-0.009214560282932502,county
Gölcük,near_mosque,nearby,307,,-0.009494110803582248,-0.007735954634927822,-0.009494110803582248,county
Karamürsel,near_mosque,nearby,114,,-0.06918095105373805,-0.007735954634927822,-0.06918095105373805,county
İzmit,near_mosque,nearby,859,,0.003366154234814805,-0.007735954634927822,0.003366154234814805,county
Başiskele,near_park,nearby,500,,0.0005799531190969664,-0.008372619494442901,0.0005799531190969664,county
Gölcük,near_park,nearby,276,,-0.02390860654303351,-0.008372619494442901,-0.02390860654303351,county
Karamürsel,near_park,nearby,95,,-0.040989213732373804,-0.008372619494442901,-0.040989213732373804,county
İzmit,near_park,nearby,798,,-0.004606011289181211,-0.008372619494442901,-0.004606011289181211,county
Başiskele,near_pharmacy,nearby,511,,0.009495471506344508,-0.0013425592598252933,0.009495471506344508,county
