building_age_group,n,mape,mae
4,2,0.28057173762494947,9775.813155648748
16-20 arası,7,0.26665558719655474,10914.789762885766
3,3,0.20728649915518707,12316.518502331264
31 ve üzeri,63,0.1892942800014532,5274.360639784482
21-25 arası,10,0.18597670455360252,8498.336523253716
11-15 arası,28,0.1747900173140749,7209.927168566991
6-10 arası,15,0.16375951403871764,7814.976423567119
26-30 arası,31,0.1587237036602563,5320.185886332164
1,8,0.15863337145637685,8165.58468383297
5,2,0.15288428537945206,9306.683749776628
2,1,0.13785911844843532,4901.658157540449
0 (Oturuma Hazır),18,0.09291087743913046,5074.9723993946845
0 (Yapım Aşamasında),17,0.08837961855795368,4405.801805926023
