model,mape,mae_tl_per_m2,median_ae_tl_per_m2,r2,log_r2
ensemble_hgb_gb_et,0.13206912214749358,5065.90253882945,3842.1918013074956,0.6277582627835356,0.6421008423661594
ensemble_grid_best_r2_v5,0.13352228126658364,5123.863773696655,3992.0055631809482,0.6202095354077475,0.6351097424420731
ensemble_gb_hgb,0.13346355716712777,5122.4816684237085,3956.1470795290024,0.620037991283514,0.6349127408515618
ensemble_hgb_et_rf,0.13393967071629176,5137.947507505363,4000.2363005286643,0.6189193144214161,0.6347817644273532
gradient_boosting_tuned_r2_v5,0.13600476373307172,5218.823317504561,4165.752258753055,0.6104074384619151,0.6250616865088283
hist_gradient_boosting_v5,0.13516472226103543,5191.887199695059,4070.5770280370507,0.6060737299244932,0.622286781735441
catboost_manual_v5,0.13700788428810437,5285.359196774736,4269.687881269561,0.6027225268916822,0.6246614291230774
gradient_boosting_v5,0.1405558473151336,5396.618062136115,4488.970963519847,0.5883867450475604,0.6034782044220157
extra_trees_v5,0.1396652667817168,5375.868574565853,4202.8148252921055,0.5824465472686804,0.5986077584720839
ridge_v5,0.1429991720752341,5463.242539578892,4273.614255639328,0.5715645317497271,0.5870683050064126
random_forest_v5,0.1430602190993575,5490.045135011826,4492.723130772018,0.5698853935981303,0.5907045379660841
elasticnet_v5,0.15459052298689357,5913.78748889373,4862.988092961281,0.5018842706089494,0.5275421546660535
