district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Ulaşlı Yalı Mh.,3,0.3431716468356305,0.37284219517311207,8346.782362720742,7763.041329407271,24005.353333333333,23429.41547559069
Yalakdere Mh.,1,0.34141981023692514,0.34141981023692514,19088.470898319167,19088.470898319167,55909.09,36820.61910168083
Arızlı Mh.,1,0.2659010309718333,0.2659010309718333,7977.030929155,7977.030929155,30000.0,37977.030929155
Avcıköy Mh.,1,0.23367689498764455,0.23367689498764455,11943.48548417195,11943.48548417195,51111.11,39167.62451582805
Sepetlipınar Mh.,1,0.2323302842699435,0.2323302842699435,5808.257106748588,5808.257106748588,25000.0,30808.257106748588
Akçakoca Mh.,18,0.21175566434365561,0.18825342510871973,5935.952288265198,5441.3249619739145,29152.645555555555,27886.864917982522
Doğan Mh.,7,0.20889427985890835,0.23298361677944696,7280.755801639132,7666.021905640686,36728.47571428571,36384.64088532411
Çukurbağ Mh.,13,0.20856106322969317,0.1290702940342739,4999.566244313998,3047.4373668190638,25844.376923076925,26233.420990256735
M. Alipaşa Mh.,17,0.20742102790132996,0.21224947931916335,7376.376042377501,7976.694752569165,37078.49294117647,36327.3171426392
Durhasan Mh.,1,0.20540394646649235,0.20540394646649235,6535.579741381218,6535.579741381218,31818.18,38353.75974138122
Seymen Mah.,10,0.20003445773241366,0.1509200127597052,7940.333642211088,5743.572216659126,44081.542,42397.22778131364
Halıdere Yeni Mh.,1,0.19937468940583947,0.19937468940583947,8818.496030931121,8818.496030931121,44230.77,35412.273969068876
Turgut Mah.,29,0.1886754425216767,0.15049573313646405,6952.137370087782,5168.496506592186,37093.956896551725,35017.30493101558
Alikahya Merkez Mah.,2,0.18866155769417253,0.18866155769417253,8599.580910711142,8599.580910711142,44613.634999999995,36014.05408928885
Hacıhasan Mh.,13,0.1880525267981922,0.16553368256923537,4470.639001090269,4359.546003484746,25745.800769230773,26195.832674609308
Değirmendere Yalı Mh.,23,0.17962354241981218,0.17941642487376977,4891.368102727081,4058.3418807903,26245.750869565218,25085.20750960079
Bahçecik Şehitekrem Mh.,2,0.178199080813218,0.178199080813218,6473.976556624904,6473.976556624904,37152.78,38147.199815419044
Atakent Mah.,5,0.17800504419365945,0.2302343700311301,8767.894118452707,8574.245663389927,47155.418,43477.37180558133
Yenidoğan Mh.,15,0.17791478745785008,0.11901931695030435,5169.673686186848,4615.765210536687,32129.475333333332,32784.61629743151
Bahçecik Kılıçaslan Mh.,11,0.17751908871326247,0.10113808285773139,6951.417172610829,4714.063235472946,42051.83090909091,41365.022774267956
Kocatepe Mah.,20,0.17589084368201974,0.14474026072854515,6647.543749180391,4705.971625728758,37441.631,36372.95239964216
Dereköy Mh.,8,0.17376179825788346,0.17840380948661438,5140.061268152175,5636.139493587054,30876.401250000003,33514.45875977036
Sahil Mah.,3,0.1723741126334144,0.21354567606376862,5764.725411512514,6510.537862696965,35550.026666666665,40185.68597884541
Atatürk Mh.,20,0.17165183079141225,0.1493812904233046,5741.78495384254,4913.610913943361,34571.693,33277.09590033712
Kayacık Mh.,70,0.17070147244962364,0.14500468098937644,7225.425108824425,5054.819530573395,42571.72585714286,41198.17850729974
Yazlık Yeni Mh.,17,0.16835355345602318,0.17623919741944283,6186.233237347093,5458.103523322501,37599.715882352946,37042.34523261949
Gültepe Mh.,7,0.16833544216310473,0.14218874440937768,5267.002964454505,4344.656711125404,31332.931428571428,31301.806929499762
Değirmendere Merkez Mh.,31,0.1638898210458746,0.16347360518988507,5203.094655315755,4020.6888296717916,30178.13483870968,29137.163834927258
Yüzbaşılar Mh.,45,0.16372899879961633,0.16071134685400756,4495.693338736878,4178.997352467897,27597.345111111114,26614.771821133094
4 Temmuz Mah.,103,0.1622052974478545,0.1397523795296088,5359.646143544257,4285.8380463710855,33609.67388349515,32611.421496165734
Cedit Mah.,30,0.16152851311129948,0.13076898878615323,4455.05609212586,3616.836492375398,29161.720666666668,28186.329676758112
Veliahmet Mah.,14,0.15911934811795478,0.13219552139965574,4706.032295693074,4255.422014731286,31820.374285714286,32153.768287892966
Tavşantepe Mh.,11,0.15884077071484573,0.14050648944201904,4003.2061159065543,4998.658807292431,27459.386363636364,28331.101782587797
Ömerağa Mh.,15,0.15751410373239724,0.1682341037931005,4624.771136527366,3995.559965086137,29268.638,28833.20423473861
Halıdere Yalı Mh.,14,0.15697165801624147,0.15362758124358125,3868.9923281898023,2970.47098922668,26066.105714285713,25021.653269410923
Karadenizliler Mah.,12,0.1561229188588649,0.14226491501592609,5791.225074021463,4984.1489507830265,39997.38166666667,40204.21593500507
Yukarı Mh.,8,0.15187131391774544,0.16767011568255646,6912.338906256368,8081.750054932378,44937.9475,40883.69011623738
