heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yok,18,0.2559672315098294,0.2441595643071014,8469.062082757395,6935.114868437706,34036.294444444444,33568.81029886844
VRV,3,0.215091257601185,0.23118686540601535,18107.60924185253,19586.66447203882,78913.62000000001,64870.522709542296
Doğalgaz Sobası,27,0.20250935125435687,0.1545977110088083,5628.968530597661,4793.057790940817,27552.354074074075,27567.907844629262
Klima,6,0.17086715469132882,0.1834047558462731,6250.760686218779,5751.383040045643,32525.676666666666,29616.841449961565
Kombi (Elektrik),6,0.15487951344405423,0.18153307785504064,5279.078833568954,5001.181957993671,32079.278333333335,34954.78520950582
Kat Kaloriferi,17,0.14320713708736596,0.1325137870851373,4915.8214581673465,4682.626676249256,35694.61235294118,35469.790291583675
Soba,3,0.1396734264041991,0.15912895045808814,5301.621746188164,3298.308720961417,32377.5,29716.79809007353
Kombi (Doğalgaz),1969,0.13516802061017877,0.11037900923925906,4776.946130580634,3722.9869248713876,36039.28161503301,35710.298548823244
Merkezi,115,0.1281854967296094,0.12048783566579853,4659.027324203802,4241.079296244901,37110.7652173913,36795.53117704297
Yerden Isıtma,751,0.10765328185020029,0.08785647450879021,4760.959978241046,3737.8618441441795,43455.153328894805,42547.133705505395
Merkezi (Pay Ölçer),186,0.09112277515523895,0.0662449600558677,4267.131763513835,2782.2677062158364,45171.956612903225,44737.328035400766
,3,0.06968762651356707,0.0867998511566149,3098.909469347076,3490.5343997377786,44908.426666666666,42786.98483096806
