county,feature,importance
Başiskele,num__basiskele_detail_group_bucket_median,0.14083455844138862
Başiskele,num__district_m2_group_target_median,0.07488225403068818
Başiskele,num__attr_total_quality_score,0.06546891975687649
Başiskele,num__attr_quality_x_county_income,0.02345337861440056
Başiskele,num__attr_m2_per_room,0.020072197828304696
Başiskele,num__basiskele_lat_lon_interaction,0.012981173449081632
Başiskele,num__basiskele_detail_subtype_premium_signal,0.011872522274389943
Başiskele,num__detail_effect_inside_mean,0.011154250558335417
Başiskele,num__attr_quality_x_location_baseline,0.011050425565034456
Başiskele,num__detail_effect_outside_sum,0.010544532352455315
Başiskele,num__detail_effect_front_sum,0.010257554209110533
Başiskele,num__detail_effect_total_mean,0.010253279076815135
Başiskele,num__detail_effect_outside_mean,0.00908707359266605
Başiskele,num__attr_effect_elevator,0.009084716936708257
Başiskele,num__total_floors,0.009007459068536354
Başiskele,cat__elevator_Yok,0.008978893233764792
Başiskele,num__basiskele_district_premium_bucket_mean,0.008809204644159976
Başiskele,num__net_m2,0.00866697372238915
Başiskele,num__attr_effect_total_quality_bucket,0.008468376291548388
Başiskele,cat__elevator_Var,0.008042872846303267
Başiskele,num__detail_effect_county_total_sum,0.0075319734482321085
Başiskele,num__dues,0.007174319320815047
Başiskele,num__detail_effect_subtype_sum,0.0070538294568130815
Başiskele,num__estimated_monthly_rent_gross,0.006961302709380583
Başiskele,num__attr_has_elevator,0.006840832738987779
Başiskele,num__district_room_count_target_median,0.00682545241349518
Başiskele,num__bearing_from_district_centroid_sin,0.006654605209654854
Başiskele,num__detail_effect_subtype_mean,0.006462916996592445
Başiskele,num__location_baseline_log,0.006391351701256936
Başiskele,num__bearing_from_county_centroid_cos,0.005666579038249714
Başiskele,num__detail_effect_front_mean,0.005630988094989072
Başiskele,num__location_baseline_m2,0.0055833134769004405
Başiskele,num__bearing_from_district_centroid_cos,0.005542051596668027
Başiskele,cat__floor_segment_Zemin/Giriş,0.005137506377025644
Başiskele,num__detail_effect_outside_x_attr_quality,0.005133681833657897
Başiskele,num__gross_m2,0.0048642425155854
Başiskele,num__lat,0.004669958881281644
Başiskele,num__attr_quality_x_district_median,0.004424336608364794
Başiskele,num__attr_net_gross_ratio,0.004245484320405191
Başiskele,num__detail_effect_inside_x_attr_quality,0.004220849058541526
Gölcük,num__is_old_building,0.07642654674208924
Gölcük,num__district_m2_group_target_median,0.0724753131041357
Gölcük,num__trend_sale_m2,0.03006381916321546
Gölcük,num__demo_divorced_ratio,0.030046327978400292
Gölcük,num__building_age,0.02811449311580889
Gölcük,num__trend_yield,0.018683493104063694
Gölcük,num__attr_building_age_score,0.01737611437407051
Gölcük,num__attr_compact_home_x_quality,0.016372873625550777
Gölcük,num__district_room_count_target_median,0.015911174885928612
Gölcük,num__attr_is_old_building,0.015261197474803865
Gölcük,cat__district_Cumhuriyet Mah.,0.015156724429447462
Gölcük,num__attr_m2_per_room,0.01372946118508069
Gölcük,num__attr_effect_building_age_bucket,0.012366051547942476
Gölcük,num__total_floors,0.012198995368050023
Gölcük,num__gross_m2,0.011670875057239282
Gölcük,num__attr_total_quality_score,0.010943933513733682
Gölcük,num__estimated_monthly_rent_gross,0.010414789041615899
Gölcük,num__net_m2,0.010411964032268134
Gölcük,num__detail_effect_total_mean,0.010086550980285944
Gölcük,num__attr_quality_x_county_income,0.009587269360784799
Gölcük,num__detail_effect_county_total_sum,0.008806238606405385
Gölcük,num__detail_effect_inside_mean,0.008680395943045725
Gölcük,cat__usage_status_Mülk Sahibi,0.008660309579107048
Gölcük,num__district_m2_group_rent_m2_count,0.008620262520319218
Gölcük,num__district_target_mean,0.0085138998523619
Gölcük,num__detail_effect_inside_x_attr_quality,0.008317471042716958
Gölcük,num__detail_effect_district_total_sum,0.007991249715924891
Gölcük,num__large_home_detail_premium_x_m2,0.007987987898878654
Gölcük,num__detail_effect_total_sum,0.007577535033238234
Gölcük,num__detail_effect_inside_sum,0.007495754665091429
Gölcük,num__detail_effect_total_x_attr_quality,0.0074705263136910305
Gölcük,num__attr_is_mid_age_building,0.007463208710431377
Gölcük,num__attr_compactness_score,0.0070813789927158255
Gölcük,num__demo_household_size,0.006271618386898807
Gölcük,num__floor_num,0.005823623013182551
Gölcük,num__attr_building_age_inverse,0.005532776912823469
Gölcük,cat__building_age_group_21-25 arası,0.005513532632422865
Gölcük,num__trend_count_sale,0.005236106455548126
Gölcük,num__detail_effect_front_sum,0.005112502089041865
Gölcük,num__demo_age_0_14,0.005013055316886131
Karamürsel,num__attr_building_age_inverse,0.12812675287998154
Karamürsel,num__building_age,0.12292081997786264
Karamürsel,num__attr_is_old_building,0.054106003047189336
Karamürsel,num__attr_effect_building_age_bucket,0.044291826881164634
Karamürsel,num__detail_inside_count,0.037140513483566756
Karamürsel,num__attr_quality_x_district_median,0.032444472624137216
Karamürsel,num__attr_amenity_score,0.027582181997764958
Karamürsel,num__dues,0.02736470722344895
Karamürsel,num__detail_effect_total_abs_sum,0.02432019261886987
Karamürsel,num__detail_effect_total_mean,0.022066027630240466
Karamürsel,num__total_floors,0.02036358687557075
Karamürsel,num__estimated_monthly_rent_gross,0.017648037496054772
Karamürsel,num__district_m2_group_target_median,0.01744589248281229
Karamürsel,num__detail_effect_nearby_mean,0.016714175688180146
Karamürsel,num__attr_quality_x_location_baseline,0.01637847625710489
Karamürsel,num__is_old_building,0.015302521383212087
Karamürsel,num__detail_effect_view_mean,0.014581676988657815
Karamürsel,num__detail_effect_level_code,0.014314068617107028
Karamürsel,num__detail_quality_score,0.011740071504545221
Karamürsel,num__district_m2_group_rent_m2_count,0.011371729818465069
Karamürsel,num__detail_selected_count,0.01064451002238493
Karamürsel,num__attr_net_gross_ratio,0.010489515990723525
Karamürsel,num__attr_building_age_score,0.010076574497846194
Karamürsel,cat__usage_status_Kiracılı,0.010006223549008209
Karamürsel,num__detail_effect_positive_count,0.00967818632105143
Karamürsel,num__attr_quality_x_demo_income,0.009565120168658908
Karamürsel,num__net_gross_ratio,0.009374483055518586
Karamürsel,cat__detail_konut_tipi_missing,0.009205848102677439
Karamürsel,num__detail_effect_transport_sum,0.009162969479332027
Karamürsel,num__attr_m2_per_room,0.008316516278633092
Karamürsel,num__attr_quality_x_county_income,0.008096214042863339
