feature,importance
num__district_m2_group_target_median,0.14695887379478
num__attr_effect_building_age_bucket,0.05859889031439805
num__attr_total_quality_score,0.04506772135891142
num__district_room_count_target_median,0.04207115941783489
num__is_old_building,0.03407252449005087
num__trend_sale_m2,0.029639539403197572
num__building_age,0.028868224280638448
num__attr_m2_per_room,0.01879136133560771
num__detail_effect_total_mean,0.01832785337862125
num__detail_effect_outside_mean,0.011863914360786201
cat__demo_dominant_age_group_65+,0.011616766186334065
num__trend_yield,0.011584236745956272
num__total_floors,0.011369149108490989
num__detail_effect_inside_mean,0.010308371561112875
num__attr_quality_x_location_baseline,0.00994597187071389
num__detail_effect_subtype_mean,0.009828548118155415
num__demo_age_65_plus,0.008801094603063359
num__attr_effect_elevator,0.008493964760475033
num__basiskele_detail_group_bucket_median,0.008330320366807208
num__dues,0.007589143890826071
num__estimated_monthly_rent_gross,0.007582195862359852
num__attr_is_old_building,0.007565214118967454
num__demo_divorced_ratio,0.006931345879967795
num__detail_effect_subtype_sum,0.006877847702435212
num__detail_effect_total_x_attr_quality,0.006837903073018375
cat__usage_status_Mülk Sahibi,0.00678469515516915
num__demo_old_ratio,0.006761900213642818
num__detail_effect_inside_sum,0.006697431590739393
num__attr_building_age_score,0.006516818286412411
num__attr_building_age_inverse,0.006370578687861709
num__detail_effect_total_abs_sum,0.006340378733517912
num__detail_effect_total_sum,0.006032459938369601
num__detail_inside_count,0.005647503327932006
num__detail_effect_front_sum,0.00551153427138798
num__detail_effect_inside_x_attr_quality,0.005173653685373239
num__attr_quality_x_county_income,0.004954770876538107
num__district_target_mean,0.0049283271971153255
num__demo_population_density,0.004633828825958419
num__demo_age_65_plus_count,0.004500876214732289
num__gross_m2,0.004123893024909529
num__detail_effect_county_total_sum,0.004120699577870231
num__detail_selected_count,0.004032430264820452
cat__usage_status_Kiracılı,0.0037381619490762467
cat__parking_Açık Otopark,0.0037202022878473767
num__district_room_rent_m2_count,0.003667907364211955
num__detail_effect_front_mean,0.0035094576894646773
num__detail_effect_outside_x_attr_quality,0.003499574430953232
num__detail_effect_nearby_mean,0.0034795289597664655
num__attr_compactness_score,0.0034770048557603937
num__net_gross_ratio,0.003466924161262058
