feature,importance,rank
num__attr_quality_x_location_baseline,0.00994597187071389,1
num__demo_population_density,0.004633828825958419,2
num__detail_effect_view_x_location_baseline,0.002326214508080968,3
num__demo_pharmacy_per_10k,0.0022077210890009205,4
num__demo_education_primary_school_count,0.0016168928538795849,5
num__bearing_from_county_centroid_cos,0.0015833077839285904,6
num__is_small_flat,0.0011481162795065885,7
num__bearing_from_district_centroid_cos,0.0011248548042755064,8
num__demo_pharmacy_count,0.0011213988052342083,9
num__bsk_distance_to_sea_x_site_inside,0.0008005320046431891,10
num__demo_education_high_school_ratio,0.0007320397539651684,11
num__demo_education_high_school_count,0.0006839340001127349,12
num__lat_centered_county,0.0006014182355996035,13
num__bearing_from_district_centroid_sin,0.0005940876574008374,14
num__demo_population_female,0.0005894220145925451,15
num__coastal_access_score,0.0005820931391886306,16
num__demo_education_middle_school_ratio,0.0005814448018349101,17
num__demo_education_primary_school_ratio,0.0004994137276381686,18
num__lat_centered_city,0.0004966822004329847,19
num__demo_high_school_diff_county,0.0004630011590510392,20
num__location_baseline_m2,0.0004198888464451851,21
num__demo_education_middle_school_count,0.00040963218822276436,22
num__demo_population_male,0.00040110581692564856,23
num__location_baseline_vs_trend,0.0003877398670215213,24
num__is_large_flat,0.0003755321684664477,25
cat__geo_cluster_city_city_2,0.0003625654670203605,26
num__demo_population_total,0.00035693201304492264,27
num__distance_to_coast_x_site_inside,0.00035609749543397465,28
num__distance_to_kullar_m,0.0003468551858914489,29
num__distance_to_district_centroid_m,0.00034445103826471855,30
num__location_baseline_log,0.00033760295150166055,31
num__basiskele_lat_lon_interaction,0.0003361581117064695,32
num__bearing_from_county_centroid_sin,0.00031784457581754964,33
num__location_baseline_count,0.0003087197491041226,34
num__distance_to_sahil_m,0.0003047529485040748,35
num__distance_to_yuvacik_m,0.0002987540339822994,36
cat__geo_cluster_x_room_count_city_5||3+1,0.000280973832636188,37
num__distance_to_basiskele_coast_m,0.000280115341311332,38
cat__geo_cluster_x_room_count_city_3||3+1,0.00027942842046436864,39
num__distance_to_bahcecik_m,0.00027838228902622334,40
num__distance_to_izmit_center_m,0.0002746225748440519,41
num__distance_to_county_centroid_m,0.00026925066359276164,42
num__bsk_coastal_x_geo_cluster,0.0002631652680829815,43
num__distance_to_geo_cluster_center_m,0.0002623500327454251,44
num__bsk_distance_to_sea_x_view_sea,0.00025656792343237714,45
num__bsk_distance_to_sea_x_large_home,0.00025132513764535003,46
num__lat,0.0002394041910428833,47
num__transport_score,0.00023776778231911897,48
num__is_coastal_2000m,0.00022369097736913728,49
num__location_quality_x_detail_effect_total,0.000216713566933296,50
num__is_coastal_500m,0.0002136234266446777,51
num__distance_to_coast_x_view_sea,0.00020497787299021702,52
num__location_baseline_level_code,0.00019879743369473853,53
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.00019439623670216598,54
num__distance_to_coast_x_large_home,0.000188027729597979,55
num__distance_to_sea_m,0.00017857591748076258,56
num__bsk_distance_to_sea_x_quality,0.00017849301674883499,57
num__basiskele_distance_to_coast_x_large_home,0.00017404096360645215,58
cat__geo_cluster_x_room_count_city_8||2+1,0.00017060603539017938,59
cat__coast_distance_bucket_1000_3000,0.00016327255504076935,60
num__county_demo_education_high_school_ratio_mean,0.0001535363287943269,61
cat__geo_cluster_x_room_count_city_10||3+1,0.00015223312593348455,62
num__lon_centered_county,0.0001519211321753061,63
cat__geo_cluster_city_city_6,0.00015067357695629856,64
num__basiskele_premium_x_location_baseline,0.00014685667329485827,65
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.00014638974055951147,66
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.00014619172488520272,67
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.00014528312035691696,68
num__distance_to_coastline_m,0.00014452775895808603,69
cat__geo_cluster_city_city_5,0.00013073352924202115,70
cat__geo_cluster_city_city_9,0.000130359333730864,71
cat__coast_distance_bucket_500_1000,0.0001287246205367759,72
cat__geo_cluster_city_city_10,0.00012623457756656337,73
cat__geo_cluster_x_room_count_city_2||4+1,0.000125790749331015,74
cat__geo_cluster_x_room_count_missing||3+1,0.00012406332251189373,75
cat__geo_cluster_x_room_count_city_2||3+1,0.0001196806665992927,76
num__distance_to_golcuk_center_m,0.00011824570824189199,77
cat__coast_distance_bucket_3000_plus,0.00011776114924839531,78
cat__geo_cluster_x_room_count_missing||2+1,0.00010985944139548319,79
num__county_demo_population_density_median,0.0001073063360360196,80
num__lon_centered_city,0.00010708065043251026,81
cat__coast_distance_bucket_0_500,9.914234621170876e-05,82
num__distance_to_karamursel_center_m,9.854615589594763e-05,83
num__is_coastal_1000m,9.183241309940494e-05,84
num__log_distance_to_sea,9.173114600170479e-05,85
cat__basiskele_geo_cluster_Başiskele_0,8.879907117830063e-05,86
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||126-150,8.679669037320478e-05,87
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,8.620832245093952e-05,88
num__county_demo_population_density_mean,8.298159033816855e-05,89
num__county_demo_pharmacy_count_sum,7.87855797996876e-05,90
cat__geo_cluster_county_Başiskele_0,7.784805388418366e-05,91
cat__geo_cluster_city_city_8,7.55854549266015e-05,92
cat__geo_cluster_x_room_count_city_5||4+1,7.407559211869446e-05,93
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||76-100,7.348408227706029e-05,94
num__coast_distance_bucket_code,6.881313302067784e-05,95
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||126-150,6.783597840847847e-05,96
cat__location_precision_missing,6.273727224313939e-05,97
cat__location_source_missing,6.264964252287838e-05,98
cat__geo_cluster_x_room_count_city_2||2+1,5.989678619063974e-05,99
num__basiskele_distance_to_coast_x_quality,5.8439053232404996e-05,100
num__county_demo_population_total_sum,5.7970879863539194e-05,101
cat__basiskele_geo_cluster_x_m2_group_other||76-100,5.7605326241593936e-05,102
cat__geo_cluster_x_room_count_city_9||2+1,5.744535506764862e-05,103
cat__basiskele_geo_cluster_Başiskele_1,5.418247929743231e-05,104
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||76-100,5.047883524520097e-05,105
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||76-100,5.0316808952721064e-05,106
cat__basiskele_geo_cluster_x_m2_group_other||151-200,4.9991545767270606e-05,107
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||126-150,4.8561185678603865e-05,108
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||101-125,4.732972279980652e-05,109
cat__geo_cluster_county_Başiskele_1,4.6969073044412245e-05,110
num__lon,4.659628255344191e-05,111
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,4.64524750767374e-05,112
cat__basiskele_geo_cluster_x_m2_group_other||126-150,4.4845501366718245e-05,113
cat__geo_cluster_x_room_count_city_3||2+1,4.3707792839763954e-05,114
cat__geo_cluster_city_city_3,4.2560676404364396e-05,115
cat__geo_cluster_x_room_count_city_5||2+1,4.1177251883834776e-05,116
cat__basiskele_geo_cluster_Başiskele_4,4.108247780250465e-05,117
num__location_precision_missing,4.0162143985582354e-05,118
cat__geo_cluster_city_missing,3.907296005622296e-05,119
cat__basiskele_geo_cluster_other,3.7587982467018796e-05,120
cat__geo_cluster_x_room_count_missing||4+1,3.75022074624494e-05,121
cat__geo_cluster_county_Başiskele_3,3.6545470852554696e-05,122
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||151-200,3.6404834539320684e-05,123
cat__geo_cluster_county_other,3.6132168678170504e-05,124
cat__geo_cluster_county_Başiskele_4,3.363482371682949e-05,125
num__location_backfill_listing_removed,3.2153764748815965e-05,126
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||200+,3.001561511880228e-05,127
cat__basiskele_geo_cluster_Başiskele_3,2.9182243932166498e-05,128
cat__coast_distance_bucket_missing,2.840197650751036e-05,129
cat__location_precision_exact_map,2.5060996019802894e-05,130
cat__geo_cluster_x_room_count_city_8||3+1,2.4924811790120318e-05,131
cat__geo_cluster_x_room_count_city_9||3+1,2.4252283376910066e-05,132
cat__geo_cluster_x_room_count_city_10||2+1,2.3006067569421713e-05,133
num__location_quality_score,2.296155238255983e-05,134
num__bsk_coastal_x_large_home,2.2960721022407636e-05,135
cat__location_source_data_attr_map,2.289465817306691e-05,136
num__has_lat_lon,2.2797311432198053e-05,137
cat__geo_cluster_x_room_count_city_6||3+1,2.1801810617757238e-05,138
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||151-200,2.1272839873818932e-05,139
num__distance_to_coast_x_near_sea_zero,2.117884635158177e-05,140
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,2.078324252710562e-05,141
num__geo_context_missing,2.054861072582038e-05,142
num__geo_context_has_approx_location,2.0442351331779175e-05,143
num__location_backfill_ok,1.8890998149727568e-05,144
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||101-125,1.8790289313546584e-05,145
num__location_precision_exact,1.864903353583231e-05,146
num__geo_context_has_exact_location,1.859754996250678e-05,147
num__location_source_data_attr_map,1.805939649172675e-05,148
cat__geo_cluster_x_room_count_city_2||1+1,1.614665509519537e-05,149
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||151-200,1.5407772609595292e-05,150
cat__geo_cluster_county_Başiskele_5,1.3320153454009317e-05,151
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||200+,1.2889564630169215e-05,152
num__is_coastal_250m,1.1191456528442174e-05,153
cat__geo_cluster_county_location_not_used,1.0608575470160515e-05,154
cat__basiskele_geo_cluster_x_m2_group_location_not_used,1.0539235290758084e-05,155
cat__location_source_location_not_used,1.02017687781661e-05,156
cat__coast_distance_bucket_location_not_used,8.799854704126815e-06,157
cat__basiskele_geo_cluster_Başiskele_5,8.668663308896447e-06,158
cat__basiskele_geo_cluster_x_m2_group_other||200+,8.642430130466084e-06,159
cat__location_precision_location_not_used,8.309941147695003e-06,160
cat__basiskele_geo_cluster_location_not_used,7.204007407997559e-06,161
num__bsk_distance_to_sea_x_near_sea_zero,6.557396064280662e-06,162
cat__geo_cluster_x_room_count_location_not_used,6.236494011795729e-06,163
cat__geo_cluster_city_location_not_used,6.232744481539508e-06,164
num__bsk_coastal_x_room_4p1,5.978998405843978e-06,165
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||76-100,4.731642976830308e-06,166
cat__basiskele_geo_cluster_x_m2_group_Başiskele_2||101-125,3.6692714700420114e-06,167
cat__basiskele_geo_cluster_x_m2_group_other||0-75,3.5806918567525053e-06,168
cat__geo_cluster_county_Başiskele_2,3.531514451036932e-06,169
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||0-75,3.438099386013234e-06,170
cat__geo_cluster_x_room_count_city_3||4+1,3.0702294957625137e-06,171
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||200+,2.989911999744842e-06,172
