district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.3091209765849759,0.3091209765849759,7728.024414624397,7728.024414624397,25000.0,32728.024414624397
Seymen Mah.,10,0.19430171149560307,0.13711304726912255,7867.915877846991,5522.152680233252,44081.542,41423.04838521748
Bahçecik Kılıçaslan Mh.,11,0.1780309824779434,0.11077987431942407,6929.011669845606,5163.46877460699,42051.83090909091,41404.07661543432
Bahçecik Şehitekrem Mh.,2,0.17196435506067329,0.17196435506067329,6316.7124894802255,6316.7124894802255,37152.78,37356.38039116213
Sahil Mah.,3,0.16607734648421008,0.16074687967363058,5670.089468161582,4900.818718113715,35550.026666666665,39484.24120088804
Karşıyaka Mh.,4,0.15979209253678686,0.15023963155456382,10892.219295554156,9707.638329636826,67031.82,56139.600704445846
Atakent Mah.,5,0.15298643187857902,0.15467237210116788,7915.242920012946,5760.2125849209915,47155.418,42695.72135725561
Körfez Mh.,11,0.1391368605430206,0.09636778532740135,5161.244191052269,4048.618531197477,35762.35999999999,34620.28102793673
Döngel Mh.,39,0.13786015525910028,0.12342154317909979,5765.3552080112295,4463.649489346411,40185.3958974359,39105.8378756869
Kullar Yakacık Mh.,24,0.12291303364991492,0.1212218821956755,4961.256659583808,5039.446498043217,39630.2175,39167.30350461357
Kullar Tepecik Mh.,11,0.12179388693085252,0.07084885731159009,4666.264035590622,2882.260460355792,38974.27636363636,37608.10941942303
Barbaros Mah.,108,0.11402521978918986,0.09092358868892092,4776.300450570972,3856.044257923302,41193.614074074074,40607.96041876261
Paşadağ Mh.,113,0.11278864186035156,0.08843540916949322,4661.219143478582,3517.4309843988885,41525.32654867257,41099.965683857146
Fatih Mah.,194,0.10825926902417357,0.08875035466600516,4444.787288020441,3612.6851822729986,41636.47659793814,41556.86254761247
Aydınkent Mh.,21,0.10820099851529945,0.09548779264787027,4027.188657391754,3359.7561269959187,37026.04285714286,38168.93825753353
Serdar Mah.,38,0.10686649955806157,0.08145397702990152,4134.892642497777,3344.0091315720656,37623.35236842106,37007.218525518634
Mahmutpaşa Mh.,26,0.10547270118405914,0.11247482059905158,4526.94535914856,4749.172552912529,43813.14692307693,44215.924818284686
Yeşilyurt Mh.,201,0.09936634413429052,0.07967918338817784,4293.186892185981,3303.589115615563,41696.01975124378,41078.86587907039
Havuzlubahçe Mh.,10,0.0884135018074765,0.06983054929162705,2801.7674892456926,2138.367676203352,31740.775,31660.82118244017
Yaylacık Mh.,35,0.08779144627988766,0.06230478400935022,3597.5857744244468,3005.8977880906314,42852.42228571429,42731.97688388875
Kullar Merkez Mh.,7,0.08702356053106532,0.06456340992100541,3030.2493104360547,2534.1138393994624,38300.97571428572,38747.23945940961
Altınkent Mh.,24,0.0752079920607467,0.06909392781794318,2773.090432935609,2353.2078836285946,35407.8325,35053.89740465042
Yeniköy Merkez Mh.,10,0.07391931235881656,0.06028479427067403,2865.2353852226065,2246.0955826918616,38734.704,38547.543269674235
Damlar Mah.,5,0.06319289848923133,0.04686435970083377,2392.8832157209094,1856.3155648503089,39906.932,39908.56263233114
Yeşilkent Mh.,5,0.044931660280684765,0.032951004429338036,1289.3645258404517,1029.7188884168136,29533.484000000004,29632.579107149177
Vezirçiftliği Mh.,1,0.044747658317940676,0.044747658317940676,1603.4576072340133,1603.4576072340133,35833.33,37436.787607234015
