decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34291.12651411661,5301.1074923774795
1,94,32779.16914893617,36928.76106880587,4149.591919869701
2,90,35039.15233333334,37550.531328779885,2511.378995446553
3,92,36802.27858695651,39366.7265080312,2564.4479210746795
4,93,38664.66096774193,39615.483963680126,950.8229959381877
5,90,40912.58688888889,40406.23484320418,-506.35204568470397
6,92,43037.149456521736,41699.472995392054,-1337.6764611296862
7,92,45705.152934782614,42871.61298114147,-2833.5399536411383
8,92,49382.030000000006,44722.860456039736,-4659.169543960264
9,92,57958.77086956522,46196.12094480115,-11762.649924764068
