feature,present,non_null_rate,mean,std,min,max,mode
bsk_nearest_5_median_unit_price,True,0.7606093579978237,40809.93752503576,5754.934767549861,27933.67,65454.55,45000.0
bsk_nearest_10_median_unit_price,True,0.7606093579978237,40500.66352646638,4483.804982979245,30206.045,58271.495,50000.0
bsk_nearest_20_median_unit_price,True,0.7606093579978237,40374.76547925608,3656.867235612659,33051.47,51664.67,35250.0
bsk_nearest_40_median_unit_price,True,0.7606093579978237,40370.30826180258,2941.3011275665335,34162.035,47647.255,38252.715
bsk_nearest_10_mean_unit_price,True,0.7606093579978237,41276.56372532189,4285.326535210348,31463.835,58840.117000000006,46531.933999999994
bsk_nearest_10_std_unit_price,True,0.7606093579978237,6754.729566405547,2281.7630041327934,2464.08030442922,16645.548089851414,7441.322518766675
bsk_nearest_10_iqr_unit_price,True,0.7606093579978237,8550.579835479255,3774.791767445202,1584.1224999999977,26079.550000000003,2023.4075000000012
bsk_nearest_10_min_unit_price,True,0.7606093579978237,31480.651688125898,3974.169202171728,22500.0,48538.01,30000.0
bsk_nearest_10_max_unit_price,True,0.7606093579978237,53505.69899856939,7599.675645145214,36311.48,75000.0,50000.0
bsk_nearest_10_count,True,1.0,7.606093579978237,4.269439187526004,0.0,10.0,10.0
bsk_nearest_10_avg_distance_m,True,0.7606093579978237,208.58440091449984,180.9252426846338,4.981560250711248,1807.8822165302838,103.62654500066364
bsk_nearest_10_min_distance_m,True,0.7606093579978237,63.9197950595975,101.53991868515595,0.0,1361.3465239438217,0.0
bsk_nearest_confidence,True,1.0,0.7606093579978237,0.42694391875260035,0.0,1.0,1.0
bsk_district_similar_10_median,True,1.0,40115.865163220886,4763.123826350091,29354.165,65454.55,39069.265
bsk_district_similar_20_median,True,1.0,40000.45270946681,4191.373046203731,29354.165,65454.55,33627.945
bsk_district_similar_20_std,True,1.0,6743.703740283697,1859.080163920268,882.8133882209903,12639.046411185458,4365.812984499247
bsk_district_similar_count,True,1.0,18.82480957562568,3.6345585182715725,3.0,20.0,20.0
bsk_district_similar_confidence,True,1.0,0.941240478781284,0.18172792591357861,0.15,1.0,1.0
bsk_cluster_similar_10_median,True,1.0,39922.99627856365,4284.375559291592,30553.86,55000.0,42750.0
bsk_cluster_similar_20_median,True,1.0,39811.76260609358,3438.7731189855026,32405.300000000003,50654.76,42803.57
bsk_cluster_similar_std,True,1.0,7081.551450380264,1716.9720516313034,3472.4401468913393,15251.962762556366,4558.48592520617
bsk_cluster_similar_count,True,1.0,19.893362350380848,0.8578418926502451,13.0,20.0,20.0
bsk_cluster_similar_confidence,True,1.0,0.9946681175190425,0.042892094632512257,0.65,1.0,1.0
bsk_large_home_nearest_10_median,True,1.0,36952.95005440697,3302.284626359195,28281.25,51841.925,35000.0
bsk_large_home_nearest_20_median,True,1.0,36890.39543525571,3244.6636093857046,28281.25,46010.61,39575.29
bsk_large_home_similar_10_median,True,1.0,36627.80822633297,2920.223143943874,30000.0,46006.56,35000.0
bsk_large_home_cluster_median,True,1.0,36492.83934167573,2681.0084132814,31303.309999999998,48362.575,35000.0
bsk_large_home_count,True,1.0,13.663764961915126,5.426585024240102,5.0,20.0,20.0
bsk_large_home_confidence,True,1.0,0.9143634385201306,0.14130732053256823,0.5,1.0,1.0
bsk_coastal_similar_median,True,0.0,,,,,
bsk_noncoastal_similar_median,True,1.0,39919.88374319913,4167.389787203305,30909.09,55000.0,42500.0
bsk_coastal_price_gap,True,0.0,,,,,
bsk_coastal_similar_count,True,1.0,0.0,0.0,0.0,0.0,0.0
bsk_coastal_confidence,True,1.0,0.0,0.0,0.0,0.0,0.0
bsk_weighted_comp_mean,True,1.0,41334.08686924682,2990.6585228274707,34167.87033095588,53365.48021086713,34167.87033095588
bsk_weighted_comp_median,True,1.0,40406.71459194776,3435.313333839518,31764.71,58900.0,42500.0
bsk_weighted_comp_std,True,1.0,7522.574983633903,1447.2322579657764,4212.6522670827735,16430.12309439215,4212.6522670827735
bsk_weighted_comp_count,True,1.0,40.0,0.0,40.0,40.0,40.0
bsk_weighted_comp_confidence,True,1.0,1.0,0.0,1.0,1.0,1.0
bsk_comparable_missing,True,1.0,0.0,0.0,0.0,0.0,0.0
bsk_fallback_level,True,1.0,0.015233949945593036,0.1739792036152312,0.0,2.0,0.0
