building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.22641280709119227,0.20568693205489494,5797.3114058443025,5597.510176816877,28095.89875,33863.177309752726
26-30 arası,16,0.1386952622677028,0.1171966453325558,4111.645958152327,3287.699574715134,32057.213125000002,34108.66117071728
5,43,0.13396718318848244,0.10159438620686977,6071.613846580436,4486.595436032163,43811.04720930233,41643.031416195605
4,17,0.12966455145831693,0.0839349159359493,5426.2425831164255,3549.296833702785,40888.98941176471,41094.523592617945
6-10 arası,158,0.12311299111693454,0.10490608080849137,4985.908072389502,4341.636870365182,40460.17386075949,40297.007894660215
16-20 arası,11,0.118713959425666,0.06899147871695646,4902.712291609124,2257.9027516690876,36433.91818181818,35005.28795197388
3,26,0.11859522680972345,0.11352202986201154,5213.867491935139,4732.204186978979,43607.786538461536,41758.42368635442
0 (Yapım Aşamasında),78,0.11559923525626199,0.09587134215545495,4801.040718448018,3543.9045971350606,41159.575769230774,40945.39914430405
2,30,0.11030756229318502,0.07664824426438886,4736.506623815844,3240.5350498188745,41055.965,40354.36302897628
11-15 arası,78,0.10682016448993273,0.09957841641364654,4009.65538025165,3615.4210409777334,37469.194871794876,37439.338287278835
0 (Oturuma Hazır),388,0.10558738845560912,0.08591690876227337,4558.87831910213,3563.3290913903147,42164.376211340204,41344.678694274335
1,47,0.10123674643149136,0.08370697022350317,4323.158028218028,3555.183219056038,42601.52404255319,41154.08588832133
missing,3,0.09326086751721725,0.104600588124301,4007.2711898960783,5230.02940621505,44908.426666666666,41042.22413752322
21-25 arası,16,0.07507701650122774,0.05163573223118398,2313.9812946592047,1689.1228888307687,31237.335625,32869.44052475569
