feature,importance
num__basiskele_detail_group_bucket_median,0.15282981174337407
num__district_m2_group_target_median,0.07422708642185283
num__attr_total_quality_score,0.057590068782034265
num__attr_quality_x_county_income,0.028215276497742272
num__attr_m2_per_room,0.017393921807161778
num__detail_effect_total_mean,0.012489352678821536
num__bsk_nearest_10_mean_unit_price,0.011450008723311667
num__attr_quality_x_location_baseline,0.010313345129259284
num__detail_effect_inside_mean,0.009706591671595726
num__detail_effect_front_sum,0.009585567139222996
num__bsk_district_similar_10_median,0.009420406510154954
num__bsk_nearest_10_max_unit_price,0.009355636048599169
num__detail_effect_subtype_sum,0.008472943173225604
num__basiskele_lat_lon_interaction,0.008442008526189508
num__basiskele_district_premium_bucket_mean,0.008273324194731075
num__bsk_nearest_5_median_unit_price,0.007895628763916354
num__basiskele_detail_subtype_premium_signal,0.007892872639833166
num__bsk_nearest_10_median_unit_price,0.0078132144830217
num__bsk_weighted_comp_std,0.0077396262008642865
num__bsk_cluster_similar_10_median,0.007669736197990113
num__bsk_nearest_10_std_unit_price,0.007648180578548001
num__detail_effect_front_mean,0.007584414914633121
num__detail_effect_outside_mean,0.007372058844218275
cat__elevator_Yok,0.007277858194161464
num__bsk_noncoastal_similar_median,0.007210819304028023
num__bsk_nearest_10_iqr_unit_price,0.007136232312424512
num__district_room_count_target_median,0.006403635508280961
num__attr_effect_elevator,0.00606219091549504
num__estimated_monthly_rent_gross,0.006055612848666244
num__attr_effect_total_quality_bucket,0.006045546857744836
num__detail_effect_outside_sum,0.005898853481807593
num__total_floors,0.005876985940302069
num__net_m2,0.0058760044572505445
num__attr_has_elevator,0.005723885031164429
num__bsk_district_similar_20_std,0.005653964696774664
num__bearing_from_district_centroid_sin,0.0055929953498870975
num__bsk_cluster_similar_std,0.005474992181259345
num__dues,0.005474509794134323
num__detail_effect_outside_x_attr_quality,0.005403610730030134
num__basiskele_detail_outside_premium_signal,0.005262675528078734
num__detail_effect_subtype_mean,0.005212998826647913
cat__elevator_Var,0.00488826295225678
num__attr_net_gross_ratio,0.0046311242179916555
num__bsk_weighted_comp_mean,0.004630886840098619
num__bsk_cluster_similar_20_median,0.004584127194550574
num__detail_effect_total_x_attr_quality,0.00458335911564271
num__location_baseline_m2,0.004519451093048853
num__basiskele_premium_score,0.004519026879483536
num__location_baseline_log,0.0042053079735100045
num__net_gross_ratio,0.004182785529588058
