decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34199.807285383744,5209.788263644619
1,94,32779.16914893617,36817.57277135291,4038.403622416735
2,90,35039.15233333334,37501.67776829687,2462.5254349635316
3,92,36802.27858695651,39312.31822955538,2510.039642598852
4,93,38664.66096774193,39500.66667593518,836.0057081932393
5,90,40912.58688888889,40510.01792524219,-402.5689636467095
6,92,43037.149456521736,41774.72848270437,-1262.420973817371
7,92,45705.152934782614,43212.554223570456,-2492.5987112121547
8,92,49382.030000000006,44902.83813740841,-4479.191862591587
9,92,57958.77086956522,47000.583571966505,-10958.187297598726
