model,feature,importance
gradient_boosting,num__bsk_large_home_nearest_10_median,0.0099785440293433
gradient_boosting,num__bsk_large_home_cluster_median,0.0057060749659226
extra_trees,num__bsk_large_home_nearest_20_median,0.0042037343843557
gradient_boosting,num__bsk_large_home_nearest_20_median,0.0039989095510759
extra_trees,num__bsk_large_home_nearest_10_median,0.0036629157217671
gradient_boosting,num__bsk_large_home_similar_10_median,0.0036207774727126
extra_trees,num__bsk_large_home_similar_10_median,0.0031941696660865
extra_trees,num__bsk_large_home_cluster_median,0.0026742713934836
extra_trees,num__bsk_large_home_count,0.0025458780361732
gradient_boosting,num__bsk_large_home_count,0.001956150971566
extra_trees,num__bsk_large_home_confidence,0.0019118453070983
gradient_boosting,num__bsk_large_home_confidence,0.0004088839552008
extra_trees,num__bsk_fallback_level,0.0
extra_trees,num__bsk_comparable_missing,0.0
gradient_boosting,num__bsk_comparable_missing,0.0
gradient_boosting,num__bsk_fallback_level,0.0
