model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.017041266681654284,1
gradient_boosting,,num__detail_effect_total_mean,0.015561901792957779,2
gradient_boosting,,num__detail_effect_front_sum,0.014555075443866786,3
gradient_boosting,,num__detail_effect_outside_mean,0.012502703894528224,4
gradient_boosting,,num__detail_effect_outside_sum,0.010017997963256026,5
extra_trees,,num__detail_effect_subtype_mean,0.008197513623954898,6
extra_trees,,num__detail_effect_outside_x_attr_quality,0.008082802878623813,7
gradient_boosting,,num__detail_effect_subtype_mean,0.007899225811933808,8
extra_trees,,num__detail_effect_subtype_sum,0.0077693912781078445,9
extra_trees,,num__detail_effect_outside_sum,0.007225145015709406,10
gradient_boosting,,num__detail_effect_total_sum,0.0069057158997697385,11
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.006649038601033137,12
extra_trees,,num__detail_effect_total_sum,0.006500405959977508,13
gradient_boosting,,num__detail_effect_front_mean,0.006494466438832859,14
extra_trees,,num__detail_effect_outside_mean,0.0059771723404852635,15
extra_trees,,num__detail_effect_total_x_attr_quality,0.00578983202656767,16
gradient_boosting,,num__detail_effect_subtype_sum,0.005192211258177423,17
extra_trees,,num__detail_effect_front_sum,0.004967377734021589,18
extra_trees,,num__detail_effect_front_mean,0.004863146726480591,19
extra_trees,,num__detail_effect_county_total_sum,0.004786248694457682,20
extra_trees,,num__detail_effect_total_mean,0.004785537872287512,21
gradient_boosting,,num__detail_effect_county_total_sum,0.004144825148853843,22
extra_trees,,num__detail_effect_district_total_sum,0.004056437046449909,23
gradient_boosting,,num__detail_effect_used_count,0.004024885416099465,24
gradient_boosting,,num__detail_effect_transport_mean,0.003318034908483653,25
extra_trees,,num__detail_effect_inside_mean,0.003209953986077952,26
gradient_boosting,,num__detail_effect_transport_sum,0.0029958617129022063,27
extra_trees,,num__detail_effect_inside_x_attr_quality,0.00287738450289047,28
extra_trees,,num__detail_effect_level_code,0.0026635563352867078,29
extra_trees,,num__detail_effect_inside_sum,0.0026590563673273547,30
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.0026159571242790666,31
gradient_boosting,,num__detail_effect_view_mean,0.0025980677714215064,32
extra_trees,,num__detail_effect_negative_count,0.002542601856937412,33
gradient_boosting,,num__detail_effect_level_code,0.002535562052199076,34
gradient_boosting,,num__detail_effect_inside_sum,0.0024792765432796278,35
gradient_boosting,,num__detail_effect_total_abs_sum,0.002341780046146132,36
extra_trees,,num__detail_effect_view_mean,0.0022698932743903362,37
extra_trees,,num__detail_effect_total_abs_sum,0.0021870575347628495,38
extra_trees,,num__detail_effect_view_sum,0.0021642862582675914,39
gradient_boosting,,num__detail_effect_negative_count,0.0021403671786469746,40
extra_trees,,num__detail_effect_view_x_location_baseline,0.002037710028532069,41
extra_trees,,num__detail_effect_transport_mean,0.001953038579656559,42
gradient_boosting,,num__detail_effect_nearby_sum,0.0019508403831115814,43
extra_trees,,num__detail_effect_positive_count,0.0018127376177573904,44
extra_trees,,num__detail_effect_transport_sum,0.0018036279014142093,45
extra_trees,,num__detail_effect_used_count,0.0017950902505906587,46
extra_trees,,num__detail_effect_nearby_mean,0.0017828293602283672,47
extra_trees,,num__location_quality_x_detail_effect_total,0.00160721277486958,48
extra_trees,,num__detail_effect_nearby_sum,0.0014850729229434804,49
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.0011058404678387247,50
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0010964542866195488,51
gradient_boosting,,num__detail_effect_district_total_sum,0.0008197367598439779,52
gradient_boosting,,num__detail_effect_nearby_mean,0.0008114952517963808,53
gradient_boosting,,num__detail_effect_positive_count,0.0005390395728646476,54
gradient_boosting,,num__location_quality_x_detail_effect_total,0.00034914684422363717,55
gradient_boosting,,num__detail_effect_view_sum,0.0,56
