model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.07652602740252845
extra_trees,num__district_m2_group_target_median,0.05914788924860331
extra_trees,num__attr_total_quality_score,0.032477436637339964
extra_trees,num__attr_quality_x_county_income,0.028917170956639683
extra_trees,num__attr_effect_total_quality_bucket,0.018716512459656658
extra_trees,cat__elevator_Yok,0.01659138498679014
extra_trees,num__attr_has_elevator,0.015000535350188865
extra_trees,cat__elevator_Var,0.01470835432989957
extra_trees,num__attr_effect_elevator,0.013441763152953059
extra_trees,num__attr_m2_per_room,0.012192605022866806
extra_trees,num__attr_quality_x_location_baseline,0.01024475501385281
extra_trees,num__basiskele_district_premium_bucket_mean,0.009155518331360772
extra_trees,num__detail_effect_subtype_mean,0.008197513623954898
extra_trees,num__detail_effect_outside_x_attr_quality,0.008082802878623813
extra_trees,num__detail_effect_subtype_sum,0.0077693912781078445
extra_trees,num__attr_compactness_score,0.007246009663158845
extra_trees,num__detail_effect_outside_sum,0.007225145015709406
extra_trees,num__basiskele_detail_subtype_premium_signal,0.007004102448685798
extra_trees,num__total_floors,0.006966686621527985
extra_trees,num__detail_effect_total_sum,0.006500405959977508
extra_trees,num__detail_effect_outside_mean,0.0059771723404852635
extra_trees,num__location_baseline_level_code,0.00585966595419738
extra_trees,num__detail_effect_total_x_attr_quality,0.00578983202656767
extra_trees,cat__floor_segment_Zemin/Giriş,0.005730445875827339
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.0052485842317255465
extra_trees,cat__usage_status_Mülk Sahibi,0.005240864280047712
extra_trees,num__gross_m2,0.005090397446068142
extra_trees,num__detail_effect_front_sum,0.004967377734021589
extra_trees,cat__building_age_group_31 ve üzeri,0.004940401125435274
extra_trees,num__detail_effect_front_mean,0.004863146726480591
extra_trees,cat__parking_Açık & Kapalı Otopark,0.0048206278100755015
extra_trees,num__detail_effect_county_total_sum,0.004786248694457682
extra_trees,num__detail_effect_total_mean,0.004785537872287512
extra_trees,num__bearing_from_district_centroid_cos,0.004715968784013455
extra_trees,num__dues,0.004670729639814686
extra_trees,num__bathroom_count,0.00456343537648247
extra_trees,num__estimated_monthly_rent_gross,0.00449333947488998
extra_trees,num__net_m2,0.004355929398179482
extra_trees,num__district_room_count_target_median,0.004234969757847309
extra_trees,num__net_gross_ratio,0.00421168129463283
extra_trees,num__bsk_large_home_nearest_20_median,0.004203734384355764
extra_trees,num__detail_effect_district_total_sum,0.004056437046449909
extra_trees,cat__parking_Açık Otopark,0.003963716869342403
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.003781709783624495
extra_trees,num__attr_net_gross_ratio,0.003778613750794597
extra_trees,num__distance_to_coast_x_large_home,0.003744650041080541
extra_trees,num__bsk_large_home_nearest_10_median,0.0036629157217671605
extra_trees,num__basiskele_detail_outside_premium_signal,0.003641101609039653
extra_trees,num__attr_net_gross_good,0.0035823267775148228
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.003524697494684977
extra_trees,num__basiskele_premium_x_gross_m2,0.003488857268742409
extra_trees,num__distance_to_coast_x_view_sea,0.0034083335647251216
extra_trees,cat__m2_group_0-75,0.003405071691888162
extra_trees,num__basiskele_distance_to_coast_x_large_home,0.0033896569489331053
extra_trees,cat__usage_status_Boş,0.003389373109780398
extra_trees,cat__geo_cluster_city_city_6,0.0033619971701403157
extra_trees,num__attr_new_building_x_site_inside,0.00335026500738944
extra_trees,cat__geo_cluster_city_city_0,0.0032889990859035884
extra_trees,num__basiskele_detail_total_premium_signal,0.0032798219877728783
extra_trees,num__detail_effect_inside_mean,0.003209953986077952
extra_trees,num__bsk_large_home_similar_10_median,0.0031941696660865776
extra_trees,num__basiskele_premium_x_detail_outside,0.003141570708316128
extra_trees,num__basiskele_district_premium_bucket_median,0.0031159138424063436
extra_trees,num__attr_compact_home_x_quality,0.0030901037318824282
extra_trees,cat__geo_cluster_city_city_1,0.003057955723071582
extra_trees,cat__room_count_3+1,0.003029747659651106
extra_trees,num__basiskele_premium_x_location_baseline,0.003023885438730925
extra_trees,num__is_old_building,0.003018770352668701
extra_trees,num__attr_quality_x_demo_income,0.002965797672188707
extra_trees,num__floor_num,0.0029557313658325666
extra_trees,num__bearing_from_county_centroid_cos,0.002950732556031898
extra_trees,num__bearing_from_district_centroid_sin,0.0029412967011597712
extra_trees,num__basiskele_premium_score,0.002917582899160059
extra_trees,num__detail_effect_inside_x_attr_quality,0.00287738450289047
extra_trees,num__building_age,0.002859052007336247
extra_trees,cat__detail_konut_tipi_Ara Kat,0.002786321615575052
extra_trees,num__attr_building_age_score,0.0027750694885039706
extra_trees,cat__kitchen_Kapalı,0.0027659246891405267
extra_trees,num__remaining_floors,0.002751418437494115
extra_trees,num__is_small_flat,0.0027083475806641806
extra_trees,num__location_baseline_log,0.0026784369190622514
extra_trees,num__bsk_large_home_cluster_median,0.0026742713934836304
extra_trees,num__location_baseline_m2,0.0026726169133515355
