district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.33166737740050534,0.33166737740050534,8291.684435012634,8291.684435012634,25000.0,33291.684435012634
Seymen Mah.,10,0.1948084326420096,0.14042097345840499,7823.6627448963645,5583.794851949326,44081.542,41618.81689276596
Karşıyaka Mh.,4,0.1840718670154391,0.18062097543127748,12542.598663659037,11670.780179332014,67031.82,54489.22133634097
Bahçecik Kılıçaslan Mh.,11,0.18243261117580778,0.11352282330692315,7070.451439680168,4928.130481119675,42051.83090909091,41474.0857037318
Bahçecik Şehitekrem Mh.,2,0.18165777215598178,0.18165777215598178,6696.86409691655,6696.86409691655,37152.78,37104.873407310086
Sahil Mah.,3,0.17030704019553697,0.17600588986312324,5788.287707344572,5366.0323689689285,35550.026666666665,39688.59039739631
Atakent Mah.,5,0.16347539019625437,0.16868632890816226,8429.687038574932,6282.111675673856,47155.418,42566.461433157725
Körfez Mh.,11,0.14358577931568267,0.0989093428842862,5315.095104582567,4193.756138293735,35762.35999999999,34720.24376811559
Döngel Mh.,39,0.1378671740300062,0.1195089181745114,5771.979475793775,4562.522362452197,40185.3958974359,39085.65296138543
Kullar Yakacık Mh.,24,0.1241199701344448,0.11876713420544444,4999.307667721759,4955.9283521966245,39630.2175,39154.399448911434
Kullar Tepecik Mh.,11,0.1199512623783605,0.07524642239991693,4597.263264376853,3061.1614117173885,38974.27636363636,37550.54977283067
Barbaros Mah.,108,0.11441110214265801,0.09522095655188369,4792.883643702511,3939.196562356905,41193.614074074074,40526.26804241687
Paşadağ Mh.,113,0.11281274797885917,0.09171370014187948,4661.01906138664,3588.7965234428048,41525.32654867257,41042.05528185218
Serdar Mah.,38,0.10903622012499611,0.08357400310323645,4218.815743336945,3271.168306566902,37623.35236842106,37036.571635994966
Fatih Mah.,194,0.10813063781659253,0.08953800841180282,4449.250235067801,3639.606242084734,41636.47659793814,41469.59472930608
Aydınkent Mh.,21,0.10614309690416877,0.08488677265478224,3942.8621625507485,2986.757224345318,37026.04285714286,38117.50158125407
Mahmutpaşa Mh.,26,0.1045239580284664,0.11146464092175473,4498.324147827204,4634.444298879858,43813.14692307693,44099.91170794633
Yeşilyurt Mh.,201,0.0989619643198349,0.07922924724784636,4270.588949010929,3243.706016410142,41696.01975124378,41156.81583728189
Yaylacık Mh.,35,0.08892648045374495,0.06747956481293503,3649.8507980721733,3249.4849427007066,42852.42228571429,42536.33292294035
Kullar Merkez Mh.,7,0.08737336887213577,0.06102299093785006,3023.4641983921724,2436.772115741136,38300.97571428572,38926.945217613036
Havuzlubahçe Mh.,10,0.08684752498345662,0.061792534631535154,2736.256321689435,1888.8604228241402,31740.775,31761.95471111043
Altınkent Mh.,24,0.0742046321972547,0.06974319814066808,2745.277088535293,2254.606305462192,35407.8325,35024.697840468936
Yeniköy Merkez Mh.,10,0.07106067052274109,0.0593812135387584,2743.0401721122785,2207.57272146819,38734.704,38507.57637058328
Damlar Mah.,5,0.058512937337820446,0.026996029166428237,2225.677710844405,1069.3232437335973,39906.932,39873.78246810048
Vezirçiftliği Mh.,1,0.052326281791679946,0.052326281791679946,1875.0249231142589,1875.0249231142589,35833.33,37708.35492311426
Yeşilkent Mh.,5,0.043970454358789046,0.022782529448715387,1257.5724467543484,711.9540452723559,29533.484000000004,29682.774849110243
