building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.21616789356161786,0.18625591788977217,5531.39426167884,5052.757504876554,28095.89875,33426.53556332262
16-20 arası,11,0.13654255728531253,0.0681752706638593,5576.804021129965,2231.1904903392024,36433.91818181818,35177.31669259246
5,43,0.13285243949069042,0.10923657890878564,5931.022500706817,4697.172893077783,43811.04720930233,42263.45522302575
4,17,0.13063518749741643,0.08439571401592244,5447.216859236914,3318.4388427614904,40888.98941176471,40732.95350211358
26-30 arası,16,0.1227869562926844,0.09799733767067084,3669.0795314163793,3202.5733463130655,32057.213125000002,33363.18685118942
6-10 arası,158,0.12035357884357999,0.10296929453395565,4843.006308912615,4133.418230152907,40460.17386075949,40308.01978721265
2,30,0.11749252307908156,0.07908228268336344,5009.180021963976,3064.6177637519286,41055.965,40368.89075745034
3,26,0.1156626538893779,0.12202311605288887,5101.865015525042,4947.552266266557,43607.786538461536,41998.523697246266
0 (Yapım Aşamasında),78,0.11091462267148759,0.09095339120936592,4612.906449056282,3472.204245521718,41159.575769230774,40844.44808793904
0 (Oturuma Hazır),388,0.10240937504477152,0.08170545663806972,4406.796071589762,3478.9037917740206,42164.376211340204,41493.380432224774
11-15 arası,78,0.09871810817243587,0.10090930957672803,3702.204572748422,3517.94279456971,37469.194871794876,37411.05865363272
1,47,0.09696228334968413,0.0858436999428764,4098.7825840808055,3381.847510557993,42601.52404255319,41483.066276113444
missing,3,0.07618136746466452,0.09403127302613648,3322.161104609826,4701.563651306824,44908.426666666666,41586.26556205684
21-25 arası,16,0.07072184208170162,0.05789121223984037,2202.9108033607986,1941.3009584675092,31237.335625,32375.451302667345
