model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.090422804471693,1
extra_trees,num__attr_total_quality_score,0.033097029124732585,2
gradient_boosting,num__attr_quality_x_county_income,0.03211322598305344,3
gradient_boosting,num__attr_m2_per_room,0.0293017343449129,4
extra_trees,num__attr_quality_x_county_income,0.023512710443576976,5
extra_trees,num__attr_effect_total_quality_bucket,0.016496895334270154,6
extra_trees,num__attr_effect_elevator,0.014911351355502403,7
extra_trees,num__attr_has_elevator,0.012912937982106736,8
gradient_boosting,num__attr_quality_x_location_baseline,0.012352549354230009,9
extra_trees,num__attr_m2_per_room,0.010635027480562931,10
extra_trees,num__attr_quality_x_location_baseline,0.009379057347024565,11
extra_trees,num__detail_effect_outside_x_attr_quality,0.008227302500774991,12
extra_trees,num__attr_compactness_score,0.007414485552913098,13
gradient_boosting,num__attr_quality_x_district_median,0.006345833395117844,14
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.005976561180128952,15
extra_trees,num__detail_effect_total_x_attr_quality,0.00475450866805824,16
gradient_boosting,num__attr_net_gross_ratio,0.004411577007284116,17
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.004074258749517778,18
extra_trees,num__attr_net_gross_ratio,0.003943538434317018,19
extra_trees,num__attr_net_gross_good,0.003423307281144757,20
extra_trees,num__attr_compact_home_x_quality,0.003184504610632995,21
extra_trees,num__attr_is_middle_floor,0.003137230409119626,22
extra_trees,num__detail_effect_inside_x_attr_quality,0.0027571520893935456,23
extra_trees,num__attr_quality_x_demo_income,0.002743041864359858,24
extra_trees,num__attr_new_building_x_site_inside,0.0027054373874614724,25
extra_trees,num__attr_building_age_inverse,0.0025506643452632293,26
extra_trees,num__attr_floor_ratio,0.0023917419153325794,27
gradient_boosting,num__attr_old_building_x_no_elevator,0.002381662352141669,28
extra_trees,num__attr_net_gross_bad,0.0023512117166288654,29
gradient_boosting,num__attr_new_building_x_site_inside,0.0022983840537221527,30
extra_trees,num__attr_floor_quality_score,0.0021026537329357337,31
gradient_boosting,num__attr_effect_building_age_bucket,0.0020338825894376787,32
gradient_boosting,num__attr_effect_elevator,0.002002416204108714,33
gradient_boosting,num__detail_effect_total_x_attr_quality,0.0019566103004857037,34
extra_trees,num__attr_large_home_x_quality,0.0018630740546821851,35
extra_trees,num__attr_old_building_x_no_elevator,0.0017571479430961154,36
extra_trees,num__attr_is_old_building,0.0016770525544663446,37
gradient_boosting,num__attr_building_age_inverse,0.0016683129185400764,38
extra_trees,num__attr_building_age_score,0.0015265545812783506,39
gradient_boosting,num__attr_has_elevator,0.0014945870386110546,40
gradient_boosting,num__attr_floor_ratio,0.0014894890572840474,41
extra_trees,num__attr_amenity_score,0.0014726980305434876,42
extra_trees,num__attr_heating_quality_score,0.0014513756057124914,43
extra_trees,num__attr_is_mid_age_building,0.0013648069301633165,44
gradient_boosting,num__attr_quality_x_demo_income,0.0012555577872591234,45
extra_trees,num__attr_quality_x_district_median,0.0012020700039100348,46
gradient_boosting,num__attr_compact_home_x_quality,0.0011662965659345807,47
extra_trees,num__attr_is_young_building,0.0010815277177914342,48
extra_trees,num__attr_effect_building_age_bucket,0.0010612546097994644,49
gradient_boosting,num__attr_is_old_building,0.0010523376510093185,50
extra_trees,num__attr_is_ground_or_below,0.0009953144684801043,51
extra_trees,num__attr_is_site_inside,0.0009944516747107958,52
extra_trees,num__attr_is_new_building,0.0009805165629919006,53
extra_trees,num__attr_effect_site_inside,0.0008917197082451413,54
extra_trees,num__attr_is_furnished,0.0007599644904848176,55
extra_trees,num__attr_is_top_floor,0.0007164154250896358,56
extra_trees,num__attr_has_natural_gas_heating,0.0006927128726769753,57
gradient_boosting,num__attr_is_middle_floor,0.0006117068823321856,58
extra_trees,num__attr_effect_parking,0.0004936042250695563,59
extra_trees,num__attr_has_parking,0.0004843949944060927,60
gradient_boosting,num__attr_floor_quality_score,0.00041543086507940053,61
gradient_boosting,num__attr_large_home_x_quality,0.00039898397264887317,62
extra_trees,num__attr_has_balcony,0.00038884559135767986,63
gradient_boosting,num__attr_has_natural_gas_heating,0.0002917435136811355,64
gradient_boosting,num__attr_is_top_floor,0.00024019174981819026,65
extra_trees,cat__location_source_data_attr_map,0.00022535823650408524,66
extra_trees,num__attr_has_premium_heating,0.00021561407751623251,67
extra_trees,num__attr_effect_heating_quality_bucket,0.0002005116110982779,68
extra_trees,num__location_source_data_attr_map,0.0001435809692480847,69
gradient_boosting,num__attr_heating_quality_score,0.00013846125892456534,70
extra_trees,num__attr_has_poor_heating,6.180303251557559e-05,71
gradient_boosting,num__attr_is_young_building,0.0,72
gradient_boosting,num__attr_is_mid_age_building,0.0,73
gradient_boosting,num__attr_building_age_score,0.0,74
gradient_boosting,num__attr_is_ground_or_below,0.0,75
gradient_boosting,num__attr_is_new_building,0.0,76
gradient_boosting,num__attr_county_old_building_discount,0.0,77
gradient_boosting,num__attr_county_new_building_premium,0.0,78
gradient_boosting,num__attr_effect_total_quality_bucket,0.0,79
gradient_boosting,num__attr_effect_heating_quality_bucket,0.0,80
gradient_boosting,num__attr_effect_parking,0.0,81
gradient_boosting,num__attr_effect_site_inside,0.0,82
gradient_boosting,num__attr_net_gross_bad,0.0,83
gradient_boosting,num__attr_net_gross_good,0.0,84
gradient_boosting,num__attr_is_furnished,0.0,85
gradient_boosting,num__attr_has_balcony,0.0,86
gradient_boosting,num__attr_has_parking,0.0,87
gradient_boosting,num__attr_is_site_inside,0.0,88
gradient_boosting,num__attr_amenity_score,0.0,89
gradient_boosting,num__attr_credit_eligible,0.0,90
gradient_boosting,num__attr_has_premium_heating,0.0,91
gradient_boosting,num__attr_has_poor_heating,0.0,92
gradient_boosting,num__attr_compactness_score,0.0,93
gradient_boosting,num__attr_county_high_quality_premium,0.0,94
gradient_boosting,num__attr_county_parking_premium,0.0,95
gradient_boosting,num__attr_county_good_heating_premium,0.0,96
gradient_boosting,num__attr_county_elevator_premium,0.0,97
gradient_boosting,num__attr_county_site_inside_premium,0.0,98
gradient_boosting,num__location_source_data_attr_map,0.0,99
gradient_boosting,cat__location_source_data_attr_map,0.0,100
extra_trees,num__attr_credit_eligible,0.0,101
extra_trees,num__attr_county_elevator_premium,0.0,102
extra_trees,num__attr_county_old_building_discount,0.0,103
extra_trees,num__attr_county_new_building_premium,0.0,104
extra_trees,num__attr_county_site_inside_premium,0.0,105
extra_trees,num__attr_county_high_quality_premium,0.0,106
extra_trees,num__attr_county_parking_premium,0.0,107
extra_trees,num__attr_county_good_heating_premium,0.0,108
