decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34218.27220911545,5228.2531873763255
1,94,32779.16914893617,36844.63383482703,4065.4646858908627
2,90,35039.15233333334,37640.20238577749,2601.0500524441627
3,92,36802.27858695651,39266.19510263008,2463.9165156735644
4,93,38664.66096774193,39498.33741961244,833.6764518705069
5,90,40912.58688888889,40440.03320969069,-472.553679198204
6,92,43037.149456521736,41747.09771090016,-1290.0517456215719
7,92,45705.152934782614,43130.69022252796,-2574.462712254641
8,92,49382.030000000006,44888.13320746527,-4493.896792534726
9,92,57958.77086956522,46851.29227766966,-11107.478591895562
