model,feature,importance
gradient_boosting,num__bsk_district_similar_10_median,0.0217410343905664
gradient_boosting,num__bsk_cluster_similar_10_median,0.0108831354406411
gradient_boosting,num__bsk_cluster_similar_std,0.0089107019499886
extra_trees,num__bsk_cluster_similar_10_median,0.0076004085541297
gradient_boosting,num__bsk_cluster_similar_20_median,0.0066332886784151
gradient_boosting,num__bsk_district_similar_20_std,0.006337980667747
extra_trees,num__bsk_district_similar_10_median,0.0052363243528488
extra_trees,num__bsk_district_similar_20_median,0.004722402322593
extra_trees,num__bsk_cluster_similar_std,0.0039881268579049
extra_trees,num__bsk_cluster_similar_20_median,0.0039813588435513
extra_trees,num__bsk_district_similar_20_std,0.0038835245644355
gradient_boosting,num__bsk_district_similar_20_median,0.0032182548782338
extra_trees,num__bsk_district_similar_confidence,0.0008251597275132
extra_trees,num__bsk_district_similar_count,0.0007302476899579
extra_trees,num__bsk_fallback_level,3.6495680187712968e-06
extra_trees,num__bsk_cluster_similar_confidence,1.6956272930507408e-06
extra_trees,num__bsk_cluster_similar_count,2.697361003727882e-07
extra_trees,num__bsk_comparable_missing,0.0
gradient_boosting,num__bsk_district_similar_count,0.0
gradient_boosting,num__bsk_district_similar_confidence,0.0
gradient_boosting,num__bsk_cluster_similar_count,0.0
gradient_boosting,num__bsk_cluster_similar_confidence,0.0
gradient_boosting,num__bsk_comparable_missing,0.0
gradient_boosting,num__bsk_fallback_level,0.0
