model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.017032221967728824,1
gradient_boosting,,num__detail_effect_total_mean,0.015974679634735183,2
gradient_boosting,,num__detail_effect_front_sum,0.014521851865830104,3
gradient_boosting,,num__detail_effect_subtype_sum,0.010452224969373628,4
gradient_boosting,,num__detail_effect_outside_mean,0.010006575419278118,5
gradient_boosting,,num__detail_effect_outside_sum,0.009224242388551233,6
extra_trees,,num__detail_effect_outside_x_attr_quality,0.008227302500774991,7
extra_trees,,num__detail_effect_subtype_mean,0.008183856884441499,8
extra_trees,,num__detail_effect_subtype_sum,0.007902707926263129,9
extra_trees,,num__detail_effect_outside_sum,0.007754745458193278,10
gradient_boosting,,num__detail_effect_subtype_mean,0.007682029021056169,11
gradient_boosting,,num__detail_effect_county_total_sum,0.007637196136051839,12
gradient_boosting,,num__detail_effect_front_mean,0.007485583659167018,13
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.005976561180128952,14
extra_trees,,num__detail_effect_outside_mean,0.005971955331445033,15
extra_trees,,num__detail_effect_county_total_sum,0.0055052026464119065,16
extra_trees,,num__detail_effect_front_sum,0.005351633071428105,17
extra_trees,,num__detail_effect_front_mean,0.004887411367518785,18
extra_trees,,num__detail_effect_total_x_attr_quality,0.00475450866805824,19
extra_trees,,num__detail_effect_total_mean,0.004673226905481204,20
extra_trees,,num__detail_effect_total_sum,0.0046300338234202204,21
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.004074258749517778,22
gradient_boosting,,num__detail_effect_inside_sum,0.004009563701604866,23
gradient_boosting,,num__detail_effect_used_count,0.0038447074961432434,24
extra_trees,,num__detail_effect_inside_mean,0.0032025664010455262,25
extra_trees,,num__detail_effect_district_total_sum,0.0032022551200940937,26
extra_trees,,num__detail_effect_inside_sum,0.0030704678941357766,27
gradient_boosting,,num__detail_effect_transport_sum,0.0029583989567991123,28
extra_trees,,num__detail_effect_level_code,0.002896080626138694,29
extra_trees,,num__detail_effect_inside_x_attr_quality,0.0027571520893935456,30
gradient_boosting,,num__detail_effect_view_sum,0.0024430700190148443,31
gradient_boosting,,num__detail_effect_nearby_sum,0.0024303365350056235,32
gradient_boosting,,num__detail_effect_total_sum,0.002429078797812934,33
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.002383536881864194,34
extra_trees,,num__detail_effect_total_abs_sum,0.002308622762802935,35
extra_trees,,num__detail_effect_negative_count,0.0021376509763707608,36
extra_trees,,num__detail_effect_transport_sum,0.0020485709156247115,37
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0019566103004857037,38
extra_trees,,num__detail_effect_view_x_location_baseline,0.0019153786553830101,39
gradient_boosting,,num__detail_effect_district_total_sum,0.0018841381700292533,40
extra_trees,,num__detail_effect_positive_count,0.001868764599862128,41
gradient_boosting,,num__detail_effect_total_abs_sum,0.0018649676663040956,42
extra_trees,,num__detail_effect_transport_mean,0.0017973806614482698,43
extra_trees,,num__detail_effect_view_sum,0.0017775059793571726,44
extra_trees,,num__detail_effect_used_count,0.0017258125249255366,45
gradient_boosting,,num__detail_effect_view_mean,0.0017082114830093331,46
extra_trees,,num__detail_effect_nearby_mean,0.0016427639164339751,47
extra_trees,,num__detail_effect_nearby_sum,0.001591195993830969,48
extra_trees,,num__location_quality_x_detail_effect_total,0.0015882046867425315,49
extra_trees,,num__detail_effect_view_mean,0.0015811948798451613,50
gradient_boosting,,num__detail_effect_transport_mean,0.0014190433906471338,51
gradient_boosting,,num__detail_effect_negative_count,0.0010864677772755825,52
gradient_boosting,,num__detail_effect_positive_count,0.0006078426223725899,53
gradient_boosting,,num__detail_effect_nearby_mean,0.000481601352876437,54
gradient_boosting,,num__detail_effect_level_code,0.00047674420479254563,55
gradient_boosting,,num__location_quality_x_detail_effect_total,0.00024506586961779643,56
