building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.20445318951974217,0.1817238103052637,5199.698617608337,4949.509834615144,28095.89875,33295.59736760834
16-20 arası,11,0.1369217900895838,0.06819344105187866,5555.434863513419,2014.051152366923,36433.91818181818,35172.03384725738
5,43,0.13416454750045803,0.11247489619615561,6008.423680877676,4490.051709925054,43811.04720930233,42211.27237215036
4,17,0.12922706489433675,0.09022787823195928,5425.761494768576,3171.647066228281,40888.98941176471,40642.34111160944
26-30 arası,16,0.12476146980012867,0.09330561249266811,3747.3815338326503,2936.590243442948,32057.213125000002,33540.06105126511
6-10 arası,158,0.12325145154391115,0.10513978543369265,4970.850808229178,4408.115170511177,40460.17386075949,40357.69325488299
2,30,0.11449474468492052,0.0709198733446296,4868.178048343847,2947.4407620806087,41055.965,40279.64124794236
3,26,0.11271855390752897,0.11613871149671068,4978.124142006536,4752.4013220025445,43607.786538461536,41997.22168132276
0 (Yapım Aşamasında),78,0.1108387901718051,0.08674005852969618,4618.0728220024985,3366.0229074799554,41159.575769230774,40767.92963481035
0 (Oturuma Hazır),388,0.10309582563667838,0.08330766664212673,4427.847404467512,3423.290782528391,42164.376211340204,41495.86611468378
11-15 arası,78,0.09974936310775355,0.09938178942069534,3731.455519947513,3415.0667359364634,37469.194871794876,37497.09265600236
1,47,0.09945133729471092,0.07745690096342495,4229.321807334457,3083.128234327407,42601.52404255319,41451.246522567264
missing,3,0.07674049907089586,0.08477222758466553,3289.634571019793,4238.611379233276,44908.426666666666,41700.38168960531
21-25 arası,16,0.07153839316999294,0.05983197359122021,2221.369988028072,1846.5109524738273,31237.335625,32637.755878944514
