district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.36717317588160164,0.36717317588160164,9179.329397040041,9179.329397040041,25000.0,34179.32939704004
Seymen Mah.,10,0.19465376982593957,0.11926518690337792,7921.011863023765,4762.823356619374,44081.542,41074.95046513142
Sahil Mah.,3,0.1814003260654301,0.17830359870710263,6232.153235328223,5436.084456662404,35550.026666666665,39379.292327337964
Karşıyaka Mh.,4,0.17940739656753776,0.16730591829552743,12194.34442511032,10807.543409438756,67031.82,54837.475574889686
Bahçecik Kılıçaslan Mh.,11,0.17916984902651115,0.1160302721228415,6980.295120992576,5328.189984503842,42051.83090909091,41330.406818856856
Bahçecik Şehitekrem Mh.,2,0.17467153264392013,0.17467153264392013,6411.935931394626,6411.935931394626,37152.78,37405.64426800908
Körfez Mh.,11,0.14411684385982834,0.1266600250331432,5299.601731546937,3754.565389653959,35762.35999999999,34931.512704774555
Atakent Mah.,5,0.14293784106932567,0.14593994229668508,7331.702942682636,5435.004848248922,47155.418,43254.08402058958
Döngel Mh.,39,0.13930273871496618,0.1288395817508196,5838.240127033128,4490.051709925054,40185.3958974359,39014.7903722951
Kullar Yakacık Mh.,24,0.12524356105601914,0.1322801227176919,5049.991006928583,5112.150706913992,39630.2175,39082.260910381694
Kullar Tepecik Mh.,11,0.12046164596482828,0.06697724909186481,4610.970268787143,2724.7563916504077,38974.27636363636,37614.204325792394
Barbaros Mah.,108,0.11402591938917661,0.0925743274013858,4780.10375767394,3828.331472035672,41193.614074074074,40617.871498325985
Paşadağ Mh.,113,0.11322228680520315,0.08643931733010937,4685.959404310519,3497.9780104907913,41525.32654867257,41023.707901120506
Fatih Mah.,194,0.1091310052894737,0.08822864606442654,4484.415749615542,3608.985155464292,41636.47659793814,41518.47421543301
Aydınkent Mh.,21,0.10912526118119709,0.09389761867065272,4049.3143888294526,3303.8055534744635,37026.04285714286,38274.47389170938
Serdar Mah.,38,0.1059724316084129,0.08750757688938018,4112.897124766341,3469.899472693807,37623.35236842106,36972.37179740979
Mahmutpaşa Mh.,26,0.10521053972410173,0.10662782363656928,4521.471415800132,4395.334913950948,43813.14692307693,44149.083081629586
Yeşilyurt Mh.,201,0.10116947871389152,0.07992474754207042,4371.89781003679,3256.120257415212,41696.01975124378,41080.320396852956
Havuzlubahçe Mh.,10,0.09190433182117841,0.0652229667398371,2908.5619559246225,2003.3583453934189,31740.775,31666.402710576986
Yaylacık Mh.,35,0.08829622390471766,0.062061143467027506,3628.340702361645,2898.8133809427673,42852.42228571429,42591.99753784591
Kullar Merkez Mh.,7,0.08207883584900923,0.06429848149505836,2863.504674859954,2493.2064121964504,38300.97571428572,38823.06497089581
Altınkent Mh.,24,0.07704107527008351,0.0666555803586342,2846.9226956586767,2054.5119797686784,35407.8325,35127.64745133508
Yeniköy Merkez Mh.,10,0.07443759859625221,0.0677139506508432,2892.1950880340955,2531.3248239422865,38734.704,38542.61611595251
Damlar Mah.,5,0.0644689183980808,0.06358328287618983,2443.466218854062,2518.558632206201,39906.932,40001.3984108319
Yeşilkent Mh.,5,0.05112045170712415,0.03800796461328445,1467.351264519323,1187.748894165139,29533.484000000004,30434.112736700143
Vezirçiftliği Mh.,1,0.03505916932693335,0.03505916932693335,1256.2867840178806,1256.2867840178806,35833.33,37089.61678401788
