feature,importance,rank
num__bsk_district_similar_10_median,0.013488679371707658,1
num__basiskele_lat_lon_interaction,0.012301826986585626,2
num__attr_quality_x_location_baseline,0.010865803350627288,3
num__bsk_cluster_similar_10_median,0.009241771997385458,4
num__bsk_cluster_similar_std,0.006449414403946798,5
num__bearing_from_district_centroid_sin,0.0063678724903202324,6
num__location_baseline_m2,0.005883976586746089,7
num__bsk_cluster_similar_20_median,0.005307323760983247,8
num__bsk_district_similar_20_std,0.005110752616091316,9
num__bearing_from_county_centroid_cos,0.004933514021134078,10
num__bearing_from_district_centroid_cos,0.004683715024469149,11
num__lat_centered_city,0.004583575542094396,12
num__location_baseline_log,0.004279439515333742,13
num__distance_to_coast_x_site_inside,0.004056032307923053,14
num__bsk_district_similar_20_median,0.003970328600413456,15
num__lat,0.003709796244724166,16
num__distance_to_district_centroid_m,0.0034237112559321785,17
num__location_baseline_vs_trend,0.003389192410342332,18
num__location_baseline_count,0.003292323565258309,19
num__distance_to_bahcecik_m,0.003247812945582927,20
num__location_baseline_level_code,0.0031579062792069105,21
num__bearing_from_county_centroid_sin,0.003047915016651699,22
num__distance_to_coast_x_view_sea,0.0028755115056998994,23
num__distance_to_sahil_m,0.002732678914422986,24
cat__geo_cluster_city_city_6,0.0027274326492885003,25
num__distance_to_izmit_center_m,0.0025977765154634024,26
num__distance_to_basiskele_coast_m,0.002594183679871959,27
num__distance_to_yuvacik_m,0.0024519956313129986,28
cat__geo_cluster_x_room_count_city_6||3+1,0.002425951841884259,29
num__distance_to_kullar_m,0.0023946400660539878,30
num__basiskele_premium_x_location_baseline,0.0022828844035107172,31
num__distance_to_county_centroid_m,0.0022131468051387456,32
num__lat_centered_county,0.0021895829269428977,33
num__detail_effect_view_x_location_baseline,0.002149457768623602,34
cat__geo_cluster_city_city_0,0.002064847089284375,35
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.0020208396806658045,36
num__basiskele_distance_to_coast_x_large_home,0.0019611038874646843,37
num__is_small_flat,0.0017028499891831195,38
num__distance_to_geo_cluster_center_m,0.0016359288036754457,39
num__transport_score,0.0015914779316710571,40
num__distance_to_coast_x_large_home,0.0015528064639070355,41
num__distance_to_golcuk_center_m,0.0014384081894565767,42
num__distance_to_coastline_m,0.0013947825514528589,43
cat__geo_cluster_city_city_1,0.0013623323587393188,44
num__distance_to_karamursel_center_m,0.0010869586369349092,45
num__is_large_flat,0.0010231326637056466,46
cat__coast_distance_bucket_1000_3000,0.0009691387430458035,47
num__demo_population_density,0.0009225799346972337,48
num__location_quality_x_detail_effect_total,0.000916635278180164,49
cat__geo_cluster_x_room_count_city_0||3+1,0.0008727782659228739,50
num__lon,0.000865916980751344,51
num__basiskele_distance_to_coast_x_quality,0.0008022652137064674,52
cat__geo_cluster_x_room_count_city_0||4+1,0.0007452876021295797,53
cat__coast_distance_bucket_500_1000,0.0007242902933150222,54
num__lon_centered_county,0.0007187079199122797,55
num__lon_centered_city,0.0007185742703900173,56
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.0006748511685781592,57
cat__geo_cluster_x_room_count_city_9||2+1,0.0006589390513647734,58
cat__coast_distance_bucket_0_500,0.000637147204691771,59
cat__coast_distance_bucket_3000_plus,0.0005728571629876016,60
cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.0005414501639351069,61
cat__geo_cluster_x_room_count_city_7||3+1,0.0005334221033188747,62
cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.0005324679338419338,63
cat__geo_cluster_x_room_count_missing||3+1,0.0005148966027083062,64
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.0005139801389810894,65
cat__geo_cluster_x_room_count_city_1||3+1,0.0004539131471639783,66
cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||126-150,0.00042149081602437964,67
cat__geo_cluster_city_city_5,0.00041427496388188686,68
num__bsk_district_similar_confidence,0.00041257986375663864,69
cat__basiskele_geo_cluster_x_m2_group_other||76-100,0.0004074704479930469,70
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||126-150,0.0004034707684461473,71
num__demo_high_school_diff_county,0.0003914142323288894,72
cat__geo_cluster_x_room_count_city_5||4+1,0.00038018720174077695,73
num__demo_education_high_school_ratio,0.0003725404756815758,74
num__bsk_district_similar_count,0.00036512384497898714,75
cat__geo_cluster_x_room_count_city_5||3+1,0.00036390103888771485,76
cat__geo_cluster_x_room_count_missing||2+1,0.00035104653678513423,77
cat__geo_cluster_city_city_9,0.0003434306536712678,78
cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.0003255142680571758,79
num__demo_pharmacy_count,0.0003225190205183075,80
num__distance_to_coast_x_near_sea_zero,0.00031814320853463786,81
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.00031636867911068314,82
cat__geo_cluster_county_Başiskele_0,0.00031280802756245056,83
cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||76-100,0.00030402749743788944,84
cat__geo_cluster_city_city_11,0.00030213099617022846,85
cat__basiskele_geo_cluster_Başiskele_0,0.00029980614779488495,86
cat__geo_cluster_city_city_7,0.000293213230662323,87
cat__geo_cluster_x_room_count_city_11||3+1,0.0002886836708203658,88
cat__geo_cluster_x_room_count_missing||4+1,0.00027596158726665655,89
cat__geo_cluster_x_room_count_city_0||2+1,0.0002630372215032896,90
