decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34126.972001906164,5136.95298016704
1,94,32779.16914893617,36791.20352640114,4012.034377464975
2,90,35039.15233333334,37606.82843631716,2567.6761029838185
3,92,36802.27858695651,39195.41722383377,2393.1386368772487
4,93,38664.66096774193,39467.73098421813,803.0700164761909
5,90,40912.58688888889,40433.138875465025,-479.4480134238583
6,92,43037.149456521736,41770.92562467133,-1266.223831850411
7,92,45705.152934782614,43170.25492577937,-2534.898009003234
8,92,49382.030000000006,44963.720592348356,-4418.309407651642
9,92,57958.77086956522,46995.20050794538,-10963.57036161984
