model_scope,county,feature,importance,rank
gradient_boosting,,num__detail_effect_inside_mean,0.01877269610963727,1
gradient_boosting,,num__detail_effect_front_sum,0.015707546168640958,2
gradient_boosting,,num__detail_effect_total_mean,0.014961198985443326,3
gradient_boosting,,num__detail_effect_outside_sum,0.012357777543590265,4
gradient_boosting,,num__detail_effect_outside_mean,0.009928504094788392,5
extra_trees,,num__detail_effect_subtype_sum,0.009130341803035411,6
extra_trees,,num__detail_effect_outside_x_attr_quality,0.009106672152107207,7
gradient_boosting,,num__detail_effect_subtype_sum,0.008353038781860937,8
gradient_boosting,,num__detail_effect_front_mean,0.007577375465757206,9
gradient_boosting,,num__detail_effect_total_sum,0.007456947269711313,10
extra_trees,,num__detail_effect_outside_sum,0.007047750443892222,11
extra_trees,,num__detail_effect_subtype_mean,0.006919636094471401,12
gradient_boosting,,num__detail_effect_subtype_mean,0.006892980612985282,13
extra_trees,,num__detail_effect_total_mean,0.005503088112925953,14
extra_trees,,num__detail_effect_total_x_attr_quality,0.005451846093614467,15
gradient_boosting,,num__detail_effect_district_total_sum,0.005408928320846501,16
extra_trees,,num__detail_effect_outside_mean,0.005406512739682802,17
extra_trees,,num__detail_effect_county_total_sum,0.005279005922750333,18
extra_trees,,num__detail_effect_front_sum,0.005173377643551267,19
extra_trees,,num__detail_effect_front_mean,0.005124950591989797,20
extra_trees,,num__detail_effect_total_sum,0.00505184937633777,21
gradient_boosting,,num__detail_effect_inside_x_attr_quality,0.005039479826718204,22
gradient_boosting,,num__detail_effect_view_x_location_baseline,0.004165453424684834,23
gradient_boosting,,num__detail_effect_inside_sum,0.004123255678232403,24
gradient_boosting,,num__detail_effect_used_count,0.0038818033628298257,25
extra_trees,,num__detail_effect_inside_mean,0.0036377387317765232,26
extra_trees,,num__detail_effect_district_total_sum,0.00327972413919987,27
extra_trees,,num__detail_effect_inside_x_attr_quality,0.0031112900872473396,28
gradient_boosting,,num__detail_effect_nearby_sum,0.0030659391214113594,29
gradient_boosting,,num__detail_effect_outside_x_attr_quality,0.002918839078258809,30
extra_trees,,num__detail_effect_inside_sum,0.0026161999927913106,31
extra_trees,,num__detail_effect_level_code,0.002587056872613886,32
gradient_boosting,,num__detail_effect_total_abs_sum,0.002472287232922635,33
gradient_boosting,,num__detail_effect_negative_count,0.002250174483638985,34
extra_trees,,num__detail_effect_view_sum,0.0021190963090299522,35
extra_trees,,num__detail_effect_negative_count,0.002116254275633775,36
extra_trees,,num__detail_effect_transport_mean,0.002056735679519244,37
extra_trees,,num__detail_effect_transport_sum,0.002054745885175899,38
extra_trees,,num__detail_effect_total_abs_sum,0.002037060387158681,39
gradient_boosting,,num__detail_effect_transport_sum,0.00202893217572377,40
extra_trees,,num__detail_effect_view_mean,0.002021738342680154,41
gradient_boosting,,num__detail_effect_transport_mean,0.0019355248254988768,42
gradient_boosting,,num__detail_effect_view_mean,0.0018110513958850907,43
gradient_boosting,,num__detail_effect_level_code,0.0017695384874960053,44
extra_trees,,num__detail_effect_used_count,0.0017253371309604443,45
extra_trees,,num__detail_effect_nearby_mean,0.0017094990283318444,46
extra_trees,,num__detail_effect_nearby_sum,0.0016655641470032896,47
extra_trees,,num__detail_effect_view_x_location_baseline,0.0016229354452990722,48
extra_trees,,num__location_quality_x_detail_effect_total,0.0015743836844297505,49
extra_trees,,num__detail_effect_positive_count,0.0015226199476718238,50
gradient_boosting,,num__detail_effect_total_x_attr_quality,0.0011185873650642899,51
gradient_boosting,,num__detail_effect_nearby_mean,0.0010405699127820675,52
gradient_boosting,,num__detail_effect_county_total_sum,0.0009744584940457874,53
gradient_boosting,,num__detail_effect_positive_count,0.000418149012386176,54
gradient_boosting,,num__detail_effect_view_sum,0.0002313923177184395,55
gradient_boosting,,num__location_quality_x_detail_effect_total,9.068232510346304e-05,56
