room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3422428808140296,0.3422428808140296,18062.819470169074,18062.819470169074,52777.78,34714.960529830925
4.5+1,2,0.30544265973102475,0.30544265973102475,10644.234928643067,10644.234928643067,34219.0,44863.23492864307
3.5+1,2,0.17214229682775187,0.17214229682775187,11215.888029226167,11215.888029226167,61497.96,50282.07197077383
5+1,6,0.16344216186283808,0.15140079387269573,6616.189324531556,5141.275265257766,36316.30333333334,35210.53967048946
4+1,80,0.1345761322902363,0.10673831387796165,5348.861885327801,3732.203975337874,38162.069875,36885.53758254174
1+1,40,0.12797985475694726,0.1180813066624607,6677.454963399941,6067.215093709488,49987.860499999995,47242.97516380741
3+1,400,0.1165770154894394,0.09457299825265986,4561.243631173157,3541.213943689989,39217.910575,39110.414970099235
2+2,1,0.09675654994153689,0.09675654994153689,4102.477717521164,4102.477717521164,42400.0,38297.522282478836
2+1,384,0.093686728655143,0.07750820834736481,4005.4896723029437,3226.5479340468883,42310.314427083336,41924.790119274294
3+2,1,0.06361551410014088,0.06361551410014088,2307.1826553334104,2307.1826553334104,36267.61,33960.42734466659
2.5+1,1,0.058547307198941315,0.058547307198941315,2517.5342095544765,2517.5342095544765,43000.0,45517.53420955448
4+2,1,0.010960341042123846,0.010960341042123846,379.9585259947635,379.9585259947635,34666.67,35046.62852599476
