county,district,test_name,base_prediction_tl_m2,variant_prediction_tl_m2,difference_tl_m2,difference_pct,expected_direction,passed_direction_check
İzmit,missing,new_vs_old,26099.359420528708,32278.337582605724,6178.978162077015,0.23674826889493997,a > b,True
İzmit,missing,elevator,30583.854055185082,31757.913910198367,1174.0598550132854,0.03838822448259229,a > b,True
İzmit,missing,site_inside,30583.854055185082,31276.002615618127,692.1485604330446,0.022631175233315638,a >= b,True
İzmit,missing,parking,30583.854055185082,31195.649972774372,611.7959175892902,0.0200038855954967,a > b,True
İzmit,missing,heating,30335.976226310588,30768.48968921151,432.5134629009226,0.014257443362768754,a > b,True
İzmit,missing,floor,29968.86779328774,30583.854055185082,614.986261897342,0.020520837361599736,a > b,True
İzmit,missing,net_gross,29698.627242700677,30545.378772976474,846.7515302757965,0.028511470357065444,a > b,True
İzmit,missing,total_quality,26567.134076818256,34781.6956184491,8214.561541630843,0.3092001387081733,a > b,True
Başiskele,Yeşilyurt Mh.,new_vs_old,32901.835084756865,39220.00826014609,6318.173175389224,0.19203102681395356,a > b,True
Başiskele,Yeşilyurt Mh.,elevator,37021.21329532448,38315.67381138082,1294.460516056337,0.03496537257518295,a > b,True
Başiskele,Yeşilyurt Mh.,site_inside,37021.21329532448,37941.939242002714,920.7259466782343,0.02487022614125171,a >= b,True
Başiskele,Yeşilyurt Mh.,parking,37021.21329532448,37389.35138726121,368.1380919367293,0.009943976957211787,a > b,True
Başiskele,Yeşilyurt Mh.,heating,35941.696184499175,37314.17519480885,1372.4790103096748,0.03818626152934856,a > b,True
Başiskele,Yeşilyurt Mh.,floor,34945.95566780584,37021.21329532448,2075.2576275186366,0.059384772511185874,a > b,True
Başiskele,Yeşilyurt Mh.,net_gross,35955.2432009299,36988.119441093135,1032.876240163234,0.02872672100675767,a > b,True
Başiskele,Yeşilyurt Mh.,total_quality,34493.90764557891,43415.34650500059,8921.43885942168,0.25863810360625067,a > b,True
Gölcük,missing,new_vs_old,26099.359420528708,32278.337582605724,6178.978162077015,0.23674826889493997,a > b,True
Gölcük,missing,elevator,30583.854055185082,31757.913910198367,1174.0598550132854,0.03838822448259229,a > b,True
Gölcük,missing,site_inside,30583.854055185082,31276.002615618127,692.1485604330446,0.022631175233315638,a >= b,True
Gölcük,missing,parking,30583.854055185082,31195.649972774372,611.7959175892902,0.0200038855954967,a > b,True
Gölcük,missing,heating,30335.976226310588,30768.48968921151,432.5134629009226,0.014257443362768754,a > b,True
Gölcük,missing,floor,29968.86779328774,30583.854055185082,614.986261897342,0.020520837361599736,a > b,True
Gölcük,missing,net_gross,29698.627242700677,30545.378772976474,846.7515302757965,0.028511470357065444,a > b,True
Gölcük,missing,total_quality,26567.134076818256,34781.6956184491,8214.561541630843,0.3092001387081733,a > b,True
Karamürsel,missing,new_vs_old,26099.359420528708,32278.337582605724,6178.978162077015,0.23674826889493997,a > b,True
Karamürsel,missing,elevator,30583.854055185082,31757.913910198367,1174.0598550132854,0.03838822448259229,a > b,True
Karamürsel,missing,site_inside,30583.854055185082,31276.002615618127,692.1485604330446,0.022631175233315638,a >= b,True
Karamürsel,missing,parking,30583.854055185082,31195.649972774372,611.7959175892902,0.0200038855954967,a > b,True
Karamürsel,missing,heating,30335.976226310588,30768.48968921151,432.5134629009226,0.014257443362768754,a > b,True
Karamürsel,missing,floor,29968.86779328774,30583.854055185082,614.986261897342,0.020520837361599736,a > b,True
Karamürsel,missing,net_gross,29698.627242700677,30545.378772976474,846.7515302757965,0.028511470357065444,a > b,True
Karamürsel,missing,total_quality,26567.134076818256,34781.6956184491,8214.561541630843,0.3092001387081733,a > b,True
