building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,418,4.684210526315789,0.0,0,0,0.8781200253354612,26535.47669856459
26-30 arası,307,4.374592833876221,0.0,0,0,0.882077629009018,27965.55094462541
4,49,2.938775510204082,0.0,0,0,1.019675715208828,43481.49387755102
3,74,2.581081081081081,0.0,0,0,1.0799849823753611,44044.16837837838
0 (Yapım Aşamasında),180,2.411111111111111,0.0,0,0,1.0360970026238894,45888.65638888889
16-20 arası,111,2.225225225225225,0.0,0,0,0.982060011342962,36377.66720720721
0 (Oturuma Hazır),645,2.206201550387597,0.0,1,0,1.0546111414961614,43469.49113178295
1,99,2.101010101010101,0.0,0,0,1.0266702193526025,43244.59191919192
2,71,2.056338028169014,0.0,0,0,1.0280905827233493,43501.68
21-25 arası,157,2.031847133757962,0.0,1,0,0.9723615329155467,33952.33649681529
11-15 arası,403,1.9528535980148884,0.0,1,0,1.0155404285121516,41173.79808933003
6-10 arası,476,1.888655462184874,0.0,0,0,1.0172906446950567,41049.406659663866
5,111,1.6936936936936937,0.0,0,0,1.0666504116066275,42477.84666666667
missing,3,0.0,0.0,0,0,1.0488938806358254,44908.426666666666
