decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34021.3325101754,5031.313488436268
1,94,32779.16914893617,36763.661838163374,3984.492689227206
2,90,35039.15233333334,37779.32883240034,2740.17649906701
3,92,36802.27858695651,39381.45337329388,2579.1747863373516
4,93,38664.66096774193,39612.81976417203,948.1587964300982
5,90,40912.58688888889,40579.24609743733,-333.34079145156545
6,92,43037.149456521736,41794.83060459034,-1242.3188519314012
7,92,45705.152934782614,43265.20786121129,-2439.945073571312
8,92,49382.030000000006,44767.020545186766,-4615.00945481323
9,92,57958.77086956522,47431.53984884538,-10527.231020719833
