building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,418,0.1566315835067039,0.13438069189298257,4106.008579089054,3365.982935464299,26535.47669856459,26743.863589311848
26-30 arası,307,0.1501198074260638,0.12075903723659673,4194.487767881408,3241.1761446669407,27965.55094462541,27711.151039373137
3,74,0.13562974656481822,0.1136206743587527,6129.266745001887,5007.5319762435975,44044.16837837838,42917.81625402437
5,111,0.13458273390884137,0.11176908197285519,5825.8044175236155,4684.997200715934,42477.84666666667,41148.977080309975
16-20 arası,111,0.13269563468860796,0.10322280398847049,4949.905704940025,3631.6543564859094,36377.66720720721,35785.657880154016
4,49,0.13011520041029093,0.10434464615763715,5564.488825497659,4303.094282247446,43481.49387755102,43432.2435346045
6-10 arası,476,0.12635211644526748,0.10605831226439072,5178.113936888692,4417.596433289142,41049.406659663866,40686.13874825456
21-25 arası,157,0.12199382586465136,0.09128473958419665,4042.501131651295,2903.710652509708,33952.33649681529,33945.89157165609
11-15 arası,403,0.11719464349884015,0.09651206288200254,4739.552406475716,3823.3718163718295,41173.79808933003,40780.96748059688
2,71,0.11600450374243929,0.08020279907901597,4981.427724757279,3201.4714285187874,43501.68,42626.89880002454
0 (Yapım Aşamasında),180,0.11586513780483547,0.09977887773130972,5475.771883001047,4379.453463363599,45888.65638888889,44688.97040699865
1,99,0.11073505240435007,0.08378825278525528,4615.51459186274,3700.3680153930254,43244.59191919192,42831.93629026753
0 (Oturuma Hazır),645,0.10851511884172751,0.087209951807225,4815.60288116994,3719.7864343001347,43469.49113178295,42589.194337188615
missing,3,0.06968762651356707,0.0867998511566149,3098.909469347076,3490.5343997377786,44908.426666666666,42786.98483096806
