room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
2+0,1,0.552389497622568,0.552389497622568,15699.489531405885,15699.489531405885,28421.05,44120.539531405884
4+2,4,0.3382311311149658,0.3580548135132262,6819.120339502621,7355.840953526287,22954.252500000002,27482.419178436074
5+1,16,0.20180161587302356,0.19062185348851546,8543.26003383082,6205.02857208099,39496.190625,35615.97854243298
6+1,2,0.18400475174896277,0.18400475174896277,9768.258211400589,9768.258211400589,54722.225,46612.07563330415
4.5+1,7,0.17223583068792495,0.16864349008210125,7034.714058764882,6905.3950917164475,39561.57571428572,40339.209042160226
3.5+1,9,0.15270409504446972,0.2015844120602224,6949.525753387473,5175.816857046411,41900.83888888889,38353.015031370865
2.5+1,6,0.14901000836698894,0.10727321411722321,5938.858889225669,4622.937687563823,41528.43833333333,40364.91152380088
3+2,4,0.14341752862879012,0.10452558795481325,3204.2979589989927,2593.796208265734,26211.1325,28538.634170679354
4+1,181,0.14193090720617957,0.11775633294010629,5389.796254904311,4371.879071176772,38436.57226519337,37941.50608622502
5.5+1,1,0.14006549562878948,0.14006549562878948,5048.194371839272,5048.194371839272,36041.67,41089.86437183927
3+1,1367,0.1357216321844603,0.11165596808436824,4816.259323104211,3819.27104689744,36253.828997805416,35834.88774977358
1+1,219,0.12565701184774364,0.11490362867837048,6167.982714920478,5223.055193971559,48165.005296803654,47164.13060335117
2+1,1271,0.11358401314908544,0.09020330417910707,4309.1626838431575,3367.546150392387,38745.85008654603,38346.418717441724
2+2,1,0.10924266529498022,0.10924266529498022,4631.889008507162,4631.889008507162,42400.0,37768.11099149284
Stüdyo (1+0),12,0.10563032775328061,0.10147623332734448,6914.877352428484,6572.533370607278,60902.71,56437.17100115664
3+0,1,0.10540507325433156,0.10540507325433156,4256.743829448344,4256.743829448344,40384.62,36127.87617055166
5+2,1,0.07913899333844791,0.07913899333844791,1978.4748334611977,1978.4748334611977,25000.0,26978.474833461198
7+1,1,0.06472139296423324,0.06472139296423324,2009.06012233605,2009.06012233605,31041.67,29032.60987766395
