building_age_group,n,mape,mae
4,2,0.2811891275944801,9793.603938113602
16-20 arası,7,0.2739835707395234,11338.402248871704
3,3,0.2003861132108479,11908.790318194944
31 ve üzeri,63,0.18819578960161013,5234.595646775683
21-25 arası,10,0.1746960801582456,7400.108389570773
6-10 arası,15,0.16808378428590395,7985.506804895793
11-15 arası,28,0.16461166112423833,6775.999834008105
26-30 arası,31,0.16011474277869944,5325.022729969687
5,2,0.14731674761137864,9107.884880053596
1,8,0.13116620462995066,6773.922405767533
0 (Oturuma Hazır),18,0.10013292154198031,5303.033348530171
0 (Yapım Aşamasında),17,0.09375339016615125,4724.971859666447
2,1,0.0873989460013719,3398.8479971632914
