decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34145.353380942885,5155.334359203744
1,94,32779.16914893617,36724.33845126765,3945.1693023314783
2,90,35039.15233333334,37629.86247351497,2590.7101401816376
3,92,36802.27858695651,39243.300359706016,2441.021772749498
4,93,38664.66096774193,39486.17308672936,821.5121189874202
5,90,40912.58688888889,40520.49556192081,-392.09132696807035
6,92,43037.149456521736,41809.04037164847,-1228.109084873266
7,92,45705.152934782614,43237.433453839476,-2467.719480943139
8,92,49382.030000000006,44973.45010892363,-4408.579891076378
9,92,57958.77086956522,47156.50138473384,-10802.269484831384
