room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.3331592847596346,0.3331592847596346,17583.407436001347,17583.407436001347,52777.78,35194.37256399865
4.5+1,2,0.305578659289159,0.305578659289159,10645.612565398404,10645.612565398404,34219.0,44864.612565398405
5+1,6,0.16552798762797497,0.14642892444465538,6645.436154934733,5113.214297534498,36316.30333333334,35364.603373130165
3.5+1,2,0.15447017639610996,0.15447017639610996,10140.910231061323,10140.910231061323,61497.96,51357.049768938676
4+1,80,0.13422913716578325,0.11934074159967592,5337.753697167772,3695.774002351127,38162.069875,37040.12422447135
1+1,40,0.12532509545142007,0.10379487263051448,6535.901380200094,5914.877990101373,49987.860499999995,47320.12718315017
3+1,400,0.11644188755550754,0.09516395515342625,4554.810617410115,3607.001137390831,39217.910575,39128.173106832175
2.5+1,1,0.09754257190022868,0.09754257190022868,4194.330591709833,4194.330591709833,43000.0,47194.33059170983
2+2,1,0.09548628611314787,0.09548628611314787,4048.6185311974696,4048.6185311974696,42400.0,38351.38146880253
2+1,384,0.09280402036852393,0.07690416865522665,3968.1179208160816,3237.909737130234,42310.314427083336,41950.28758813382
3+2,1,0.059098537671012405,0.059098537671012405,2143.3627158225863,2143.3627158225863,36267.61,34124.247284177414
4+2,1,0.015439628347074413,0.015439628347074413,535.2405008306741,535.2405008306741,34666.67,34131.429499169324
