room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
6+1,1,0.34316239349184724,0.34316239349184724,18111.349307986144,18111.349307986144,52777.78,34666.430692013855
4.5+1,2,0.3111528999413947,0.3111528999413947,10847.074671292592,10847.074671292592,34219.0,45066.07467129259
3.5+1,2,0.17006941361049802,0.17006941361049802,11113.475522239445,11113.475522239445,61497.96,50384.484477760554
5+1,6,0.16616771275953415,0.15879944274682847,6696.450010757872,5545.92998038806,36316.30333333334,35264.26437446894
4+1,80,0.13398464161857548,0.10626743662438533,5329.410970642502,3836.4659222394876,38162.069875,36923.07482605158
1+1,40,0.1253250954514201,0.10379487263051461,6535.9013802000945,5914.877990101377,49987.860499999995,47320.127183150165
3+1,400,0.11644731430051908,0.09331293027610657,4556.749700816399,3586.904195406365,39217.910575,39123.57706639024
2+2,1,0.09548628611314804,0.09548628611314804,4048.618531197477,4048.618531197477,42400.0,38351.38146880252
2+1,384,0.09278145104459957,0.07690416865522659,3967.3261911925733,3237.9097371302378,42310.314427083336,41950.24993518105
3+2,1,0.059098537671012606,0.059098537671012606,2143.3627158225936,2143.3627158225936,36267.61,34124.24728417741
2.5+1,1,0.052881725920645654,0.052881725920645654,2273.914214587763,2273.914214587763,43000.0,45273.91421458776
4+2,1,0.010347105842888527,0.010347105842888527,358.6997037104884,358.6997037104884,34666.67,35025.36970371049
