model,feature,importance
extra_trees,num__basiskele_detail_group_bucket_median,0.08006911422857903
extra_trees,num__district_m2_group_target_median,0.060696892842911486
extra_trees,num__attr_total_quality_score,0.02850944683506335
extra_trees,num__attr_quality_x_county_income,0.026162693800151366
extra_trees,num__attr_effect_total_quality_bucket,0.017907498169646197
extra_trees,cat__elevator_Var,0.01727876986174333
extra_trees,cat__elevator_Yok,0.016576599128950712
extra_trees,num__attr_has_elevator,0.014460977513644413
extra_trees,num__attr_effect_elevator,0.014038981581672097
extra_trees,num__attr_m2_per_room,0.011847054139109338
extra_trees,num__attr_quality_x_location_baseline,0.010068390003850512
extra_trees,num__detail_effect_subtype_sum,0.0090658266348678
extra_trees,num__detail_effect_outside_x_attr_quality,0.008460177037729543
extra_trees,num__basiskele_detail_subtype_premium_signal,0.00793763977037045
extra_trees,num__attr_compactness_score,0.00787473735436233
extra_trees,num__basiskele_district_premium_bucket_mean,0.007873534273072996
extra_trees,num__detail_effect_outside_sum,0.007579436405453624
extra_trees,num__detail_effect_subtype_mean,0.007334016653872943
extra_trees,cat__floor_segment_Zemin/Giriş,0.006949709527591342
extra_trees,num__total_floors,0.006402634639689948
extra_trees,num__detail_effect_county_total_sum,0.0062632555623243205
extra_trees,num__location_baseline_level_code,0.005905137373369818
extra_trees,num__detail_effect_total_sum,0.005729271955198743
extra_trees,cat__building_age_group_31 ve üzeri,0.0057086830213222035
extra_trees,num__detail_effect_outside_mean,0.005546626130718819
extra_trees,num__detail_effect_front_sum,0.005495161255666202
extra_trees,num__detail_effect_front_mean,0.005244094055016238
extra_trees,cat__parking_Açık & Kapalı Otopark,0.005162708926881852
extra_trees,num__detail_effect_total_x_attr_quality,0.005056091020143269
extra_trees,cat__usage_status_Mülk Sahibi,0.005033622856413906
extra_trees,num__is_old_building,0.004979910758767547
extra_trees,num__gross_m2,0.004930632075091806
extra_trees,num__dues,0.004648351578049594
extra_trees,num__detail_effect_total_mean,0.00461989710200472
extra_trees,num__bathroom_count,0.004619049878476838
extra_trees,num__bearing_from_district_centroid_cos,0.004597584091463344
extra_trees,num__estimated_monthly_rent_gross,0.004542542180929656
extra_trees,num__attr_net_gross_ratio,0.004449365469352434
extra_trees,num__district_room_count_target_median,0.004446857242989286
extra_trees,num__net_gross_ratio,0.004342512601003975
extra_trees,num__net_m2,0.004238649602438579
extra_trees,num__basiskele_distance_to_coast_x_large_home,0.00408220839796493
extra_trees,num__basiskele_premium_x_detail_outside,0.003994835576134841
extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||0-75,0.003944990654883658
extra_trees,num__basiskele_district_premium_bucket_median,0.003933000722400153
extra_trees,cat__building_age_group_0 (Oturuma Hazır),0.0037989688191378246
extra_trees,num__basiskele_premium_x_location_baseline,0.0036877392903215574
extra_trees,cat__parking_Açık Otopark,0.003638024592551742
extra_trees,cat__detail_cephe_Batı|Doğu|Güney,0.0036125699275492197
extra_trees,num__bearing_from_county_centroid_cos,0.003610119713101067
extra_trees,cat__geo_cluster_city_city_6,0.003569725163019916
extra_trees,num__detail_effect_inside_mean,0.0035596869506270296
extra_trees,num__basiskele_detail_total_premium_signal,0.0035519961016168616
extra_trees,num__distance_to_coast_x_large_home,0.0035501363851858318
extra_trees,cat__usage_status_Boş,0.003541913081598853
extra_trees,num__attr_net_gross_good,0.003534273736336166
extra_trees,num__attr_quality_x_demo_income,0.0035263434913272622
extra_trees,num__attr_compact_home_x_quality,0.003483780961630777
extra_trees,num__basiskele_premium_x_gross_m2,0.003387161834192268
extra_trees,num__distance_to_coast_x_view_sea,0.0033625966698358285
extra_trees,cat__geo_cluster_city_city_0,0.003341925434076024
extra_trees,num__bearing_from_district_centroid_sin,0.003312749836037935
extra_trees,num__detail_effect_inside_x_attr_quality,0.0033091392991802817
extra_trees,num__basiskele_premium_score,0.003269913274942348
extra_trees,num__detail_effect_district_total_sum,0.0032457655603365847
extra_trees,num__attr_new_building_x_site_inside,0.0032443341649129767
extra_trees,cat__m2_group_0-75,0.00321898384197297
extra_trees,cat__geo_cluster_city_city_1,0.0031573502367228277
extra_trees,num__lat_centered_city,0.002999753193667716
extra_trees,num__building_age,0.0029825056326363356
extra_trees,num__floor_num,0.0029767823223022546
extra_trees,num__basiskele_detail_outside_premium_signal,0.0029529364102394424
