feature,present,non_null_rate,mean,std,min,max,mode
bsk_nearest_5_median_unit_price,True,0.7606093579978237,40809.93752503576,5754.934767549861,27933.67,65454.55,45000.0
bsk_nearest_10_median_unit_price,True,0.7606093579978237,40500.66352646638,4483.804982979245,30206.045,58271.495,50000.0
bsk_nearest_20_median_unit_price,True,0.7606093579978237,40374.76547925608,3656.867235612659,33051.47,51664.67,35250.0
bsk_nearest_40_median_unit_price,True,0.7606093579978237,40370.30826180258,2941.3011275665335,34162.035,47647.255,38252.715
bsk_nearest_10_mean_unit_price,True,0.7606093579978237,41276.56372532189,4285.326535210348,31463.835,58840.117000000006,46531.933999999994
bsk_nearest_10_std_unit_price,True,0.7606093579978237,6754.729566405547,2281.7630041327934,2464.08030442922,16645.548089851414,7441.322518766675
bsk_nearest_10_iqr_unit_price,True,0.7606093579978237,8550.579835479255,3774.791767445202,1584.1224999999977,26079.550000000003,2023.4075000000012
bsk_nearest_10_min_unit_price,True,0.7606093579978237,31480.651688125898,3974.169202171728,22500.0,48538.01,30000.0
bsk_nearest_10_max_unit_price,True,0.7606093579978237,53505.69899856939,7599.675645145214,36311.48,75000.0,50000.0
bsk_nearest_10_count,True,1.0,7.606093579978237,4.269439187526004,0.0,10.0,10.0
bsk_nearest_10_avg_distance_m,True,0.7606093579978237,208.58440091449984,180.9252426846338,4.981560250711248,1807.8822165302838,103.62654500066364
bsk_nearest_10_min_distance_m,True,0.7606093579978237,63.9197950595975,101.53991868515595,0.0,1361.3465239438217,0.0
bsk_nearest_confidence,True,1.0,0.7606093579978237,0.42694391875260035,0.0,1.0,1.0
bsk_comparable_missing,True,1.0,0.23939064200217627,0.42694391875260035,0.0,1.0,0.0
bsk_fallback_level,True,1.0,0.0,0.0,0.0,0.0,0.0
