model,feature,importance
gradient_boosting,num__bsk_nearest_10_mean_unit_price,0.0163606314440237
gradient_boosting,num__bsk_nearest_10_max_unit_price,0.0158775304849263
gradient_boosting,num__bsk_nearest_10_iqr_unit_price,0.0125322287752178
gradient_boosting,num__bsk_nearest_10_std_unit_price,0.0104282784481841
extra_trees,num__bsk_nearest_5_median_unit_price,0.0080355094301959
extra_trees,num__bsk_nearest_10_max_unit_price,0.0078006290339183
gradient_boosting,num__bsk_nearest_10_median_unit_price,0.0076508688310369
extra_trees,num__bsk_nearest_10_median_unit_price,0.0064498883906412
extra_trees,num__bsk_nearest_10_mean_unit_price,0.0056180970654829
gradient_boosting,num__bsk_nearest_5_median_unit_price,0.0052379742770652
extra_trees,num__bsk_nearest_10_std_unit_price,0.0050778430213459
extra_trees,num__bsk_nearest_10_iqr_unit_price,0.0039389748465653
extra_trees,num__bsk_nearest_10_min_distance_m,0.003323145436187
gradient_boosting,num__bsk_nearest_10_min_distance_m,0.0030587074402154
extra_trees,num__bsk_nearest_10_min_unit_price,0.0029370483053107
gradient_boosting,num__bsk_nearest_10_avg_distance_m,0.0028942042050183
extra_trees,num__bsk_nearest_20_median_unit_price,0.0027901388842656
extra_trees,num__bsk_nearest_40_median_unit_price,0.0025222267526806
gradient_boosting,num__bsk_nearest_40_median_unit_price,0.0024277962297491
extra_trees,num__bsk_nearest_10_avg_distance_m,0.0022272288582547
gradient_boosting,num__bsk_nearest_20_median_unit_price,0.0015263966319237
gradient_boosting,num__bsk_nearest_10_min_unit_price,0.0011867615021416
extra_trees,num__bsk_nearest_confidence,0.000132057730677
extra_trees,num__bsk_nearest_10_count,0.0001172520390891
extra_trees,num__bsk_comparable_missing,0.0001136983032784
extra_trees,num__bsk_fallback_level,0.0
gradient_boosting,num__bsk_nearest_10_count,0.0
gradient_boosting,num__bsk_nearest_confidence,0.0
gradient_boosting,num__bsk_comparable_missing,0.0
gradient_boosting,num__bsk_fallback_level,0.0
