decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33841.68425092071,4851.665229181584
1,94,32779.16914893617,36738.40890780258,3959.239758866408
2,90,35039.15233333334,37665.170686696,2626.0183533626764
3,92,36802.27858695651,39183.9132531291,2381.6346661725834
4,93,38664.66096774193,39297.94594501896,633.28497727702
5,90,40912.58688888889,40297.758779212025,-614.8281096768544
6,92,43037.149456521736,41627.8661387939,-1409.2833177278358
7,92,45705.152934782614,43190.53991418046,-2514.6130206021435
8,92,49382.030000000006,45091.96826273717,-4290.06173726283
9,92,57958.77086956522,48076.51137360408,-9882.259495961129
