building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.21519020102153724,0.18348614128599405,5520.13234287115,4977.155427828342,28095.89875,33505.192363974624
16-20 arası,11,0.13858346122624995,0.070315136953484,5632.692752492512,2255.004197347669,36433.91818181818,35233.58009786484
5,43,0.1345895586554445,0.10351473829553871,5986.685843698687,4642.398375478071,43811.04720930233,42393.93112547193
4,17,0.129498368567335,0.09755095102222812,5425.0845603244725,3429.0642058768717,40888.98941176471,40652.84936394912
26-30 arası,16,0.1226667200620718,0.10122345267639199,3672.5467374896557,3188.687696094763,32057.213125000002,33447.37972026168
6-10 arası,158,0.12065222385561161,0.0991659138130798,4858.689268453204,4275.432356526653,40460.17386075949,40361.81225195935
2,30,0.11645798453581388,0.07964569726292003,4953.311047987279,3116.158510375397,41055.965,40292.638581641724
3,26,0.11203600351914826,0.11465343775454417,4949.941034377765,4925.960866009034,43607.786538461536,41947.452742519905
0 (Yapım Aşamasında),78,0.11095240539594758,0.08876969645755994,4621.752702078006,3367.8171557027563,41159.575769230774,40800.17001896984
0 (Oturuma Hazır),388,0.10264856702003888,0.07902009150375505,4405.49734747547,3261.578477565279,42164.376211340204,41545.655251224474
1,47,0.09830934423019437,0.08135399027855827,4167.528447631541,3255.0599774399598,42601.52404255319,41517.82583354829
11-15 arası,78,0.0980047544182113,0.09756036119620363,3667.4180308143773,3381.7919703211246,37469.194871794876,37461.59261547341
missing,3,0.07222837579913807,0.07256114992559291,3078.9363263422733,3628.0574962796454,44908.426666666666,41829.49034032439
21-25 arası,16,0.07158391470343839,0.06408886561342075,2228.675578490909,1967.7594466235241,31237.335625,32436.864013144583
