district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.3368540570660826,0.3368540570660826,8421.351426652065,8421.351426652065,25000.0,33421.351426652065
Seymen Mah.,10,0.1942913094382433,0.1429201038145168,7874.573925473221,5717.875038888102,44081.542,41561.3628676136
Sahil Mah.,3,0.17851047741222584,0.2070600940508505,6063.38710088264,6312.806735403519,35550.026666666665,39562.003285332576
Bahçecik Kılıçaslan Mh.,11,0.17770632863722333,0.10705524130073182,6916.254683373184,4989.862996418131,42051.83090909091,41548.98468931191
Bahçecik Şehitekrem Mh.,2,0.17148114704922263,0.17148114704922263,6306.366215440226,6306.366215440226,37152.78,37274.976893161525
Karşıyaka Mh.,4,0.1636670759691385,0.16192044733980016,11149.676439522085,10472.909354963529,67031.82,55882.14356047792
Atakent Mah.,5,0.15518799327841779,0.16566080325204807,7964.420952610361,6169.436925014757,47155.418,42893.73920032597
Körfez Mh.,11,0.14962225885034158,0.1057209049678844,5532.173596839615,4482.566370638298,35762.35999999999,34655.23766638321
Döngel Mh.,39,0.13989987327014175,0.12636854022236763,5846.506962238698,5106.674024184489,40185.3958974359,39026.10782063396
Kullar Yakacık Mh.,24,0.12364544535936207,0.12263065616863375,5000.425910187397,4982.304006298407,39630.2175,39108.908687203344
Kullar Tepecik Mh.,11,0.12169677645112928,0.07556935297493664,4654.291095095137,3074.298815242837,38974.27636363636,37632.943509512916
Barbaros Mah.,108,0.1146666387593715,0.09238836661753537,4802.330564344776,3723.9681236064207,41193.614074074074,40626.54522401641
Paşadağ Mh.,113,0.11322520387325587,0.08953025491520238,4678.637062572456,3385.395188134382,41525.32654867257,41084.24651671017
Aydınkent Mh.,21,0.11069742980451214,0.09122525852889639,4108.948698006493,3209.77805413834,37026.04285714286,38222.82932623922
Serdar Mah.,38,0.10762347787061137,0.0884684678989905,4151.389178784979,3239.489927728924,37623.35236842106,37039.62961904565
Fatih Mah.,194,0.10760398686053081,0.08991218173696053,4432.492922565082,3502.958139303337,41636.47659793814,41478.602841861735
Mahmutpaşa Mh.,26,0.10576503131074781,0.10811908087884248,4524.355561916041,4816.613882011279,43813.14692307693,44345.387023079216
Yeşilyurt Mh.,201,0.09904138282373491,0.0773297073553239,4268.494577975237,3085.8074065960973,41696.01975124378,41153.754208615836
Yaylacık Mh.,35,0.08895917948259176,0.06186658905139212,3640.8438692290583,2985.9222486515937,42852.42228571429,42744.07607120087
Kullar Merkez Mh.,7,0.08661448976173124,0.06421955858391314,3017.3642841429755,2581.634343089434,38300.97571428572,38772.44114903562
Havuzlubahçe Mh.,10,0.0854226856996448,0.0704840609056507,2704.2367710850567,2159.510238015062,31740.775,31695.84562059295
Altınkent Mh.,24,0.07545367769176652,0.06497896040776321,2793.699953234847,2199.085405572401,35407.8325,35038.062452423386
Yeniköy Merkez Mh.,10,0.07460528601845977,0.06435652827465746,2882.06156194793,2393.891776830271,38734.704,38572.94624174606
Damlar Mah.,5,0.0598392883994039,0.03999739915266961,2252.9797846231245,1584.3125794229127,39906.932,39848.28586564328
Yeşilkent Mh.,5,0.04529269250309883,0.030699060193700833,1297.6702701370727,959.345631053151,29533.484000000004,29694.51975990315
Vezirçiftliği Mh.,1,0.04242698267486933,0.04242698267486933,1520.3000710928754,1520.3000710928754,35833.33,37353.63007109288
