decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34229.09992125477,5239.080899515636
1,94,32779.16914893617,36914.14504325734,4134.975894321167
2,90,35039.15233333334,37528.091803729134,2488.9394703957983
3,92,36802.27858695651,39441.55766175932,2639.2790748027905
4,93,38664.66096774193,39559.13315631975,894.4721885778088
5,90,40912.58688888889,40493.79093686396,-418.7959520249267
6,92,43037.149456521736,41733.39533886524,-1303.7541176564991
7,92,45705.152934782614,43031.069659225606,-2674.0832755569945
8,92,49382.030000000006,44826.36765310566,-4555.662346894338
9,92,57958.77086956522,46405.10414786645,-11553.666721698768
