room_count,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
4.5+1,2,0.3901281459755534,0.3901281459755534,13831.779406124953,13831.779406124953,34219.0,48050.77940612495
6+1,1,0.3406567466240344,0.3406567466240344,17979.10682883903,17979.10682883903,52777.78,34798.67317116097
3.5+1,2,0.2064430734674323,0.2064430734674323,13309.178320849183,13309.178320849183,61497.96,48188.781679150816
5+1,6,0.1768864496825254,0.17932317749049062,6990.938358731694,6287.439919746881,36316.30333333334,35037.352005315435
1+1,40,0.145246096123261,0.12325778053680223,7440.790398964341,6296.045259372797,49987.860499999995,47637.528193085265
4+1,80,0.13402630470211607,0.10835617837615774,5354.81158610027,4094.04234434697,38162.069875,36804.42840080373
2+2,1,0.12081434732720876,0.12081434732720876,5122.5283266736515,5122.5283266736515,42400.0,37277.47167332635
3+1,400,0.12035922949312422,0.10299728939341034,4705.808617172577,3874.2382614506278,39217.910575,39182.85365430408
2+1,384,0.09635247346464072,0.08237258455351397,4126.0858429322625,3390.277295496773,42310.314427083336,41930.026082559205
2.5+1,1,0.03877828588164148,0.03877828588164148,1667.4662929105834,1667.4662929105834,43000.0,41332.53370708942
4+2,1,0.01714262439783687,0.01714262439783687,594.2777029337594,594.2777029337594,34666.67,35260.94770293376
3+2,1,0.005654013887169176,0.005654013887169176,205.05757059443567,205.05757059443567,36267.61,36062.552429405565
