building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.21292448856788695,0.18009992662116414,5462.826670934954,4887.861975031419,28095.89875,33419.92586341454
16-20 arası,11,0.13834403091314587,0.07084631567238862,5663.160068391538,2292.0866001698487,36433.91818181818,35112.96565197282
5,43,0.13616289243772295,0.10754722510354024,6041.472102589445,4606.368732319726,43811.04720930233,42460.790391150986
4,17,0.12993260767456496,0.0950300190199489,5435.532584070986,3340.4496141801137,40888.98941176471,40656.098146830554
26-30 arası,16,0.12246566967928497,0.1023613933352725,3688.0329506176186,3230.513465068827,32057.213125000002,33326.58870635732
6-10 arası,158,0.12142742097054818,0.09882136641141559,4891.218754719023,4237.10386972103,40460.17386075949,40367.42885353156
2,30,0.11655473751612447,0.08068224302603436,4960.822173247525,3170.0874604700803,41055.965,40280.284052798634
3,26,0.11335213998509427,0.11432968621144066,5008.023522521325,5030.3779059780045,43607.786538461536,41943.945500634276
0 (Yapım Aşamasında),78,0.11129649753575045,0.08590786733277349,4635.747926312199,3399.228997526694,41159.575769230774,40817.14423610671
0 (Oturuma Hazır),388,0.10306356086361446,0.08006506360859908,4421.003081783526,3269.9672044941035,42164.376211340204,41587.7937514242
11-15 arası,78,0.09859498858300189,0.09435779032379468,3689.987684616366,3254.2706784901675,37469.194871794876,37370.917935214704
1,47,0.09784791941104133,0.08428669156210065,4140.221351956704,3146.7478687205585,42601.52404255319,41561.18465381294
missing,3,0.07618057017927844,0.07121135743228471,3222.554457208686,3560.5678716142356,44908.426666666666,41685.87220945798
21-25 arası,16,0.06940982481623792,0.06446068650160067,2167.183950531152,1969.1166762142311,31237.335625,32361.244496641622
