district,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Sepetlipınar Mh.,1,0.314613308951543,0.314613308951543,7865.332723788575,7865.332723788575,25000.0,32865.332723788575
Seymen Mah.,10,0.1953782228017014,0.14259244708018598,7919.00775235559,5698.247708526644,44081.542,41579.80960935239
Bahçecik Kılıçaslan Mh.,11,0.17856504484763516,0.10607330853267195,6951.014337078121,4944.09494317029,42051.83090909091,41533.78487726838
Sahil Mah.,3,0.17781221641981074,0.2041661633504903,6041.376858426119,6224.577154997078,35550.026666666665,39561.54179450994
Bahçecik Şehitekrem Mh.,2,0.17268821907068915,0.17268821907068915,6345.766967397791,6345.766967397791,37152.78,37330.323562981255
Karşıyaka Mh.,4,0.15596911422713045,0.15114614229179474,10629.829733373825,9778.628601642824,67031.82,56401.99026662618
Atakent Mah.,5,0.15439466655928624,0.16712850994931927,7924.209264814583,6224.096347856379,47155.418,42920.30252716346
Körfez Mh.,11,0.14845261891261322,0.10505288828096693,5515.204732554958,4454.242463112998,35762.35999999999,34565.49006306097
Döngel Mh.,39,0.1390676363083647,0.12854032824889372,5822.242897565184,4606.368732319726,40185.3958974359,38960.3383256502
Kullar Yakacık Mh.,24,0.12600840523584622,0.1279848413639787,5106.861730915883,5092.260619658227,39630.2175,39046.0577319912
Kullar Tepecik Mh.,11,0.12360490904023759,0.07553686927625301,4742.783845330615,3072.977319260055,38974.27636363636,37510.62699991227
Barbaros Mah.,108,0.11598500411172881,0.09350634966804586,4857.20986763765,3753.586553421752,41193.614074074074,40658.4409034505
Paşadağ Mh.,113,0.11307115702731757,0.08620316831824758,4660.882049998887,3423.5415040743683,41525.32654867257,41131.6386348156
Aydınkent Mh.,21,0.11077059961694792,0.0920920750530459,4110.611301187773,3240.27715823568,37026.04285714286,38230.61821078873
Fatih Mah.,194,0.1080074986190062,0.0897145754094692,4450.266387259056,3552.471014510531,41636.47659793814,41506.19717731551
Serdar Mah.,38,0.10672393805932631,0.08680505350236987,4126.347681015083,2916.9409488517776,37623.35236842106,36987.40646259468
Mahmutpaşa Mh.,26,0.10582659826341656,0.10370236796383067,4515.655483933814,4801.868955994858,43813.14692307693,44451.90467247534
Yeşilyurt Mh.,201,0.09967244561942597,0.07836006816255296,4292.831239774373,3167.653301481663,41696.01975124378,41166.97226630608
Yaylacık Mh.,35,0.09092444759034915,0.0678948550142112,3746.3454279383495,2838.7039941776675,42852.42228571429,42842.92899113326
Havuzlubahçe Mh.,10,0.08977787133206235,0.07403174864477582,2856.636287819674,2274.2164382125065,31740.775,31378.71550436872
Kullar Merkez Mh.,7,0.08629072326477094,0.06344752914130355,3002.5184865925175,2624.4207542903896,38300.97571428572,38769.40690121783
Altınkent Mh.,24,0.07565959771548779,0.06574796452575764,2802.8446797354336,2219.6312582935243,35407.8325,34937.571896128225
Yeniköy Merkez Mh.,10,0.07499103198808467,0.06305662446417684,2895.871985507649,2344.387498101052,38734.704,38535.658635047825
Damlar Mah.,5,0.05979581268468433,0.03775394035415197,2250.8617805452245,1495.4483014646976,39906.932,39892.05450250908
Yeşilkent Mh.,5,0.04303020087380986,0.03065467064726271,1233.310037613602,957.9584577269598,29533.484000000004,29627.309601148456
Vezirçiftliği Mh.,1,0.03996088539840872,0.03996088539840872,1431.9315935733612,1431.9315935733612,35833.33,37265.26159357336
