model_scope,feature,importance,rank
gradient_boosting,num__attr_total_quality_score,0.09585698887436282,1
random_forest,num__attr_total_quality_score,0.06434573128522841,2
extra_trees,num__attr_total_quality_score,0.03399739533503913,3
random_forest,num__attr_quality_x_county_income,0.033725411983178,4
gradient_boosting,num__attr_m2_per_room,0.029082220934356848,5
gradient_boosting,num__attr_quality_x_county_income,0.025247550698047398,6
extra_trees,num__attr_quality_x_county_income,0.022651507660972906,7
extra_trees,num__attr_effect_elevator,0.0186914316026043,8
random_forest,num__attr_m2_per_room,0.01798770864387688,9
extra_trees,num__attr_effect_total_quality_bucket,0.01714247651870662,10
gradient_boosting,num__attr_quality_x_location_baseline,0.013031880339340619,11
extra_trees,num__attr_has_elevator,0.012439460388804216,12
random_forest,num__attr_quality_x_location_baseline,0.011974657866229471,13
extra_trees,num__attr_m2_per_room,0.01151468467979849,14
random_forest,num__attr_quality_x_demo_income,0.009214909829999294,15
extra_trees,num__attr_quality_x_location_baseline,0.00904878784433668,16
extra_trees,num__detail_effect_outside_x_attr_quality,0.007984644484195074,17
gradient_boosting,num__attr_quality_x_district_median,0.0075258375729379,18
random_forest,num__attr_net_gross_ratio,0.007419363746994959,19
random_forest,num__detail_effect_outside_x_attr_quality,0.007352520529953544,20
extra_trees,num__attr_compactness_score,0.007204993393873804,21
extra_trees,num__detail_effect_total_x_attr_quality,0.006150726828231383,22
gradient_boosting,num__detail_effect_inside_x_attr_quality,0.005656270877537569,23
random_forest,num__attr_quality_x_district_median,0.005616627724829445,24
random_forest,num__detail_effect_total_x_attr_quality,0.005040865768769646,25
gradient_boosting,num__attr_old_building_x_no_elevator,0.0045140362293584185,26
random_forest,num__detail_effect_inside_x_attr_quality,0.0040429538216144485,27
gradient_boosting,num__attr_net_gross_ratio,0.004039535701878751,28
extra_trees,num__attr_net_gross_ratio,0.0037338206970652537,29
extra_trees,num__attr_net_gross_good,0.0035553443100866194,30
extra_trees,num__attr_new_building_x_site_inside,0.0030695063228857573,31
extra_trees,num__attr_is_middle_floor,0.0030403405694919908,32
extra_trees,num__attr_compact_home_x_quality,0.002877647709685371,33
extra_trees,num__attr_quality_x_demo_income,0.002803105080628263,34
extra_trees,num__detail_effect_inside_x_attr_quality,0.0027416812510750632,35
extra_trees,num__attr_building_age_inverse,0.0025934266266772537,36
extra_trees,num__attr_building_age_score,0.0024790243621654008,37
extra_trees,num__attr_net_gross_bad,0.0023697107760857067,38
random_forest,num__attr_building_age_inverse,0.0023693621829299362,39
gradient_boosting,num__attr_building_age_inverse,0.002368686572482528,40
extra_trees,num__attr_is_old_building,0.002359804520706641,41
extra_trees,num__attr_floor_ratio,0.0023523947737286864,42
gradient_boosting,num__detail_effect_outside_x_attr_quality,0.002270732962207095,43
gradient_boosting,num__attr_effect_building_age_bucket,0.00219815079138614,44
extra_trees,num__attr_large_home_x_quality,0.0020168803666225027,45
extra_trees,num__attr_floor_quality_score,0.0019561965235217462,46
random_forest,num__attr_floor_ratio,0.001853766304756357,47
gradient_boosting,num__attr_quality_x_demo_income,0.0016991773330866967,48
random_forest,num__attr_compact_home_x_quality,0.0016953241744008935,49
random_forest,num__attr_amenity_score,0.0016257410775366366,50
extra_trees,num__attr_heating_quality_score,0.001571634603021932,51
extra_trees,num__attr_amenity_score,0.0015113944280728752,52
extra_trees,num__attr_old_building_x_no_elevator,0.0014587910086345573,53
extra_trees,num__attr_effect_building_age_bucket,0.0014526244917240454,54
extra_trees,num__attr_is_young_building,0.0014519833472237582,55
gradient_boosting,num__attr_new_building_x_site_inside,0.001407446943786818,56
random_forest,num__attr_has_elevator,0.0013565296658333533,57
extra_trees,num__attr_quality_x_district_median,0.0013426016527226137,58
extra_trees,num__attr_is_ground_or_below,0.0012733354374805839,59
random_forest,num__attr_effect_elevator,0.001251287919855399,60
gradient_boosting,num__attr_amenity_score,0.0012265868609243479,61
gradient_boosting,num__attr_effect_elevator,0.0009902312449222071,62
